Hubald model simulation data
""
starting_time = Fri Dec  1 16:08:25 2023
finishing_time = Sun Dec  3 03:48:22 2023
elapsed_time = 128397.04410791397 s
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 400
deorbits_per_timestep = 40

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;23.0;50313.0;15326.0;34987.0;1000050000.0;100200.0;3.0;1.0
3.0;2.0;25.0;50665.0;15719.0;34946.0;1000200000.0;100800.0;6.0;3.0
6.0;3.0;28.0;51018.0;16116.0;34902.0;1000200000.0;100800.0;2.0;0.0
9.0;0.0;28.0;51375.0;16513.0;34862.0;1000300000.0;101200.0;2.0;2.0
12.0;2.0;30.0;51728.0;16905.0;34823.0;1000400000.0;101600.0;7.0;2.0
15.0;1.0;31.0;52085.0;17300.0;34785.0;1000400000.0;101600.0;4.0;0.0
18.0;1.0;32.0;52442.0;17696.0;34746.0;1000400000.0;101600.0;3.0;0.0
21.0;1.0;33.0;52798.0;18087.0;34711.0;1000450000.0;101800.0;7.0;1.0
24.0;1.0;34.0;53153.0;18480.0;34673.0;1000550000.0;102200.0;4.0;2.0
27.0;0.0;34.0;53509.0;18873.0;34636.0;1000700000.0;102800.0;5.0;3.0
30.0;2.0;36.0;53864.0;19267.0;34597.0;1000700000.0;102800.0;4.0;0.0
33.0;0.0;36.0;54223.0;19661.0;34562.0;1000700000.0;102800.0;5.0;0.0
36.0;0.0;36.0;54582.0;20054.0;34528.0;1000700000.0;102800.0;6.0;0.0
39.0;2.0;38.0;54937.0;20453.0;34484.0;1000700000.0;102800.0;0.0;0.0
42.0;1.0;39.0;55294.0;20847.0;34447.0;1000700000.0;102800.0;4.0;0.0
45.0;0.0;39.0;55649.0;21242.0;34407.0;1000900000.0;103600.0;2.0;4.0
48.0;0.0;39.0;56006.0;21630.0;34376.0;1001000000.0;104000.0;10.0;2.0
51.0;0.0;39.0;56365.0;22023.0;34342.0;1001000000.0;104000.0;6.0;0.0
54.0;0.0;39.0;56724.0;22418.0;34306.0;1001000000.0;104000.0;4.0;0.0
57.0;0.0;39.0;57081.0;22808.0;34273.0;1001100000.0;104400.0;8.0;2.0
60.0;0.0;39.0;57438.0;23206.0;34232.0;1001200000.0;104800.0;1.0;2.0
63.0;0.0;39.0;57793.0;23598.0;34195.0;1001400000.0;105600.0;6.0;4.0
66.0;1.0;40.0;58150.0;23987.0;34163.0;1001400000.0;105600.0;10.0;0.0
69.0;0.0;40.0;58507.0;24378.0;34129.0;1001500000.0;106000.0;7.0;2.0
72.0;0.0;40.0;58866.0;24770.0;34096.0;1001500000.0;106000.0;7.0;0.0
75.0;0.0;40.0;59224.0;25161.0;34063.0;1001550000.0;106200.0;8.0;1.0
78.0;0.0;40.0;59581.0;25553.0;34028.0;1001650000.0;106600.0;5.0;2.0
81.0;0.0;40.0;59938.0;25944.0;33994.0;1001750000.0;107000.0;7.0;2.0
84.0;0.0;40.0;60295.0;26337.0;33958.0;1001850000.0;107400.0;4.0;2.0
87.0;0.0;40.0;60653.0;26731.0;33922.0;1001900000.0;107600.0;5.0;1.0
90.0;1.0;41.0;61009.0;27124.0;33885.0;1001950000.0;107800.0;4.0;1.0
93.0;0.0;41.0;61365.0;27510.0;33855.0;1002100000.0;108400.0;11.0;3.0
96.0;0.0;41.0;61724.0;27905.0;33819.0;1002100000.0;108400.0;4.0;0.0
99.0;2.0;43.0;62078.0;28298.0;33780.0;1002150000.0;108600.0;5.0;1.0
102.0;0.0;43.0;62434.0;28688.0;33746.0;1002300000.0;109200.0;9.0;3.0
105.0;0.0;43.0;62791.0;29079.0;33712.0;1002400000.0;109600.0;7.0;2.0
108.0;0.0;43.0;63145.0;29465.0;33680.0;1002650000.0;110600.0;11.0;5.0
111.0;1.0;44.0;63502.0;29859.0;33643.0;1002650000.0;110600.0;4.0;0.0
