Hubald model simulation data
""
starting_time = Mon Dec  4 10:10:16 2023
finishing_time = Wed Dec  6 19:01:47 2023
elapsed_time = 204691.79371380806 s
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;22.0;50405.0;15426.0;34979.0;1000050000.0;100200.0;3.0;1.0
3.0;3.0;25.0;50845.0;15923.0;34922.0;1000200000.0;100800.0;1.0;3.0
6.0;2.0;27.0;51290.0;16418.0;34872.0;1000200000.0;100800.0;4.0;0.0
9.0;2.0;29.0;51735.0;16914.0;34821.0;1000200000.0;100800.0;2.0;0.0
12.0;1.0;30.0;52180.0;17408.0;34772.0;1000300000.0;101200.0;5.0;2.0
15.0;0.0;30.0;52629.0;17905.0;34724.0;1000300000.0;101200.0;2.0;0.0
18.0;1.0;31.0;53072.0;18397.0;34675.0;1000500000.0;102000.0;4.0;4.0
21.0;2.0;33.0;53517.0;18894.0;34623.0;1000500000.0;102000.0;2.0;0.0
24.0;1.0;34.0;53961.0;19391.0;34570.0;1000650000.0;102600.0;2.0;3.0
27.0;1.0;35.0;54404.0;19881.0;34523.0;1000850000.0;103400.0;7.0;4.0
30.0;0.0;35.0;54853.0;20378.0;34475.0;1000850000.0;103400.0;2.0;0.0
33.0;0.0;35.0;55302.0;20873.0;34429.0;1000850000.0;103400.0;4.0;0.0
36.0;0.0;35.0;55750.0;21367.0;34383.0;1000900000.0;103600.0;5.0;1.0
39.0;1.0;36.0;56196.0;21861.0;34335.0;1000950000.0;103800.0;5.0;1.0
42.0;0.0;36.0;56643.0;22353.0;34290.0;1001050000.0;104200.0;7.0;2.0
45.0;1.0;37.0;57088.0;22844.0;34244.0;1001150000.0;104600.0;6.0;2.0
48.0;0.0;37.0;57533.0;23334.0;34199.0;1001350000.0;105400.0;8.0;4.0
51.0;0.0;37.0;57982.0;23830.0;34152.0;1001350000.0;105400.0;3.0;0.0
54.0;1.0;38.0;58428.0;24324.0;34104.0;1001400000.0;105600.0;3.0;1.0
57.0;1.0;39.0;58873.0;24819.0;34054.0;1001500000.0;106000.0;3.0;2.0
60.0;1.0;40.0;59316.0;25304.0;34012.0;1001700000.0;106800.0;11.0;4.0
63.0;0.0;40.0;59763.0;25793.0;33970.0;1001800000.0;107200.0;10.0;2.0
66.0;0.0;40.0;60211.0;26286.0;33925.0;1001850000.0;107400.0;5.0;1.0
69.0;0.0;40.0;60658.0;26770.0;33888.0;1001950000.0;107800.0;13.0;2.0
72.0;0.0;40.0;61105.0;27263.0;33842.0;1002050000.0;108200.0;6.0;2.0
75.0;0.0;40.0;61552.0;27756.0;33796.0;1002150000.0;108600.0;5.0;2.0
78.0;0.0;40.0;62000.0;28247.0;33753.0;1002200000.0;108800.0;8.0;1.0
