Hubald model simulation data
""
starting_time = Fri Dec  8 17:37:33 2023
finishing_time = Sat Dec  9 01:50:59 2023
elapsed_time = 29606.677451133728 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;23.0;50040.0;15017.0;35023.0;1000200000.0;100800.0;12.0;4.0
3.0;1.0;24.0;50122.0;15098.0;35024.0;1000450000.0;101800.0;18.0;5.0
6.0;2.0;26.0;50201.0;15177.0;35024.0;1000750000.0;103000.0;17.0;6.0
9.0;2.0;28.0;50284.0;15260.0;35024.0;1000850000.0;103400.0;16.0;2.0
12.0;3.0;31.0;50360.0;15335.0;35025.0;1001200000.0;104800.0;21.0;7.0
15.0;1.0;32.0;50443.0;15413.0;35030.0;1001400000.0;105600.0;20.0;4.0
18.0;1.0;33.0;50524.0;15488.0;35036.0;1001700000.0;106800.0;20.0;6.0
21.0;0.0;33.0;50605.0;15569.0;35036.0;1002100000.0;108400.0;16.0;8.0
24.0;1.0;34.0;50681.0;15646.0;35035.0;1002650000.0;110600.0;22.0;11.0
27.0;2.0;36.0;50760.0;15732.0;35028.0;1002950000.0;111800.0;11.0;6.0
30.0;1.0;37.0;50837.0;15809.0;35028.0;1003450000.0;113800.0;20.0;10.0
33.0;0.0;37.0;50919.0;15879.0;35040.0;1003800000.0;115200.0;26.0;7.0
36.0;1.0;38.0;50992.0;15952.0;35040.0;1004500000.0;118000.0;20.0;14.0
39.0;0.0;38.0;51071.0;16023.0;35048.0;1005000000.0;120000.0;24.0;10.0
42.0;0.0;38.0;51155.0;16096.0;35059.0;1005250000.0;121000.0;26.0;5.0
45.0;0.0;38.0;51236.0;16173.0;35063.0;1005650000.0;122600.0;18.0;8.0
48.0;2.0;40.0;51313.0;16247.0;35066.0;1006050000.0;124200.0;23.0;8.0
51.0;1.0;41.0;51383.0;16326.0;35057.0;1006900000.0;127600.0;16.0;17.0
54.0;0.0;41.0;51467.0;16410.0;35057.0;1007150000.0;128600.0;14.0;5.0
57.0;0.0;41.0;51554.0;16488.0;35066.0;1007250000.0;129000.0;21.0;2.0
60.0;1.0;42.0;51639.0;16567.0;35072.0;1007350000.0;129400.0;19.0;2.0
63.0;1.0;43.0;51720.0;16638.0;35082.0;1007650000.0;130600.0;25.0;6.0
66.0;0.0;43.0;51801.0;16708.0;35093.0;1008050000.0;132200.0;27.0;8.0
69.0;0.0;43.0;51884.0;16786.0;35098.0;1008350000.0;133400.0;19.0;6.0
72.0;0.0;43.0;51965.0;16859.0;35106.0;1008750000.0;135000.0;24.0;8.0
75.0;1.0;44.0;52039.0;16931.0;35108.0;1009400000.0;137600.0;19.0;13.0
78.0;0.0;44.0;52119.0;17006.0;35113.0;1009850000.0;139400.0;21.0;9.0
81.0;0.0;44.0;52197.0;17074.0;35123.0;1010400000.0;141600.0;28.0;11.0
84.0;0.0;44.0;52270.0;17144.0;35126.0;1011200000.0;144800.0;23.0;16.0
87.0;1.0;45.0;52344.0;17223.0;35121.0;1011850000.0;147400.0;16.0;13.0
90.0;0.0;45.0;52422.0;17290.0;35132.0;1012400000.0;149600.0;25.0;11.0
93.0;2.0;47.0;52498.0;17354.0;35144.0;1012850000.0;151400.0;30.0;9.0
96.0;0.0;47.0;52571.0;17424.0;35147.0;1013650000.0;154600.0;26.0;16.0
99.0;0.0;47.0;52656.0;17499.0;35157.0;1013850000.0;155400.0;24.0;4.0
102.0;1.0;48.0;52732.0;17573.0;35159.0;1014400000.0;157600.0;23.0;11.0
105.0;0.0;48.0;52812.0;17638.0;35174.0;1014850000.0;159400.0;29.0;9.0
108.0;0.0;48.0;52889.0;17698.0;35191.0;1015450000.0;161800.0;31.0;12.0
111.0;1.0;49.0;52970.0;17763.0;35207.0;1015750000.0;163000.0;31.0;6.0
114.0;0.0;49.0;53050.0;17842.0;35208.0;1016200000.0;164800.0;18.0;9.0
117.0;0.0;49.0;53124.0;17914.0;35210.0;1016950000.0;167800.0;22.0;15.0
120.0;0.0;49.0;53202.0;17988.0;35214.0;1017500000.0;170000.0;22.0;11.0
123.0;1.0;50.0;53277.0;18056.0;35221.0;1018100000.0;172400.0;27.0;12.0
126.0;0.0;50.0;53362.0;18130.0;35232.0;1018300000.0;173200.0;25.0;4.0
129.0;0.0;50.0;53439.0;18197.0;35242.0;1018900000.0;175600.0;27.0;12.0
132.0;0.0;50.0;53517.0;18276.0;35241.0;1019450000.0;177800.0;16.0;11.0
135.0;1.0;51.0;53587.0;18340.0;35247.0;1020300000.0;181200.0;28.0;17.0
138.0;1.0;52.0;53665.0;18418.0;35247.0;1020750000.0;183000.0;16.0;9.0
141.0;0.0;52.0;53740.0;18496.0;35244.0;1021450000.0;185800.0;18.0;14.0
144.0;0.0;52.0;53819.0;18565.0;35254.0;1021950000.0;187800.0;27.0;10.0
147.0;0.0;52.0;53897.0;18634.0;35263.0;1022500000.0;190000.0;25.0;11.0
150.0;0.0;52.0;53968.0;18704.0;35264.0;1023400000.0;193600.0;23.0;18.0
153.0;1.0;53.0;54042.0;18779.0;35263.0;1024050000.0;196200.0;21.0;13.0
156.0;0.0;53.0;54118.0;18844.0;35274.0;1024700000.0;198800.0;30.0;13.0
159.0;0.0;53.0;54194.0;18921.0;35273.0;1025350000.0;201400.0;19.0;13.0
162.0;0.0;53.0;54268.0;18991.0;35277.0;1026100000.0;204400.0;22.0;15.0
165.0;0.0;53.0;54341.0;19055.0;35286.0;1026900000.0;207600.0;32.0;16.0
168.0;0.0;53.0;54416.0;19124.0;35292.0;1027600000.0;210400.0;25.0;14.0
171.0;0.0;53.0;54487.0;19192.0;35295.0;1028500000.0;214000.0;25.0;18.0
174.0;0.0;53.0;54559.0;19253.0;35306.0;1029350000.0;217400.0;34.0;17.0
177.0;0.0;53.0;54631.0;19319.0;35312.0;1030200000.0;220800.0;26.0;17.0
180.0;0.0;53.0;54704.0;19379.0;35325.0;1031000000.0;224000.0;32.0;16.0
183.0;1.0;54.0;54773.0;19452.0;35321.0;1031900000.0;227600.0;22.0;18.0
186.0;0.0;54.0;54844.0;19513.0;35331.0;1032800000.0;231200.0;30.0;18.0
189.0;1.0;55.0;54908.0;19578.0;35330.0;1033950000.0;235800.0;24.0;23.0
192.0;0.0;55.0;54969.0;19644.0;35325.0;1035350000.0;241400.0;25.0;28.0
195.0;0.0;55.0;55038.0;19714.0;35324.0;1036350000.0;245400.0;21.0;20.0
198.0;0.0;55.0;55112.0;19777.0;35335.0;1037100000.0;248400.0;29.0;15.0
201.0;1.0;56.0;55175.0;19848.0;35327.0;1038300000.0;253200.0;22.0;24.0
204.0;0.0;56.0;55229.0;19912.0;35317.0;1040050000.0;260200.0;21.0;35.0
207.0;0.0;56.0;55298.0;19976.0;35322.0;1041050000.0;264200.0;24.0;20.0
210.0;1.0;57.0;55368.0;20052.0;35316.0;1041900000.0;267600.0;17.0;17.0
213.0;1.0;58.0;55435.0;20123.0;35312.0;1042900000.0;271600.0;25.0;20.0
216.0;0.0;58.0;55507.0;20193.0;35314.0;1043750000.0;275000.0;25.0;17.0
219.0;0.0;58.0;55576.0;20250.0;35326.0;1044750000.0;279000.0;31.0;20.0
222.0;0.0;58.0;55639.0;20316.0;35323.0;1046050000.0;284200.0;22.0;26.0
225.0;0.0;58.0;55705.0;20374.0;35331.0;1047200000.0;288800.0;29.0;23.0
228.0;0.0;58.0;55774.0;20435.0;35339.0;1048200000.0;292800.0;31.0;20.0
231.0;0.0;58.0;55846.0;20490.0;35356.0;1049050000.0;296200.0;37.0;17.0
234.0;0.0;58.0;55912.0;20556.0;35356.0;1050200000.0;300800.0;25.0;23.0
237.0;0.0;58.0;55980.0;20614.0;35366.0;1051250000.0;305000.0;31.0;21.0
240.0;0.0;58.0;56043.0;20688.0;35355.0;1052550000.0;310200.0;19.0;26.0
243.0;1.0;59.0;56093.0;20748.0;35345.0;1054400000.0;317600.0;32.0;37.0
246.0;1.0;60.0;56163.0;20815.0;35348.0;1055250000.0;321000.0;27.0;17.0
249.0;0.0;60.0;56225.0;20869.0;35356.0;1056600000.0;326400.0;37.0;27.0
252.0;1.0;61.0;56295.0;20942.0;35353.0;1057450000.0;329800.0;20.0;17.0
255.0;0.0;61.0;56363.0;21000.0;35363.0;1058500000.0;334000.0;30.0;21.0
