Hubald model simulation data
""
starting_time = Tue Dec 12 14:23:10 2023
finishing_time = Wed Dec 13 06:06:15 2023
elapsed_time = 56585.46179676056 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 20

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;26.0;-2.6021628466906024e+304;50124.0;15104.0;35020.0;1000200000.0;100800.0;24.0;4.0
3.0;1.0;-2.6021628466906384e+304;50298.0;15284.0;35014.0;1000350000.0;101400.0;18.0;3.0
6.0;1.0;-2.6021628466906384e+304;50464.0;15456.0;35008.0;1000900000.0;103600.0;24.0;11.0
9.0;2.0;-2.6021628466906384e+304;50634.0;15633.0;35001.0;1001150000.0;104600.0;22.0;5.0
12.0;0.0;-2.602162846690641e+304;50800.0;15815.0;34985.0;1001800000.0;107200.0;14.0;13.0
15.0;1.0;-2.602162846690643e+304;50971.0;15975.0;34996.0;1002100000.0;108400.0;36.0;6.0
18.0;0.0;-2.602162846690643e+304;51141.0;16147.0;34994.0;1002550000.0;110200.0;22.0;9.0
21.0;2.0;-2.602162846690643e+304;51311.0;16326.0;34985.0;1002800000.0;111200.0;19.0;5.0
24.0;0.0;-2.602162846690643e+304;51478.0;16509.0;34969.0;1003400000.0;113600.0;16.0;12.0
27.0;0.0;-2.602162846690643e+304;51654.0;16684.0;34970.0;1003550000.0;114200.0;22.0;3.0
30.0;0.0;-2.602162846690643e+304;51829.0;16857.0;34972.0;1003750000.0;115000.0;24.0;4.0
33.0;0.0;-2.602162846690643e+304;52000.0;17033.0;34967.0;1004150000.0;116600.0;19.0;8.0
36.0;1.0;-2.602162846690643e+304;52171.0;17211.0;34960.0;1004450000.0;117800.0;16.0;6.0
39.0;0.0;-2.602162846690643e+304;52342.0;17389.0;34953.0;1004850000.0;119400.0;17.0;8.0
42.0;0.0;-2.602162846690643e+304;52512.0;17566.0;34946.0;1005300000.0;121200.0;18.0;9.0
45.0;0.0;-2.602162846690643e+304;52686.0;17749.0;34937.0;1005550000.0;122200.0;15.0;5.0
48.0;1.0;-2.602162846690643e+304;52859.0;17927.0;34932.0;1005750000.0;123000.0;20.0;4.0
51.0;1.0;-2.602162846690643e+304;53022.0;18090.0;34932.0;1006450000.0;125800.0;29.0;14.0
54.0;0.0;-2.602162846690643e+304;53191.0;18269.0;34922.0;1006950000.0;127800.0;19.0;10.0
57.0;0.0;-2.602162846690643e+304;53366.0;18451.0;34915.0;1007150000.0;128600.0;17.0;4.0
60.0;2.0;-2.602162846690643e+304;53534.0;18630.0;34904.0;1007500000.0;130000.0;20.0;7.0
63.0;0.0;-2.602162846690643e+304;53703.0;18802.0;34901.0;1008000000.0;132000.0;22.0;10.0
66.0;0.0;-2.602162846690643e+304;53877.0;18978.0;34899.0;1008250000.0;133000.0;21.0;5.0
69.0;0.0;-2.602162846690643e+304;54049.0;19159.0;34890.0;1008600000.0;134400.0;16.0;7.0
72.0;0.0;-2.602162846690643e+304;54216.0;19332.0;34884.0;1009200000.0;136800.0;23.0;12.0
75.0;2.0;-2.602162846690643e+304;54382.0;19506.0;34876.0;1009650000.0;138600.0;23.0;9.0
78.0;1.0;-2.602162846690643e+304;54551.0;19673.0;34878.0;1010050000.0;140200.0;30.0;8.0
81.0;0.0;-2.602162846690643e+304;54725.0;19843.0;34882.0;1010300000.0;141200.0;28.0;5.0
84.0;1.0;-2.602162846690643e+304;54889.0;20011.0;34878.0;1010950000.0;143800.0;27.0;13.0
87.0;1.0;-2.602162846690643e+304;55062.0;20183.0;34879.0;1011150000.0;144600.0;26.0;4.0
90.0;0.0;-2.602162846690643e+304;55228.0;20354.0;34874.0;1011800000.0;147200.0;22.0;13.0
93.0;1.0;-2.602162846690643e+304;55398.0;20527.0;34871.0;1012150000.0;148600.0;23.0;7.0
96.0;0.0;-2.602162846690643e+304;55568.0;20695.0;34873.0;1012600000.0;150400.0;27.0;9.0
99.0;0.0;-2.602162846690643e+304;55737.0;20866.0;34871.0;1013100000.0;152400.0;24.0;10.0
102.0;0.0;-2.602162846690643e+304;55900.0;21028.0;34872.0;1013900000.0;155600.0;30.0;16.0
105.0;0.0;-2.602162846690643e+304;56069.0;21203.0;34866.0;1014400000.0;157600.0;21.0;10.0
108.0;0.0;-2.602162846690643e+304;56237.0;21369.0;34868.0;1014950000.0;159800.0;29.0;11.0
111.0;0.0;-2.602162846690643e+304;56402.0;21542.0;34860.0;1015650000.0;162600.0;21.0;14.0
114.0;0.0;-2.602162846690643e+304;56570.0;21701.0;34869.0;1016200000.0;164800.0;35.0;11.0
117.0;2.0;-2.602162846690643e+304;56731.0;21861.0;34870.0;1016900000.0;167600.0;34.0;14.0
120.0;0.0;-2.602162846690643e+304;56899.0;22039.0;34860.0;1017450000.0;169800.0;18.0;11.0
123.0;0.0;-2.602162846690643e+304;57063.0;22198.0;34865.0;1018200000.0;172800.0;32.0;15.0
