Hubald model simulation data
""
starting_time = Wed Dec 13 16:14:36 2023
finishing_time = Thu Dec 14 15:41:50 2023
elapsed_time = 84434.24393081665 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;21.0;50222.0;15206.0;35016.0;1000300000.0;101200.0;21.0;6.0
3.0;2.0;23.0;50482.0;15489.0;34993.0;1000550000.0;102200.0;15.0;5.0
6.0;2.0;25.0;50733.0;15768.0;34965.0;1001250000.0;105000.0;16.0;14.0
9.0;3.0;28.0;50987.0;16044.0;34943.0;1001700000.0;106800.0;21.0;9.0
12.0;2.0;30.0;51244.0;16316.0;34928.0;1002100000.0;108400.0;24.0;8.0
15.0;1.0;31.0;51505.0;16592.0;34913.0;1002400000.0;109600.0;23.0;6.0
18.0;1.0;32.0;51764.0;16872.0;34892.0;1002800000.0;111200.0;19.0;8.0
21.0;1.0;33.0;52023.0;17150.0;34873.0;1003200000.0;112800.0;20.0;8.0
24.0;1.0;34.0;52283.0;17422.0;34861.0;1003550000.0;114200.0;24.0;7.0
27.0;0.0;34.0;52548.0;17693.0;34855.0;1003750000.0;115000.0;25.0;4.0
30.0;1.0;35.0;52808.0;17962.0;34846.0;1004100000.0;116400.0;26.0;7.0
33.0;1.0;36.0;53068.0;18240.0;34828.0;1004450000.0;117800.0;18.0;7.0
36.0;0.0;36.0;53331.0;18510.0;34821.0;1004750000.0;119000.0;27.0;6.0
39.0;1.0;37.0;53591.0;18790.0;34801.0;1005100000.0;120400.0;18.0;7.0
42.0;0.0;37.0;53850.0;19066.0;34784.0;1005600000.0;122400.0;20.0;10.0
45.0;0.0;37.0;54106.0;19340.0;34766.0;1006250000.0;125000.0;22.0;13.0
48.0;1.0;38.0;54361.0;19608.0;34753.0;1006850000.0;127400.0;26.0;12.0
51.0;1.0;39.0;54625.0;19882.0;34743.0;1007000000.0;128000.0;25.0;3.0
54.0;0.0;39.0;54889.0;20158.0;34731.0;1007250000.0;129000.0;22.0;5.0
57.0;0.0;39.0;55153.0;20426.0;34727.0;1007500000.0;130000.0;30.0;5.0
60.0;1.0;40.0;55412.0;20690.0;34722.0;1007900000.0;131600.0;30.0;8.0
63.0;0.0;40.0;55673.0;20961.0;34712.0;1008300000.0;133200.0;23.0;8.0
66.0;0.0;40.0;55930.0;21227.0;34703.0;1008900000.0;135600.0;26.0;12.0
69.0;1.0;41.0;56188.0;21494.0;34694.0;1009350000.0;137400.0;29.0;9.0
72.0;0.0;41.0;56447.0;21763.0;34684.0;1009850000.0;139400.0;27.0;10.0
75.0;1.0;42.0;56701.0;22041.0;34660.0;1010500000.0;142000.0;18.0;13.0
78.0;1.0;43.0;56962.0;22305.0;34657.0;1010800000.0;143200.0;33.0;6.0
81.0;1.0;44.0;57217.0;22574.0;34643.0;1011400000.0;145600.0;26.0;12.0
84.0;0.0;44.0;57473.0;22832.0;34641.0;1012050000.0;148200.0;38.0;13.0
87.0;0.0;44.0;57738.0;23105.0;34633.0;1012250000.0;149000.0;25.0;4.0
90.0;0.0;44.0;57996.0;23371.0;34625.0;1012800000.0;151200.0;27.0;11.0
93.0;0.0;44.0;58252.0;23631.0;34621.0;1013450000.0;153800.0;35.0;13.0
96.0;1.0;45.0;58513.0;23903.0;34610.0;1013750000.0;155000.0;24.0;6.0
99.0;0.0;45.0;58772.0;24176.0;34596.0;1014250000.0;157000.0;24.0;10.0
102.0;1.0;46.0;59027.0;24432.0;34595.0;1014850000.0;159400.0;36.0;12.0
105.0;1.0;47.0;59281.0;24700.0;34581.0;1015500000.0;162000.0;28.0;13.0
108.0;0.0;47.0;59534.0;24960.0;34574.0;1016300000.0;165200.0;30.0;16.0
111.0;0.0;47.0;59788.0;25215.0;34573.0;1017050000.0;168200.0;39.0;15.0
114.0;1.0;48.0;60044.0;25471.0;34573.0;1017600000.0;170400.0;36.0;11.0
117.0;0.0;48.0;60304.0;25741.0;34563.0;1018050000.0;172200.0;24.0;9.0
120.0;1.0;49.0;60554.0;25993.0;34561.0;1018900000.0;175600.0;41.0;17.0
123.0;1.0;50.0;60807.0;26243.0;34564.0;1019600000.0;178400.0;45.0;14.0
126.0;0.0;50.0;61058.0;26509.0;34549.0;1020500000.0;182000.0;27.0;18.0
129.0;0.0;50.0;61308.0;26767.0;34541.0;1021450000.0;185800.0;32.0;19.0
132.0;0.0;50.0;61566.0;27028.0;34538.0;1022000000.0;188000.0;35.0;11.0
135.0;0.0;50.0;61819.0;27298.0;34521.0;1022800000.0;191200.0;24.0;16.0
138.0;1.0;51.0;62070.0;27565.0;34505.0;1023600000.0;194400.0;25.0;16.0
141.0;2.0;53.0;62323.0;27818.0;34505.0;1024200000.0;196800.0;38.0;12.0
144.0;1.0;54.0;62576.0;28072.0;34504.0;1024900000.0;199600.0;39.0;14.0
147.0;0.0;54.0;62835.0;28319.0;34516.0;1025400000.0;201600.0;49.0;10.0
150.0;0.0;54.0;63091.0;28572.0;34519.0;1026050000.0;204200.0;42.0;13.0
