Hubald model simulation data
""
starting_time = Thu Dec 21 13:10:55 2023
finishing_time = Sat Dec 23 07:15:37 2023
elapsed_time = 151482.32866501808 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;26.0;26.0;50395.0;15407.0;34988.0;1000150000.0;100600.0;21.0;3.0
3.0;0.0;26.0;50836.0;15884.0;34952.0;1000550000.0;102200.0;19.0;8.0
6.0;0.0;26.0;51269.0;16356.0;34913.0;1001350000.0;105400.0;20.0;16.0
9.0;2.0;28.0;51708.0;16843.0;34865.0;1001650000.0;106600.0;10.0;6.0
12.0;0.0;28.0;52146.0;17311.0;34835.0;1002200000.0;108800.0;28.0;11.0
15.0;1.0;29.0;52586.0;17786.0;34800.0;1002550000.0;110200.0;20.0;7.0
18.0;0.0;29.0;53030.0;18262.0;34768.0;1002800000.0;111200.0;18.0;5.0
21.0;2.0;31.0;53466.0;18730.0;34736.0;1003250000.0;113000.0;27.0;9.0
24.0;1.0;32.0;53907.0;19199.0;34708.0;1003550000.0;114200.0;27.0;6.0
27.0;0.0;32.0;54350.0;19670.0;34680.0;1003850000.0;115400.0;25.0;6.0
30.0;0.0;32.0;54785.0;20135.0;34650.0;1004550000.0;118200.0;30.0;14.0
33.0;1.0;33.0;55229.0;20610.0;34619.0;1004700000.0;118800.0;22.0;3.0
36.0;0.0;33.0;55666.0;21075.0;34591.0;1005300000.0;121200.0;29.0;12.0
39.0;0.0;33.0;56103.0;21540.0;34563.0;1005900000.0;123600.0;30.0;12.0
42.0;0.0;33.0;56541.0;22000.0;34541.0;1006450000.0;125800.0;33.0;11.0
45.0;1.0;34.0;56981.0;22469.0;34512.0;1006800000.0;127200.0;27.0;7.0
48.0;0.0;34.0;57422.0;22945.0;34477.0;1007200000.0;128800.0;20.0;8.0
