Hubald model simulation data
""
starting_time = Tue Feb  6 15:15:52 2024
finishing_time = Fri Feb  9 06:57:14 2024
elapsed_time = 229282.27372264862 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;20.0;20.0;50410.0;15411.0;34999.0;1000000000.0;100000.0;18.0;0.0
3.0;4.0;24.0;50851.0;15898.0;34953.0;1000000000.0;100000.0;12.0;0.0
6.0;3.0;27.0;51283.0;16383.0;34900.0;1000550000.0;102200.0;14.0;11.0
9.0;1.0;28.0;51724.0;16867.0;34857.0;1000850000.0;103400.0;15.0;6.0
12.0;3.0;31.0;52162.0;17353.0;34809.0;1001100000.0;104400.0;10.0;5.0
15.0;0.0;31.0;52609.0;17835.0;34774.0;1001200000.0;104800.0;16.0;2.0
18.0;0.0;31.0;53054.0;18320.0;34734.0;1001400000.0;105600.0;13.0;4.0
21.0;0.0;31.0;53499.0;18806.0;34693.0;1001600000.0;106400.0;13.0;4.0
24.0;0.0;31.0;53947.0;19289.0;34658.0;1001650000.0;106600.0;16.0;1.0
27.0;1.0;32.0;54388.0;19764.0;34624.0;1001950000.0;107800.0;21.0;6.0
30.0;0.0;32.0;54835.0;20250.0;34585.0;1002050000.0;108200.0;12.0;2.0
33.0;1.0;33.0;55276.0;20729.0;34547.0;1002350000.0;109400.0;16.0;6.0
36.0;0.0;33.0;55724.0;21212.0;34512.0;1002400000.0;109600.0;16.0;1.0
39.0;0.0;33.0;56170.0;21695.0;34475.0;1002550000.0;110200.0;15.0;3.0
42.0;1.0;34.0;56613.0;22181.0;34432.0;1002750000.0;111000.0;11.0;4.0
45.0;1.0;35.0;57054.0;22664.0;34390.0;1003050000.0;112200.0;14.0;6.0
48.0;0.0;35.0;57498.0;23146.0;34352.0;1003300000.0;113200.0;16.0;5.0
51.0;1.0;36.0;57939.0;23628.0;34311.0;1003600000.0;114400.0;12.0;6.0
54.0;0.0;36.0;58379.0;24109.0;34270.0;1004050000.0;116200.0;13.0;9.0
57.0;1.0;37.0;58824.0;24595.0;34229.0;1004150000.0;116600.0;12.0;2.0
60.0;0.0;37.0;59268.0;25074.0;34194.0;1004400000.0;117600.0;19.0;5.0
63.0;0.0;37.0;59713.0;25552.0;34161.0;1004600000.0;118400.0;19.0;4.0
66.0;1.0;38.0;60153.0;26031.0;34122.0;1004950000.0;119800.0;15.0;7.0
69.0;0.0;38.0;60598.0;26506.0;34092.0;1005150000.0;120600.0;21.0;4.0
72.0;1.0;39.0;61037.0;26981.0;34056.0;1005550000.0;122200.0;21.0;8.0
75.0;0.0;39.0;61483.0;27455.0;34028.0;1005700000.0;122800.0;22.0;3.0
78.0;0.0;39.0;61930.0;27930.0;34000.0;1005800000.0;123200.0;24.0;2.0
81.0;1.0;40.0;62373.0;28402.0;33971.0;1006000000.0;124000.0;26.0;4.0
84.0;1.0;41.0;62814.0;28874.0;33940.0;1006300000.0;125200.0;24.0;6.0
87.0;0.0;41.0;63258.0;29347.0;33911.0;1006550000.0;126200.0;23.0;5.0
90.0;0.0;41.0;63703.0;29830.0;33873.0;1006750000.0;127000.0;14.0;4.0
93.0;0.0;41.0;64147.0;30300.0;33847.0;1007000000.0;128000.0;28.0;5.0
96.0;0.0;41.0;64592.0;30770.0;33822.0;1007200000.0;128800.0;27.0;4.0
99.0;0.0;41.0;65035.0;31248.0;33787.0;1007500000.0;130000.0;18.0;6.0
102.0;0.0;41.0;65478.0;31723.0;33755.0;1007800000.0;131200.0;23.0;6.0
105.0;0.0;41.0;65922.0;32205.0;33717.0;1008050000.0;132200.0;15.0;5.0
108.0;0.0;41.0;66365.0;32671.0;33694.0;1008350000.0;133400.0;28.0;6.0
111.0;0.0;41.0;66811.0;33144.0;33667.0;1008500000.0;134000.0;24.0;3.0
114.0;0.0;41.0;67250.0;33604.0;33646.0;1009000000.0;136000.0;35.0;10.0
117.0;0.0;41.0;67695.0;34077.0;33618.0;1009200000.0;136800.0;25.0;4.0
120.0;1.0;42.0;68134.0;34556.0;33578.0;1009600000.0;138400.0;17.0;8.0
123.0;0.0;42.0;68577.0;35037.0;33540.0;1009900000.0;139600.0;18.0;6.0
126.0;0.0;42.0;69020.0;35498.0;33522.0;1010200000.0;140800.0;34.0;6.0
129.0;0.0;42.0;69461.0;35971.0;33490.0;1010600000.0;142400.0;22.0;8.0
132.0;0.0;42.0;69908.0;36431.0;33477.0;1010700000.0;142800.0;39.0;2.0
135.0;0.0;42.0;70349.0;36903.0;33446.0;1011100000.0;144400.0;24.0;8.0
138.0;1.0;43.0;70786.0;37364.0;33422.0;1011600000.0;146400.0;33.0;10.0
141.0;2.0;45.0;71224.0;37836.0;33388.0;1011950000.0;147800.0;25.0;7.0
