Hubald model simulation data
""
starting_time = Tue Feb 13 14:07:42 2024
finishing_time = Tue Feb 13 23:00:54 2024
elapsed_time = 31991.887705802917 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0004
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;21.0;50041.0;15011.0;35030.0;1000350000.0;101400.0;13.0;7.0
3.0;2.0;23.0;50122.0;15092.0;35030.0;1000550000.0;102200.0;18.0;4.0
6.0;2.0;25.0;50202.0;15180.0;35022.0;1000800000.0;103200.0;10.0;5.0
9.0;1.0;26.0;50281.0;15263.0;35018.0;1001200000.0;104800.0;14.0;8.0
12.0;1.0;27.0;50360.0;15343.0;35017.0;1001600000.0;106400.0;17.0;8.0
15.0;1.0;28.0;50440.0;15430.0;35010.0;1001950000.0;107800.0;10.0;7.0
18.0;0.0;28.0;50523.0;15512.0;35011.0;1002250000.0;109000.0;14.0;6.0
21.0;2.0;30.0;50604.0;15591.0;35013.0;1002450000.0;109800.0;19.0;4.0
24.0;1.0;31.0;50684.0;15676.0;35008.0;1002800000.0;111200.0;11.0;7.0
27.0;1.0;32.0;50765.0;15759.0;35006.0;1003100000.0;112400.0;14.0;6.0
30.0;0.0;32.0;50849.0;15839.0;35010.0;1003350000.0;113400.0;16.0;5.0
33.0;1.0;33.0;50928.0;15918.0;35010.0;1003750000.0;115000.0;17.0;8.0
36.0;1.0;34.0;51010.0;15998.0;35012.0;1004000000.0;116000.0;19.0;5.0
39.0;1.0;35.0;51086.0;16077.0;35009.0;1004550000.0;118200.0;17.0;11.0
42.0;0.0;35.0;51172.0;16158.0;35014.0;1004700000.0;118800.0;16.0;3.0
45.0;0.0;35.0;51254.0;16237.0;35017.0;1005050000.0;120200.0;19.0;7.0
48.0;0.0;35.0;51335.0;16321.0;35014.0;1005450000.0;121800.0;13.0;8.0
51.0;1.0;36.0;51419.0;16404.0;35015.0;1005600000.0;122400.0;14.0;3.0
54.0;0.0;36.0;51497.0;16484.0;35013.0;1006150000.0;124600.0;17.0;11.0
57.0;0.0;36.0;51577.0;16569.0;35008.0;1006600000.0;126400.0;9.0;9.0
60.0;0.0;36.0;51658.0;16647.0;35011.0;1007000000.0;128000.0;18.0;8.0
63.0;2.0;38.0;51733.0;16723.0;35010.0;1007500000.0;130000.0;19.0;10.0
66.0;0.0;38.0;51818.0;16799.0;35019.0;1007700000.0;130800.0;23.0;4.0
69.0;0.0;38.0;51900.0;16882.0;35018.0;1008050000.0;132200.0;15.0;7.0
72.0;0.0;38.0;51985.0;16960.0;35025.0;1008250000.0;133000.0;17.0;4.0
75.0;1.0;39.0;52065.0;17043.0;35022.0;1008600000.0;134400.0;14.0;7.0
78.0;1.0;40.0;52147.0;17124.0;35023.0;1008850000.0;135400.0;16.0;5.0
81.0;0.0;40.0;52227.0;17203.0;35024.0;1009300000.0;137200.0;17.0;9.0
84.0;0.0;40.0;52310.0;17282.0;35028.0;1009600000.0;138400.0;19.0;6.0
87.0;0.0;40.0;52395.0;17361.0;35034.0;1009800000.0;139200.0;18.0;4.0
90.0;1.0;41.0;52472.0;17441.0;35031.0;1010300000.0;141200.0;15.0;10.0
93.0;0.0;41.0;52555.0;17526.0;35029.0;1010600000.0;142400.0;14.0;6.0
96.0;2.0;43.0;52634.0;17604.0;35030.0;1010900000.0;143600.0;21.0;6.0
99.0;1.0;44.0;52711.0;17686.0;35025.0;1011400000.0;145600.0;13.0;10.0
102.0;0.0;44.0;52789.0;17764.0;35025.0;1011950000.0;147800.0;16.0;11.0
105.0;1.0;45.0;52867.0;17844.0;35023.0;1012400000.0;149600.0;16.0;9.0
108.0;1.0;46.0;52946.0;17912.0;35034.0;1012800000.0;151200.0;26.0;8.0
111.0;1.0;47.0;53027.0;17993.0;35034.0;1013100000.0;152400.0;17.0;6.0
114.0;0.0;47.0;53102.0;18071.0;35031.0;1013800000.0;155200.0;15.0;14.0
117.0;0.0;47.0;53182.0;18144.0;35038.0;1014250000.0;157000.0;24.0;9.0
120.0;0.0;47.0;53263.0;18220.0;35043.0;1014650000.0;158600.0;19.0;8.0
123.0;0.0;47.0;53343.0;18297.0;35046.0;1015100000.0;160400.0;22.0;9.0
126.0;1.0;48.0;53421.0;18369.0;35052.0;1015550000.0;162200.0;24.0;9.0
129.0;0.0;48.0;53503.0;18447.0;35056.0;1015900000.0;163600.0;17.0;7.0
132.0;1.0;49.0;53581.0;18519.0;35062.0;1016350000.0;165400.0;23.0;9.0
135.0;2.0;51.0;53662.0;18595.0;35067.0;1016550000.0;166200.0;21.0;4.0
138.0;0.0;51.0;53743.0;18675.0;35068.0;1016950000.0;167800.0;14.0;8.0
141.0;0.0;51.0;53828.0;18762.0;35066.0;1017150000.0;168600.0;12.0;4.0
144.0;0.0;51.0;53905.0;18834.0;35071.0;1017750000.0;171000.0;24.0;12.0
147.0;0.0;51.0;53982.0;18916.0;35066.0;1018350000.0;173400.0;13.0;12.0
150.0;0.0;51.0;54062.0;18993.0;35069.0;1018800000.0;175200.0;19.0;9.0
153.0;0.0;51.0;54142.0;19063.0;35079.0;1019250000.0;177000.0;24.0;9.0
156.0;0.0;51.0;54222.0;19138.0;35084.0;1019700000.0;178800.0;21.0;9.0
159.0;0.0;51.0;54303.0;19216.0;35087.0;1020100000.0;180400.0;18.0;8.0
162.0;0.0;51.0;54382.0;19294.0;35088.0;1020600000.0;182400.0;18.0;10.0
165.0;0.0;51.0;54458.0;19374.0;35084.0;1021250000.0;185000.0;15.0;13.0
168.0;0.0;51.0;54541.0;19451.0;35090.0;1021550000.0;186200.0;20.0;6.0
171.0;1.0;52.0;54622.0;19532.0;35090.0;1021850000.0;187400.0;17.0;6.0
174.0;1.0;53.0;54695.0;19612.0;35083.0;1022550000.0;190200.0;15.0;14.0
177.0;0.0;53.0;54773.0;19689.0;35084.0;1023100000.0;192400.0;17.0;11.0
180.0;1.0;54.0;54853.0;19770.0;35083.0;1023450000.0;193800.0;16.0;7.0
