Hubald model simulation data
""
starting_time = Mon Jan  8 15:04:29 2024
finishing_time = Mon Jan  8 22:20:58 2024
elapsed_time = 26188.41668987274 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;24.0;24.0;50038.0;15019.0;35019.0;1000200000.0;100800.0;9.0;4.0
3.0;3.0;27.0;50120.0;15109.0;35011.0;1000250000.0;101000.0;9.0;1.0
6.0;1.0;28.0;50206.0;15201.0;35005.0;1000300000.0;101200.0;7.0;1.0
9.0;1.0;29.0;50288.0;15291.0;34997.0;1000550000.0;102200.0;9.0;5.0
12.0;1.0;30.0;50372.0;15380.0;34992.0;1000700000.0;102800.0;9.0;3.0
15.0;1.0;31.0;50459.0;15470.0;34989.0;1000700000.0;102800.0;9.0;0.0
18.0;0.0;31.0;50544.0;15558.0;34986.0;1000900000.0;103600.0;11.0;4.0
21.0;1.0;32.0;50627.0;15647.0;34980.0;1001100000.0;104400.0;8.0;4.0
24.0;1.0;33.0;50708.0;15736.0;34972.0;1001400000.0;105600.0;9.0;6.0
27.0;0.0;33.0;50795.0;15824.0;34971.0;1001500000.0;106000.0;10.0;2.0
30.0;1.0;34.0;50880.0;15908.0;34972.0;1001600000.0;106400.0;13.0;2.0
33.0;1.0;35.0;50964.0;15999.0;34965.0;1001750000.0;107000.0;8.0;3.0
36.0;2.0;37.0;51046.0;16086.0;34960.0;1001900000.0;107600.0;11.0;3.0
39.0;0.0;37.0;51133.0;16176.0;34957.0;1002000000.0;108000.0;8.0;2.0
42.0;0.0;37.0;51220.0;16262.0;34958.0;1002100000.0;108400.0;12.0;2.0
45.0;0.0;37.0;51305.0;16354.0;34951.0;1002300000.0;109200.0;6.0;4.0
48.0;1.0;38.0;51390.0;16442.0;34948.0;1002400000.0;109600.0;10.0;2.0
51.0;1.0;39.0;51474.0;16535.0;34939.0;1002550000.0;110200.0;5.0;3.0
54.0;0.0;39.0;51559.0;16627.0;34932.0;1002750000.0;111000.0;5.0;4.0
57.0;0.0;39.0;51646.0;16720.0;34926.0;1002850000.0;111400.0;6.0;2.0
60.0;0.0;39.0;51734.0;16814.0;34920.0;1002900000.0;111600.0;4.0;1.0
63.0;1.0;40.0;51820.0;16904.0;34916.0;1002950000.0;111800.0;9.0;1.0
66.0;0.0;40.0;51907.0;16994.0;34913.0;1003050000.0;112200.0;8.0;2.0
69.0;0.0;40.0;51991.0;17079.0;34912.0;1003300000.0;113200.0;12.0;5.0
72.0;0.0;40.0;52077.0;17168.0;34909.0;1003450000.0;113800.0;9.0;3.0
75.0;0.0;40.0;52160.0;17252.0;34908.0;1003750000.0;115000.0;11.0;6.0
