Hubald model simulation data
""
starting_time = Tue Jan  9 17:21:27 2024
finishing_time = Wed Jan 10 09:35:44 2024
elapsed_time = 58456.791405916214 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 20

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;23.0;50129.0;15123.0;35006.0;1000250000.0;101000.0;5.0;5.0
3.0;1.0;24.0;50305.0;15315.0;34990.0;1000300000.0;101200.0;7.0;1.0
6.0;0.0;24.0;50483.0;15505.0;34978.0;1000350000.0;101400.0;9.0;1.0
9.0;3.0;27.0;50655.0;15690.0;34965.0;1000400000.0;101600.0;14.0;1.0
12.0;1.0;28.0;50828.0;15882.0;34946.0;1000600000.0;102400.0;5.0;4.0
15.0;2.0;30.0;51000.0;16068.0;34932.0;1000750000.0;103000.0;11.0;3.0
18.0;2.0;32.0;51169.0;16259.0;34910.0;1001050000.0;104200.0;8.0;6.0
21.0;0.0;32.0;51345.0;16450.0;34895.0;1001200000.0;104800.0;8.0;3.0
24.0;1.0;33.0;51521.0;16641.0;34880.0;1001250000.0;105000.0;8.0;1.0
27.0;1.0;34.0;51698.0;16833.0;34865.0;1001250000.0;105000.0;6.0;0.0
30.0;2.0;36.0;51868.0;17023.0;34845.0;1001500000.0;106000.0;6.0;5.0
33.0;0.0;36.0;52042.0;17215.0;34827.0;1001750000.0;107000.0;4.0;5.0
36.0;0.0;36.0;52219.0;17403.0;34816.0;1001850000.0;107400.0;9.0;2.0
39.0;1.0;37.0;52395.0;17595.0;34800.0;1001900000.0;107600.0;7.0;1.0
42.0;0.0;37.0;52571.0;17787.0;34784.0;1002050000.0;108200.0;7.0;3.0
45.0;0.0;37.0;52749.0;17978.0;34771.0;1002100000.0;108400.0;8.0;1.0
48.0;0.0;37.0;52927.0;18169.0;34758.0;1002150000.0;108600.0;8.0;1.0
51.0;0.0;37.0;53104.0;18361.0;34743.0;1002250000.0;109000.0;6.0;2.0
54.0;1.0;38.0;53280.0;18553.0;34727.0;1002300000.0;109200.0;7.0;1.0
57.0;2.0;40.0;53450.0;18744.0;34706.0;1002550000.0;110200.0;6.0;5.0
60.0;0.0;40.0;53626.0;18936.0;34690.0;1002700000.0;110800.0;6.0;3.0
63.0;0.0;40.0;53803.0;19127.0;34676.0;1002800000.0;111200.0;7.0;2.0
66.0;0.0;40.0;53982.0;19316.0;34666.0;1002800000.0;111200.0;10.0;0.0
69.0;0.0;40.0;54155.0;19502.0;34653.0;1003100000.0;112400.0;9.0;6.0
72.0;0.0;40.0;54333.0;19696.0;34637.0;1003150000.0;112600.0;5.0;1.0
