Hubald model simulation data
""
starting_time = Wed Jan 10 12:57:17 2024
finishing_time = Thu Jan 11 17:42:48 2024
elapsed_time = 103530.42993712425 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;23.0;50222.0;15218.0;35004.0;1000100000.0;100400.0;11.0;2.0
3.0;1.0;24.0;50489.0;15511.0;34978.0;1000100000.0;100400.0;5.0;0.0
6.0;3.0;27.0;50752.0;15797.0;34955.0;1000100000.0;100400.0;13.0;0.0
9.0;1.0;28.0;51016.0;16085.0;34931.0;1000250000.0;101000.0;11.0;3.0
12.0;2.0;30.0;51279.0;16377.0;34902.0;1000350000.0;101400.0;7.0;2.0
15.0;0.0;30.0;51545.0;16665.0;34880.0;1000500000.0;102000.0;9.0;3.0
18.0;1.0;31.0;51811.0;16958.0;34853.0;1000550000.0;102200.0;6.0;1.0
21.0;1.0;32.0;52075.0;17244.0;34831.0;1000700000.0;102800.0;11.0;3.0
24.0;3.0;35.0;52335.0;17531.0;34804.0;1000850000.0;103400.0;10.0;3.0
27.0;0.0;35.0;52600.0;17818.0;34782.0;1001050000.0;104200.0;9.0;4.0
30.0;1.0;36.0;52865.0;18110.0;34755.0;1001150000.0;104600.0;7.0;2.0
33.0;1.0;37.0;53124.0;18398.0;34726.0;1001550000.0;106200.0;9.0;8.0
36.0;0.0;37.0;53391.0;18687.0;34704.0;1001650000.0;106600.0;9.0;2.0
39.0;0.0;37.0;53657.0;18976.0;34681.0;1001800000.0;107200.0;8.0;3.0
42.0;1.0;38.0;53923.0;19266.0;34657.0;1001850000.0;107400.0;9.0;1.0
45.0;1.0;39.0;54186.0;19557.0;34629.0;1002050000.0;108200.0;7.0;4.0
48.0;0.0;39.0;54452.0;19849.0;34603.0;1002200000.0;108800.0;7.0;3.0
51.0;2.0;41.0;54714.0;20137.0;34577.0;1002350000.0;109400.0;10.0;3.0
54.0;0.0;41.0;54980.0;20427.0;34553.0;1002500000.0;110000.0;8.0;3.0
57.0;0.0;41.0;55247.0;20716.0;34531.0;1002600000.0;110400.0;10.0;2.0
60.0;1.0;42.0;55511.0;21008.0;34503.0;1002750000.0;111000.0;7.0;3.0
63.0;1.0;43.0;55777.0;21299.0;34478.0;1002800000.0;111200.0;8.0;1.0
66.0;0.0;43.0;56043.0;21588.0;34455.0;1002950000.0;111800.0;8.0;3.0
69.0;0.0;43.0;56310.0;21876.0;34434.0;1003050000.0;112200.0;11.0;2.0
72.0;0.0;43.0;56578.0;22161.0;34417.0;1003100000.0;112400.0;13.0;1.0
75.0;0.0;43.0;56843.0;22451.0;34392.0;1003300000.0;113200.0;9.0;4.0
78.0;0.0;43.0;57108.0;22739.0;34369.0;1003500000.0;114000.0;8.0;4.0
81.0;0.0;43.0;57373.0;23027.0;34346.0;1003700000.0;114800.0;10.0;4.0
84.0;0.0;43.0;57637.0;23308.0;34329.0;1003950000.0;115800.0;16.0;5.0
87.0;1.0;44.0;57902.0;23596.0;34306.0;1004050000.0;116200.0;9.0;2.0
90.0;0.0;44.0;58167.0;23885.0;34282.0;1004250000.0;117000.0;9.0;4.0
93.0;0.0;44.0;58433.0;24168.0;34265.0;1004400000.0;117600.0;16.0;3.0
96.0;1.0;45.0;58696.0;24451.0;34245.0;1004600000.0;118400.0;12.0;4.0
99.0;0.0;45.0;58962.0;24737.0;34225.0;1004750000.0;119000.0;12.0;3.0
102.0;0.0;45.0;59226.0;25023.0;34203.0;1005000000.0;120000.0;12.0;5.0
105.0;0.0;45.0;59488.0;25312.0;34176.0;1005350000.0;121400.0;7.0;7.0
108.0;0.0;45.0;59752.0;25594.0;34158.0;1005600000.0;122400.0;14.0;5.0
111.0;2.0;47.0;60016.0;25883.0;34133.0;1005650000.0;122600.0;9.0;1.0
114.0;0.0;47.0;60284.0;26168.0;34116.0;1005700000.0;122800.0;13.0;1.0
117.0;0.0;47.0;60551.0;26445.0;34106.0;1005800000.0;123200.0;20.0;2.0
120.0;1.0;48.0;60815.0;26734.0;34081.0;1005950000.0;123800.0;9.0;3.0
123.0;0.0;48.0;61081.0;27022.0;34059.0;1006100000.0;124400.0;9.0;3.0
126.0;0.0;48.0;61347.0;27307.0;34040.0;1006250000.0;125000.0;13.0;3.0
129.0;0.0;48.0;61613.0;27586.0;34027.0;1006400000.0;125600.0;18.0;3.0
132.0;1.0;49.0;61877.0;27874.0;34003.0;1006550000.0;126200.0;11.0;3.0
135.0;1.0;50.0;62141.0;28162.0;33979.0;1006700000.0;126800.0;8.0;3.0
138.0;0.0;50.0;62405.0;28441.0;33964.0;1006950000.0;127800.0;18.0;5.0
141.0;0.0;50.0;62665.0;28718.0;33947.0;1007400000.0;129600.0;18.0;9.0
144.0;0.0;50.0;62931.0;28993.0;33938.0;1007550000.0;130200.0;23.0;3.0
147.0;0.0;50.0;63190.0;29271.0;33919.0;1008050000.0;132200.0;17.0;10.0
150.0;0.0;50.0;63451.0;29558.0;33893.0;1008450000.0;133800.0;11.0;8.0
153.0;0.0;50.0;63713.0;29838.0;33875.0;1008800000.0;135200.0;15.0;7.0
156.0;0.0;50.0;63975.0;30127.0;33848.0;1009150000.0;136600.0;7.0;7.0
159.0;0.0;50.0;64241.0;30404.0;33837.0;1009300000.0;137200.0;20.0;3.0
162.0;0.0;50.0;64505.0;30689.0;33816.0;1009550000.0;138200.0;13.0;5.0
165.0;0.0;50.0;64771.0;30969.0;33802.0;1009700000.0;138800.0;19.0;3.0
168.0;1.0;51.0;65034.0;31258.0;33776.0;1009900000.0;139600.0;9.0;4.0
171.0;2.0;53.0;65296.0;31538.0;33758.0;1010050000.0;140200.0;16.0;3.0
174.0;0.0;53.0;65563.0;31816.0;33747.0;1010150000.0;140600.0;19.0;2.0
