Hubald model simulation data
""
starting_time = Fri Jan 12 14:38:26 2024
finishing_time = Sun Jan 14 12:46:41 2024
elapsed_time = 166095.0307738781 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 400
deorbits_per_timestep = 40

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;24.0;24.0;50309.0;15322.0;34987.0;1000150000.0;100600.0;5.0;3.0
3.0;0.0;24.0;50664.0;15711.0;34953.0;1000350000.0;101400.0;10.0;4.0
6.0;1.0;25.0;51018.0;16100.0;34918.0;1000500000.0;102000.0;9.0;3.0
9.0;0.0;25.0;51375.0;16492.0;34883.0;1000600000.0;102400.0;6.0;2.0
12.0;2.0;27.0;51727.0;16883.0;34844.0;1000750000.0;103000.0;8.0;3.0
15.0;1.0;28.0;52080.0;17270.0;34810.0;1000950000.0;103800.0;11.0;4.0
18.0;0.0;28.0;52436.0;17661.0;34775.0;1001100000.0;104400.0;6.0;3.0
21.0;2.0;30.0;52788.0;18049.0;34739.0;1001250000.0;105000.0;11.0;3.0
24.0;1.0;31.0;53142.0;18436.0;34706.0;1001400000.0;105600.0;9.0;3.0
27.0;0.0;31.0;53499.0;18826.0;34673.0;1001500000.0;106000.0;8.0;2.0
30.0;1.0;32.0;53853.0;19214.0;34639.0;1001650000.0;106600.0;10.0;3.0
33.0;0.0;32.0;54208.0;19598.0;34610.0;1001850000.0;107400.0;11.0;4.0
36.0;0.0;32.0;54562.0;19989.0;34573.0;1002100000.0;108400.0;7.0;5.0
39.0;1.0;33.0;54915.0;20376.0;34539.0;1002300000.0;109200.0;10.0;4.0
42.0;0.0;33.0;55272.0;20765.0;34507.0;1002400000.0;109600.0;9.0;2.0
45.0;1.0;34.0;55622.0;21151.0;34471.0;1002750000.0;111000.0;12.0;7.0
48.0;1.0;35.0;55978.0;21536.0;34442.0;1002800000.0;111200.0;14.0;1.0
51.0;0.0;35.0;56334.0;21922.0;34412.0;1002950000.0;111800.0;11.0;3.0
54.0;1.0;36.0;56690.0;22309.0;34381.0;1003000000.0;112000.0;11.0;1.0
57.0;0.0;36.0;57045.0;22692.0;34353.0;1003200000.0;112800.0;16.0;4.0
60.0;1.0;37.0;57396.0;23083.0;34313.0;1003500000.0;114000.0;8.0;6.0
63.0;0.0;37.0;57750.0;23470.0;34280.0;1003750000.0;115000.0;10.0;5.0
66.0;0.0;37.0;58107.0;23859.0;34248.0;1003850000.0;115400.0;8.0;2.0
69.0;0.0;37.0;58465.0;24239.0;34226.0;1003900000.0;115600.0;18.0;1.0
72.0;1.0;38.0;58819.0;24622.0;34197.0;1004050000.0;116200.0;14.0;3.0
75.0;0.0;38.0;59177.0;25005.0;34172.0;1004100000.0;116400.0;15.0;1.0
78.0;1.0;39.0;59532.0;25393.0;34139.0;1004200000.0;116800.0;11.0;2.0
81.0;0.0;39.0;59889.0;25765.0;34124.0;1004300000.0;117200.0;26.0;2.0
84.0;0.0;39.0;60244.0;26156.0;34088.0;1004500000.0;118000.0;7.0;4.0
87.0;0.0;39.0;60603.0;26540.0;34063.0;1004500000.0;118000.0;15.0;0.0
90.0;0.0;39.0;60956.0;26923.0;34033.0;1004800000.0;119200.0;14.0;6.0
93.0;2.0;41.0;61308.0;27314.0;33994.0;1004950000.0;119800.0;7.0;3.0
96.0;0.0;41.0;61661.0;27700.0;33961.0;1005250000.0;121000.0;9.0;6.0
99.0;0.0;41.0;62016.0;28085.0;33931.0;1005450000.0;121800.0;14.0;4.0
102.0;0.0;41.0;62370.0;28465.0;33905.0;1005700000.0;122800.0;18.0;5.0
105.0;0.0;41.0;62723.0;28848.0;33875.0;1006000000.0;124000.0;13.0;6.0
108.0;0.0;41.0;63074.0;29220.0;33854.0;1006400000.0;125600.0;20.0;8.0
111.0;0.0;41.0;63428.0;29594.0;33834.0;1006650000.0;126600.0;21.0;5.0
114.0;0.0;41.0;63782.0;29981.0;33801.0;1006900000.0;127600.0;9.0;5.0
117.0;0.0;41.0;64139.0;30365.0;33774.0;1007000000.0;128000.0;15.0;2.0
120.0;2.0;43.0;64490.0;30749.0;33741.0;1007200000.0;128800.0;14.0;4.0
123.0;1.0;44.0;64841.0;31131.0;33710.0;1007500000.0;130000.0;13.0;6.0
126.0;0.0;44.0;65197.0;31517.0;33680.0;1007650000.0;130600.0;12.0;3.0
129.0;0.0;44.0;65552.0;31896.0;33656.0;1007850000.0;131400.0;18.0;4.0
132.0;2.0;46.0;65905.0;32278.0;33627.0;1007950000.0;131800.0;13.0;2.0
135.0;0.0;46.0;66262.0;32651.0;33611.0;1008050000.0;132200.0;24.0;2.0
138.0;0.0;46.0;66618.0;33029.0;33589.0;1008200000.0;132800.0;18.0;3.0
