Hubald model simulation data
""
starting_time = Mon Jan 15 12:55:28 2024
finishing_time = Thu Jan 18 12:48:36 2024
elapsed_time = 258787.39984416962 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;22.0;50404.0;15421.0;34983.0;1000100000.0;100400.0;7.0;2.0
3.0;3.0;25.0;50842.0;15911.0;34931.0;1000350000.0;101400.0;8.0;5.0
6.0;4.0;29.0;51281.0;16399.0;34882.0;1000450000.0;101800.0;9.0;2.0
9.0;2.0;31.0;51725.0;16887.0;34838.0;1000500000.0;102000.0;10.0;1.0
12.0;0.0;31.0;52172.0;17375.0;34797.0;1000600000.0;102400.0;9.0;2.0
15.0;0.0;31.0;52617.0;17869.0;34748.0;1000800000.0;103200.0;4.0;4.0
18.0;2.0;33.0;53061.0;18356.0;34705.0;1000850000.0;103400.0;11.0;1.0
21.0;0.0;33.0;53508.0;18843.0;34665.0;1000950000.0;103800.0;11.0;2.0
24.0;1.0;34.0;53952.0;19333.0;34619.0;1001100000.0;104400.0;9.0;3.0
27.0;0.0;34.0;54400.0;19823.0;34577.0;1001150000.0;104600.0;9.0;1.0
30.0;0.0;34.0;54848.0;20311.0;34537.0;1001200000.0;104800.0;11.0;1.0
33.0;2.0;36.0;55291.0;20799.0;34492.0;1001300000.0;105200.0;10.0;2.0
36.0;0.0;36.0;55737.0;21286.0;34451.0;1001450000.0;105800.0;12.0;3.0
39.0;0.0;36.0;56185.0;21779.0;34406.0;1001500000.0;106000.0;6.0;1.0
42.0;1.0;37.0;56629.0;22267.0;34362.0;1001650000.0;106600.0;8.0;3.0
45.0;0.0;37.0;57077.0;22748.0;34329.0;1001700000.0;106800.0;17.0;1.0
48.0;1.0;38.0;57520.0;23238.0;34282.0;1001900000.0;107600.0;8.0;4.0
51.0;0.0;38.0;57967.0;23726.0;34241.0;1002000000.0;108000.0;11.0;2.0
54.0;0.0;38.0;58411.0;24215.0;34196.0;1002250000.0;109000.0;8.0;5.0
57.0;0.0;38.0;58855.0;24704.0;34151.0;1002500000.0;110000.0;8.0;5.0
60.0;1.0;39.0;59300.0;25188.0;34112.0;1002600000.0;110400.0;14.0;2.0
63.0;0.0;39.0;59746.0;25680.0;34066.0;1002750000.0;111000.0;6.0;3.0
66.0;1.0;40.0;60191.0;26169.0;34022.0;1002850000.0;111400.0;10.0;2.0
69.0;1.0;41.0;60636.0;26654.0;33982.0;1002950000.0;111800.0;13.0;2.0
72.0;0.0;41.0;61082.0;27137.0;33945.0;1003100000.0;112400.0;15.0;3.0
75.0;0.0;41.0;61526.0;27629.0;33897.0;1003350000.0;113400.0;5.0;5.0
78.0;1.0;42.0;61964.0;28111.0;33853.0;1003800000.0;115200.0;10.0;9.0
81.0;0.0;42.0;62409.0;28588.0;33821.0;1004000000.0;116000.0;20.0;4.0
84.0;0.0;42.0;62853.0;29070.0;33783.0;1004250000.0;117000.0;15.0;5.0
87.0;0.0;42.0;63296.0;29555.0;33741.0;1004550000.0;118200.0;13.0;6.0
90.0;0.0;42.0;63743.0;30039.0;33704.0;1004650000.0;118600.0;14.0;2.0
93.0;0.0;42.0;64187.0;30524.0;33663.0;1004900000.0;119600.0;12.0;5.0
96.0;1.0;43.0;64632.0;31010.0;33622.0;1005000000.0;120000.0;11.0;2.0
99.0;1.0;44.0;65076.0;31490.0;33586.0;1005150000.0;120600.0;17.0;3.0
102.0;0.0;44.0;65519.0;31960.0;33559.0;1005450000.0;121800.0;26.0;6.0
105.0;0.0;44.0;65966.0;32435.0;33531.0;1005550000.0;122200.0;22.0;2.0
108.0;2.0;46.0;66410.0;32922.0;33488.0;1005600000.0;122400.0;11.0;1.0
111.0;0.0;46.0;66852.0;33404.0;33448.0;1005950000.0;123800.0;13.0;7.0
