Hubald model simulation data
""
starting_time = Thu Jan 18 16:06:02 2024
finishing_time = Fri Jan 19 00:31:42 2024
elapsed_time = 30340.40799021721 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;22.0;50041.0;15014.0;35027.0;1000250000.0;101000.0;14.0;5.0
3.0;5.0;27.0;50116.0;15103.0;35013.0;1000450000.0;101800.0;10.0;4.0
6.0;1.0;28.0;50201.0;15195.0;35006.0;1000550000.0;102200.0;7.0;2.0
9.0;2.0;30.0;50285.0;15278.0;35007.0;1000600000.0;102400.0;16.0;1.0
12.0;0.0;30.0;50371.0;15366.0;35005.0;1000750000.0;103000.0;9.0;3.0
15.0;0.0;30.0;50458.0;15457.0;35001.0;1000850000.0;103400.0;7.0;2.0
18.0;0.0;30.0;50546.0;15542.0;35004.0;1000900000.0;103600.0;14.0;1.0
21.0;1.0;31.0;50626.0;15620.0;35006.0;1001250000.0;105000.0;18.0;7.0
24.0;0.0;31.0;50711.0;15705.0;35006.0;1001450000.0;105800.0;14.0;4.0
27.0;0.0;31.0;50797.0;15792.0;35005.0;1001600000.0;106400.0;12.0;3.0
30.0;0.0;31.0;50879.0;15876.0;35003.0;1001950000.0;107800.0;13.0;7.0
33.0;0.0;31.0;50964.0;15960.0;35004.0;1002150000.0;108600.0;14.0;4.0
36.0;1.0;32.0;51048.0;16048.0;35000.0;1002300000.0;109200.0;9.0;3.0
39.0;1.0;33.0;51129.0;16130.0;34999.0;1002600000.0;110400.0;16.0;6.0
42.0;1.0;34.0;51212.0;16220.0;34992.0;1002800000.0;111200.0;7.0;4.0
45.0;0.0;34.0;51299.0;16311.0;34988.0;1002900000.0;111600.0;8.0;2.0
48.0;0.0;34.0;51385.0;16394.0;34991.0;1003050000.0;112200.0;15.0;3.0
51.0;0.0;34.0;51468.0;16475.0;34993.0;1003350000.0;113400.0;17.0;6.0
54.0;1.0;35.0;51551.0;16567.0;34984.0;1003550000.0;114200.0;7.0;4.0
57.0;2.0;37.0;51632.0;16653.0;34979.0;1003750000.0;115000.0;11.0;4.0
60.0;0.0;37.0;51716.0;16739.0;34977.0;1004000000.0;116000.0;13.0;5.0
63.0;0.0;37.0;51801.0;16829.0;34972.0;1004200000.0;116800.0;8.0;4.0
66.0;0.0;37.0;51887.0;16919.0;34968.0;1004350000.0;117400.0;7.0;3.0
69.0;1.0;38.0;51966.0;17003.0;34963.0;1004750000.0;119000.0;13.0;8.0
72.0;0.0;38.0;52054.0;17084.0;34970.0;1004800000.0;119200.0;17.0;1.0
75.0;0.0;38.0;52139.0;17166.0;34973.0;1005000000.0;120000.0;17.0;4.0
78.0;0.0;38.0;52221.0;17244.0;34977.0;1005350000.0;121400.0;18.0;7.0
81.0;0.0;38.0;52308.0;17325.0;34983.0;1005450000.0;121800.0;18.0;2.0
84.0;1.0;39.0;52392.0;17415.0;34977.0;1005600000.0;122400.0;7.0;3.0
87.0;0.0;39.0;52478.0;17503.0;34975.0;1005750000.0;123000.0;11.0;3.0
90.0;1.0;40.0;52563.0;17585.0;34978.0;1005850000.0;123400.0;17.0;2.0
93.0;0.0;40.0;52648.0;17672.0;34976.0;1006050000.0;124200.0;12.0;4.0
96.0;1.0;41.0;52733.0;17761.0;34972.0;1006150000.0;124600.0;9.0;2.0
99.0;0.0;41.0;52813.0;17847.0;34966.0;1006600000.0;126400.0;11.0;9.0
102.0;0.0;41.0;52900.0;17933.0;34967.0;1006700000.0;126800.0;12.0;2.0
105.0;0.0;41.0;52984.0;18013.0;34971.0;1006950000.0;127800.0;18.0;5.0
108.0;0.0;41.0;53070.0;18099.0;34971.0;1007100000.0;128400.0;13.0;3.0
111.0;0.0;41.0;53158.0;18177.0;34981.0;1007150000.0;128600.0;21.0;1.0
114.0;1.0;42.0;53241.0;18264.0;34977.0;1007350000.0;129400.0;11.0;4.0
117.0;2.0;44.0;53322.0;18348.0;34974.0;1007550000.0;130200.0;14.0;4.0
120.0;0.0;44.0;53409.0;18430.0;34979.0;1007650000.0;130600.0;16.0;2.0
123.0;1.0;45.0;53487.0;18513.0;34974.0;1008100000.0;132400.0;12.0;9.0
126.0;1.0;46.0;53567.0;18598.0;34969.0;1008450000.0;133800.0;14.0;7.0
129.0;0.0;46.0;53652.0;18682.0;34970.0;1008650000.0;134600.0;13.0;4.0
132.0;1.0;47.0;53733.0;18767.0;34966.0;1008950000.0;135800.0;12.0;6.0
135.0;1.0;48.0;53816.0;18842.0;34974.0;1009150000.0;136600.0;21.0;4.0
138.0;0.0;48.0;53904.0;18925.0;34979.0;1009200000.0;136800.0;16.0;1.0
141.0;0.0;48.0;53982.0;19008.0;34974.0;1009750000.0;139000.0;13.0;11.0
144.0;0.0;48.0;54065.0;19090.0;34975.0;1010050000.0;140200.0;14.0;6.0
147.0;0.0;48.0;54146.0;19173.0;34973.0;1010450000.0;141800.0;11.0;8.0
150.0;0.0;48.0;54232.0;19251.0;34981.0;1010600000.0;142400.0;19.0;3.0
153.0;1.0;49.0;54313.0;19335.0;34978.0;1010900000.0;143600.0;12.0;6.0
156.0;0.0;49.0;54396.0;19413.0;34983.0;1011200000.0;144800.0;19.0;6.0
159.0;1.0;50.0;54479.0;19490.0;34989.0;1011400000.0;145600.0;21.0;4.0
