Hubald model simulation data
""
starting_time = Mon Jan 22 10:03:40 2024
finishing_time = Tue Jan 23 04:52:38 2024
elapsed_time = 67737.90388703346 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 20

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;20.0;20.0;50140.0;15117.0;35023.0;1000000000.0;100000.0;12.0;0.0
3.0;1.0;21.0;50313.0;15300.0;35013.0;1000200000.0;100800.0;13.0;4.0
6.0;1.0;22.0;50488.0;15481.0;35007.0;1000300000.0;101200.0;17.0;2.0
9.0;4.0;26.0;50659.0;15663.0;34996.0;1000300000.0;101200.0;17.0;0.0
12.0;1.0;27.0;50834.0;15846.0;34988.0;1000400000.0;101600.0;16.0;2.0
15.0;1.0;28.0;51010.0;16032.0;34978.0;1000450000.0;101800.0;13.0;1.0
18.0;2.0;30.0;51181.0;16217.0;34964.0;1000650000.0;102600.0;11.0;4.0
21.0;1.0;31.0;51355.0;16398.0;34957.0;1000800000.0;103200.0;16.0;3.0
24.0;1.0;32.0;51527.0;16584.0;34943.0;1001050000.0;104200.0;13.0;5.0
27.0;1.0;33.0;51703.0;16771.0;34932.0;1001100000.0;104400.0;10.0;1.0
30.0;1.0;34.0;51875.0;16959.0;34916.0;1001350000.0;105400.0;9.0;5.0
33.0;0.0;34.0;52048.0;17141.0;34907.0;1001650000.0;106600.0;14.0;6.0
36.0;0.0;34.0;52217.0;17327.0;34890.0;1002150000.0;108600.0;10.0;10.0
39.0;0.0;34.0;52391.0;17508.0;34883.0;1002400000.0;109600.0;16.0;5.0
42.0;1.0;35.0;52566.0;17698.0;34868.0;1002500000.0;110000.0;8.0;2.0
45.0;1.0;36.0;52740.0;17882.0;34858.0;1002650000.0;110600.0;14.0;3.0
48.0;0.0;36.0;52915.0;18070.0;34845.0;1002850000.0;111400.0;10.0;4.0
51.0;1.0;37.0;53090.0;18256.0;34834.0;1002950000.0;111800.0;13.0;2.0
54.0;1.0;38.0;53261.0;18440.0;34821.0;1003250000.0;113000.0;13.0;6.0
57.0;1.0;39.0;53433.0;18613.0;34820.0;1003500000.0;114000.0;23.0;5.0
60.0;0.0;39.0;53611.0;18800.0;34811.0;1003550000.0;114200.0;12.0;1.0
63.0;0.0;39.0;53786.0;18988.0;34798.0;1003750000.0;115000.0;10.0;4.0
66.0;1.0;40.0;53956.0;19171.0;34785.0;1004100000.0;116400.0;14.0;7.0
69.0;0.0;40.0;54129.0;19357.0;34772.0;1004400000.0;117600.0;12.0;6.0
72.0;0.0;40.0;54303.0;19535.0;34768.0;1004650000.0;118600.0;18.0;5.0
75.0;0.0;40.0;54479.0;19719.0;34760.0;1004800000.0;119200.0;15.0;3.0
78.0;0.0;40.0;54655.0;19903.0;34752.0;1004950000.0;119800.0;13.0;3.0
81.0;1.0;41.0;54822.0;20078.0;34744.0;1005450000.0;121800.0;21.0;10.0
84.0;0.0;41.0;54994.0;20259.0;34735.0;1005800000.0;123200.0;16.0;7.0
87.0;2.0;43.0;55165.0;20440.0;34725.0;1006000000.0;124000.0;15.0;4.0
90.0;0.0;43.0;55337.0;20624.0;34713.0;1006350000.0;125400.0;14.0;7.0
93.0;0.0;43.0;55512.0;20803.0;34709.0;1006550000.0;126200.0;19.0;4.0
96.0;0.0;43.0;55689.0;20987.0;34702.0;1006650000.0;126600.0;15.0;2.0
99.0;1.0;44.0;55852.0;21163.0;34689.0;1007350000.0;129400.0;15.0;14.0
102.0;2.0;46.0;56018.0;21341.0;34677.0;1007800000.0;131200.0;20.0;9.0
105.0;0.0;46.0;56187.0;21520.0;34667.0;1008300000.0;133200.0;15.0;10.0
108.0;0.0;46.0;56358.0;21697.0;34661.0;1008700000.0;134800.0;18.0;8.0
111.0;1.0;47.0;56532.0;21887.0;34645.0;1008850000.0;135400.0;9.0;3.0
114.0;0.0;47.0;56706.0;22063.0;34643.0;1009100000.0;136400.0;23.0;5.0
117.0;0.0;47.0;56878.0;22245.0;34633.0;1009450000.0;137800.0;14.0;7.0
120.0;0.0;47.0;57051.0;22419.0;34632.0;1009750000.0;139000.0;22.0;6.0
123.0;0.0;47.0;57226.0;22607.0;34619.0;1009950000.0;139800.0;9.0;4.0
126.0;0.0;47.0;57399.0;22781.0;34618.0;1010250000.0;141000.0;24.0;6.0
129.0;0.0;47.0;57573.0;22963.0;34610.0;1010500000.0;142000.0;14.0;5.0
132.0;0.0;47.0;57746.0;23142.0;34604.0;1010800000.0;143200.0;19.0;6.0
135.0;1.0;48.0;57917.0;23323.0;34594.0;1011100000.0;144400.0;17.0;6.0
138.0;0.0;48.0;58093.0;23496.0;34597.0;1011250000.0;145000.0;24.0;3.0
141.0;1.0;49.0;58257.0;23672.0;34585.0;1011900000.0;147600.0;19.0;13.0
144.0;1.0;50.0;58429.0;23846.0;34583.0;1012150000.0;148600.0;20.0;5.0
147.0;1.0;51.0;58598.0;24029.0;34569.0;1012550000.0;150200.0;11.0;8.0
150.0;1.0;52.0;58771.0;24207.0;34564.0;1012750000.0;151000.0;19.0;4.0
153.0;0.0;52.0;58942.0;24390.0;34552.0;1013150000.0;152600.0;12.0;8.0
156.0;0.0;52.0;59114.0;24564.0;34550.0;1013500000.0;154000.0;23.0;7.0
159.0;0.0;52.0;59286.0;24744.0;34542.0;1013850000.0;155400.0;16.0;7.0
162.0;0.0;52.0;59460.0;24915.0;34545.0;1014100000.0;156400.0;26.0;5.0
165.0;0.0;52.0;59632.0;25093.0;34539.0;1014450000.0;157800.0;18.0;7.0
168.0;0.0;52.0;59808.0;25268.0;34540.0;1014600000.0;158400.0;21.0;3.0
171.0;0.0;52.0;59975.0;25435.0;34540.0;1015200000.0;160800.0;25.0;12.0
174.0;0.0;52.0;60147.0;25604.0;34543.0;1015550000.0;162200.0;26.0;7.0
177.0;0.0;52.0;60322.0;25778.0;34544.0;1015750000.0;163000.0;22.0;4.0
180.0;0.0;52.0;60492.0;25958.0;34534.0;1016200000.0;164800.0;16.0;9.0
