Hubald model simulation data
""
starting_time = Tue Jan 23 15:43:16 2024
finishing_time = Thu Jan 25 00:05:51 2024
elapsed_time = 116555.67703318596 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;25.0;25.0;50214.0;15218.0;34996.0;1000300000.0;101200.0;10.0;6.0
3.0;3.0;28.0;50475.0;15501.0;34974.0;1000400000.0;101600.0;15.0;2.0
6.0;3.0;31.0;50733.0;15787.0;34946.0;1000650000.0;102600.0;11.0;5.0
9.0;0.0;31.0;50995.0;16073.0;34922.0;1001000000.0;104000.0;12.0;7.0
12.0;1.0;32.0;51260.0;16361.0;34899.0;1001100000.0;104400.0;11.0;2.0
15.0;0.0;32.0;51525.0;16647.0;34878.0;1001300000.0;105200.0;13.0;4.0
18.0;1.0;33.0;51787.0;16933.0;34854.0;1001550000.0;106200.0;11.0;5.0
21.0;2.0;35.0;52048.0;17217.0;34831.0;1001750000.0;107000.0;13.0;4.0
24.0;2.0;37.0;52308.0;17501.0;34807.0;1002000000.0;108000.0;14.0;5.0
27.0;0.0;37.0;52574.0;17785.0;34789.0;1002150000.0;108600.0;14.0;3.0
30.0;1.0;38.0;52836.0;18070.0;34766.0;1002400000.0;109600.0;14.0;5.0
33.0;1.0;39.0;53098.0;18347.0;34751.0;1002650000.0;110600.0;22.0;5.0
36.0;0.0;39.0;53362.0;18630.0;34732.0;1002900000.0;111600.0;14.0;5.0
39.0;2.0;41.0;53622.0;18912.0;34710.0;1003150000.0;112600.0;15.0;5.0
42.0;0.0;41.0;53889.0;19199.0;34690.0;1003250000.0;113000.0;12.0;2.0
45.0;0.0;41.0;54153.0;19480.0;34673.0;1003500000.0;114000.0;17.0;5.0
48.0;0.0;41.0;54420.0;19764.0;34656.0;1003600000.0;114400.0;14.0;2.0
51.0;0.0;41.0;54679.0;20040.0;34639.0;1004100000.0;116400.0;21.0;10.0
54.0;0.0;41.0;54938.0;20321.0;34617.0;1004600000.0;118400.0;16.0;10.0
57.0;0.0;41.0;55199.0;20600.0;34599.0;1005000000.0;120000.0;17.0;8.0
60.0;0.0;41.0;55463.0;20884.0;34579.0;1005250000.0;121000.0;15.0;5.0
63.0;2.0;43.0;55722.0;21169.0;34553.0;1005550000.0;122200.0;12.0;6.0
66.0;1.0;44.0;55987.0;21456.0;34531.0;1005650000.0;122600.0;10.0;2.0
69.0;0.0;44.0;56251.0;21739.0;34512.0;1005900000.0;123600.0;14.0;5.0
72.0;0.0;44.0;56513.0;22013.0;34500.0;1006250000.0;125000.0;20.0;7.0
75.0;0.0;44.0;56778.0;22294.0;34484.0;1006450000.0;125800.0;15.0;4.0
78.0;0.0;44.0;57038.0;22570.0;34468.0;1006900000.0;127600.0;21.0;9.0
81.0;0.0;44.0;57306.0;22852.0;34454.0;1006950000.0;127800.0;17.0;1.0
84.0;0.0;44.0;57569.0;23132.0;34437.0;1007250000.0;129000.0;16.0;6.0
87.0;0.0;44.0;57832.0;23410.0;34422.0;1007550000.0;130200.0;20.0;6.0
90.0;0.0;44.0;58089.0;23683.0;34406.0;1008150000.0;132600.0;22.0;12.0
93.0;0.0;44.0;58354.0;23965.0;34389.0;1008350000.0;133400.0;17.0;4.0
96.0;0.0;44.0;58617.0;24238.0;34379.0;1008650000.0;134600.0;24.0;6.0
99.0;0.0;44.0;58885.0;24521.0;34364.0;1008700000.0;134800.0;15.0;1.0
102.0;0.0;44.0;59150.0;24799.0;34351.0;1008900000.0;135600.0;18.0;4.0
105.0;0.0;44.0;59411.0;25078.0;34333.0;1009300000.0;137200.0;19.0;8.0
108.0;0.0;44.0;59676.0;25355.0;34321.0;1009500000.0;138000.0;20.0;4.0
111.0;0.0;44.0;59941.0;25628.0;34313.0;1009700000.0;138800.0;23.0;4.0
114.0;1.0;45.0;60201.0;25905.0;34296.0;1010050000.0;140200.0;20.0;7.0
117.0;1.0;46.0;60465.0;26188.0;34277.0;1010200000.0;140800.0;15.0;3.0
120.0;0.0;46.0;60731.0;26469.0;34262.0;1010350000.0;141400.0;18.0;3.0
123.0;0.0;46.0;60995.0;26734.0;34261.0;1010600000.0;142400.0;31.0;5.0
126.0;0.0;46.0;61253.0;27007.0;34246.0;1011150000.0;144600.0;24.0;11.0
129.0;0.0;46.0;61518.0;27284.0;34234.0;1011350000.0;145400.0;22.0;4.0
132.0;0.0;46.0;61779.0;27560.0;34219.0;1011750000.0;147000.0;18.0;8.0
135.0;0.0;46.0;62042.0;27827.0;34215.0;1012050000.0;148200.0;28.0;6.0
138.0;0.0;46.0;62304.0;28109.0;34195.0;1012400000.0;149600.0;16.0;7.0
141.0;0.0;46.0;62567.0;28377.0;34190.0;1012700000.0;150800.0;27.0;6.0
144.0;0.0;46.0;62831.0;28647.0;34184.0;1012950000.0;151800.0;24.0;5.0
147.0;0.0;46.0;63094.0;28918.0;34176.0;1013250000.0;153000.0;27.0;6.0
150.0;0.0;46.0;63356.0;29188.0;34168.0;1013600000.0;154400.0;25.0;7.0
153.0;0.0;46.0;63619.0;29463.0;34156.0;1013900000.0;155600.0;22.0;6.0
156.0;2.0;48.0;63878.0;29732.0;34146.0;1014200000.0;156800.0;27.0;6.0
159.0;0.0;48.0;64141.0;30008.0;34133.0;1014500000.0;158000.0;22.0;6.0
162.0;0.0;48.0;64401.0;30279.0;34122.0;1014950000.0;159800.0;24.0;9.0
165.0;0.0;48.0;64667.0;30558.0;34109.0;1015100000.0;160400.0;17.0;3.0
168.0;0.0;48.0;64931.0;30835.0;34096.0;1015350000.0;161400.0;21.0;5.0
171.0;1.0;49.0;65185.0;31102.0;34083.0;1016000000.0;164000.0;24.0;13.0
174.0;0.0;49.0;65449.0;31374.0;34075.0;1016250000.0;165000.0;26.0;5.0
177.0;0.0;49.0;65708.0;31635.0;34073.0;1016750000.0;167000.0;31.0;10.0
180.0;1.0;50.0;65964.0;31905.0;34059.0;1017300000.0;169200.0;25.0;11.0
183.0;0.0;50.0;66231.0;32173.0;34058.0;1017400000.0;169600.0;29.0;2.0
186.0;0.0;50.0;66491.0;32450.0;34041.0;1017850000.0;171400.0;18.0;9.0
189.0;0.0;50.0;66752.0;32725.0;34027.0;1018250000.0;173000.0;21.0;8.0
192.0;0.0;50.0;67011.0;32998.0;34013.0;1018750000.0;175000.0;20.0;10.0
195.0;0.0;50.0;67269.0;33271.0;33998.0;1019300000.0;177200.0;21.0;11.0
198.0;0.0;50.0;67530.0;33543.0;33987.0;1019700000.0;178800.0;23.0;8.0
201.0;0.0;50.0;67792.0;33811.0;33981.0;1020050000.0;180200.0;27.0;7.0
204.0;2.0;52.0;68043.0;34081.0;33962.0;1020750000.0;183000.0;20.0;14.0
207.0;0.0;52.0;68296.0;34345.0;33951.0;1021550000.0;186200.0;27.0;16.0
210.0;1.0;53.0;68553.0;34611.0;33942.0;1022050000.0;188200.0;29.0;10.0
213.0;1.0;54.0;68812.0;34880.0;33932.0;1022450000.0;189800.0;26.0;8.0
216.0;0.0;54.0;69069.0;35133.0;33936.0;1023050000.0;192200.0;39.0;12.0
219.0;0.0;54.0;69328.0;35395.0;33933.0;1023550000.0;194200.0;32.0;10.0
222.0;0.0;54.0;69589.0;35676.0;33913.0;1023950000.0;195800.0;14.0;8.0
225.0;0.0;54.0;69849.0;35939.0;33910.0;1024400000.0;197600.0;33.0;9.0
228.0;0.0;54.0;70110.0;36219.0;33891.0;1024800000.0;199200.0;16.0;8.0
231.0;0.0;54.0;70369.0;36483.0;33886.0;1025300000.0;201200.0;32.0;10.0
234.0;0.0;54.0;70628.0;36754.0;33874.0;1025800000.0;203200.0;22.0;10.0
237.0;0.0;54.0;70887.0;37020.0;33867.0;1026300000.0;205200.0;25.0;10.0
240.0;1.0;55.0;71140.0;37293.0;33847.0;1027000000.0;208000.0;21.0;14.0
243.0;0.0;55.0;71398.0;37567.0;33831.0;1027550000.0;210200.0;19.0;11.0
246.0;0.0;55.0;71659.0;37830.0;33829.0;1027950000.0;211800.0;34.0;8.0
249.0;0.0;55.0;71918.0;38080.0;33838.0;1028450000.0;213800.0;41.0;10.0
252.0;1.0;56.0;72175.0;38347.0;33828.0;1028950000.0;215800.0;27.0;10.0
255.0;0.0;56.0;72434.0;38610.0;33824.0;1029450000.0;217800.0;31.0;10.0
258.0;1.0;57.0;72690.0;38880.0;33810.0;1030000000.0;220000.0;25.0;11.0
261.0;0.0;57.0;72940.0;39140.0;33800.0;1030950000.0;223800.0;29.0;19.0
264.0;0.0;57.0;73200.0;39396.0;33804.0;1031400000.0;225600.0;37.0;9.0
267.0;2.0;59.0;73456.0;39652.0;33804.0;1031850000.0;227400.0;37.0;9.0
270.0;0.0;59.0;73705.0;39917.0;33788.0;1032850000.0;231400.0;24.0;20.0
273.0;0.0;59.0;73966.0;40181.0;33785.0;1033250000.0;233000.0;31.0;8.0
276.0;0.0;59.0;74228.0;40442.0;33786.0;1033600000.0;234400.0;32.0;7.0
279.0;0.0;59.0;74480.0;40707.0;33773.0;1034450000.0;237800.0;24.0;17.0
282.0;0.0;59.0;74739.0;40965.0;33774.0;1034950000.0;239800.0;39.0;10.0
285.0;1.0;60.0;74994.0;41220.0;33774.0;1035550000.0;242200.0;35.0;12.0
288.0;0.0;60.0;75248.0;41482.0;33766.0;1036300000.0;245200.0;28.0;15.0
291.0;0.0;60.0;75506.0;41738.0;33768.0;1036850000.0;247400.0;37.0;11.0
294.0;0.0;60.0;75762.0;42007.0;33755.0;1037500000.0;250000.0;25.0;13.0
297.0;0.0;60.0;76017.0;42256.0;33761.0;1038200000.0;252800.0;42.0;14.0
300.0;0.0;60.0;76268.0;42517.0;33751.0;1039100000.0;256400.0;26.0;18.0
303.0;1.0;61.0;76524.0;42776.0;33748.0;1039650000.0;258600.0;35.0;11.0
306.0;0.0;61.0;76785.0;43035.0;33750.0;1040050000.0;260200.0;33.0;8.0
309.0;1.0;62.0;77046.0;43291.0;33755.0;1040350000.0;261400.0;37.0;6.0
312.0;1.0;63.0;77301.0;43546.0;33755.0;1040950000.0;263800.0;37.0;12.0
315.0;0.0;63.0;77553.0;43798.0;33755.0;1041800000.0;267200.0;37.0;17.0
318.0;0.0;63.0;77807.0;44042.0;33765.0;1042550000.0;270200.0;45.0;15.0
321.0;0.0;63.0;78063.0;44305.0;33758.0;1043200000.0;272800.0;25.0;13.0
324.0;0.0;63.0;78307.0;44554.0;33753.0;1044450000.0;277800.0;37.0;25.0
327.0;0.0;63.0;78559.0;44803.0;33756.0;1045300000.0;281200.0;43.0;17.0
330.0;0.0;63.0;78808.0;45054.0;33754.0;1046300000.0;285200.0;39.0;20.0
333.0;0.0;63.0;79053.0;45296.0;33757.0;1047500000.0;290000.0;41.0;24.0
336.0;0.0;63.0;79306.0;45551.0;33755.0;1048300000.0;293200.0;38.0;16.0
