Hubald model simulation data
""
starting_time = Mon Jan 29 11:32:17 2024
finishing_time = Wed Jan 31 11:30:57 2024
elapsed_time = 172719.3905568123 s
distance_mode = standard
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 400
deorbits_per_timestep = 40

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;22.0;50311.0;15315.0;34996.0;1000250000.0;101000.0;13.0;5.0
3.0;2.0;24.0;50665.0;15701.0;34964.0;1000300000.0;101200.0;13.0;1.0
6.0;3.0;27.0;51014.0;16084.0;34930.0;1000500000.0;102000.0;14.0;4.0
9.0;1.0;28.0;51368.0;16462.0;34906.0;1000650000.0;102600.0;19.0;3.0
12.0;0.0;28.0;51725.0;16850.0;34875.0;1000750000.0;103000.0;11.0;2.0
15.0;4.0;32.0;52072.0;17235.0;34837.0;1000950000.0;103800.0;10.0;4.0
18.0;0.0;32.0;52427.0;17624.0;34803.0;1001150000.0;104600.0;10.0;4.0
21.0;0.0;32.0;52781.0;18012.0;34769.0;1001400000.0;105600.0;8.0;5.0
24.0;3.0;35.0;53130.0;18400.0;34730.0;1001600000.0;106400.0;10.0;4.0
27.0;1.0;36.0;53480.0;18785.0;34695.0;1001950000.0;107800.0;12.0;7.0
30.0;1.0;37.0;53834.0;19166.0;34668.0;1002100000.0;108400.0;16.0;3.0
33.0;0.0;37.0;54188.0;19554.0;34634.0;1002350000.0;109400.0;10.0;5.0
36.0;0.0;37.0;54543.0;19939.0;34604.0;1002550000.0;110200.0;12.0;4.0
39.0;0.0;37.0;54900.0;20323.0;34577.0;1002650000.0;110600.0;15.0;2.0
42.0;0.0;37.0;55254.0;20710.0;34544.0;1002900000.0;111600.0;10.0;5.0
45.0;0.0;37.0;55609.0;21090.0;34519.0;1003100000.0;112400.0;16.0;4.0
48.0;1.0;38.0;55963.0;21472.0;34491.0;1003250000.0;113000.0;17.0;3.0
51.0;0.0;38.0;56317.0;21852.0;34465.0;1003500000.0;114000.0;18.0;5.0
54.0;1.0;39.0;56666.0;22231.0;34435.0;1003900000.0;115600.0;18.0;8.0
57.0;1.0;40.0;57020.0;22612.0;34408.0;1004050000.0;116200.0;16.0;3.0
60.0;1.0;41.0;57376.0;22997.0;34379.0;1004100000.0;116400.0;13.0;1.0
63.0;0.0;41.0;57730.0;23375.0;34355.0;1004350000.0;117400.0;18.0;5.0
66.0;0.0;41.0;58081.0;23748.0;34333.0;1004750000.0;119000.0;24.0;8.0
69.0;1.0;42.0;58433.0;24126.0;34307.0;1005000000.0;120000.0;20.0;5.0
72.0;1.0;43.0;58783.0;24503.0;34280.0;1005350000.0;121400.0;19.0;7.0
75.0;0.0;43.0;59137.0;24881.0;34256.0;1005600000.0;122400.0;20.0;5.0
78.0;0.0;43.0;59488.0;25264.0;34224.0;1006000000.0;124000.0;12.0;8.0
81.0;1.0;44.0;59841.0;25639.0;34202.0;1006200000.0;124800.0;23.0;4.0
84.0;0.0;44.0;60196.0;26011.0;34185.0;1006400000.0;125600.0;24.0;4.0
87.0;0.0;44.0;60551.0;26378.0;34173.0;1006600000.0;126400.0;30.0;4.0
90.0;0.0;44.0;60901.0;26746.0;34155.0;1007050000.0;128200.0;25.0;9.0
93.0;0.0;44.0;61254.0;27111.0;34143.0;1007350000.0;129400.0;30.0;6.0
96.0;1.0;45.0;61610.0;27485.0;34125.0;1007400000.0;129600.0;23.0;1.0
99.0;0.0;45.0;61965.0;27866.0;34099.0;1007600000.0;130400.0;17.0;4.0
102.0;0.0;45.0;62318.0;28242.0;34076.0;1007900000.0;131600.0;19.0;6.0
105.0;0.0;45.0;62667.0;28621.0;34046.0;1008400000.0;133600.0;16.0;10.0
108.0;0.0;45.0;63021.0;29001.0;34020.0;1008650000.0;134600.0;17.0;5.0
111.0;0.0;45.0;63375.0;29381.0;33994.0;1008900000.0;135600.0;16.0;5.0
114.0;0.0;45.0;63727.0;29750.0;33977.0;1009250000.0;137000.0;25.0;7.0
117.0;2.0;47.0;64079.0;30123.0;33956.0;1009400000.0;137600.0;22.0;3.0
120.0;0.0;47.0;64432.0;30492.0;33940.0;1009700000.0;138800.0;25.0;6.0
123.0;0.0;47.0;64787.0;30863.0;33924.0;1009900000.0;139600.0;27.0;4.0
126.0;0.0;47.0;65138.0;31243.0;33895.0;1010300000.0;141200.0;14.0;8.0
129.0;0.0;47.0;65494.0;31624.0;33870.0;1010450000.0;141800.0;17.0;3.0
132.0;1.0;48.0;65848.0;31997.0;33851.0;1010600000.0;142400.0;25.0;3.0
135.0;0.0;48.0;66205.0;32371.0;33834.0;1010700000.0;142800.0;23.0;2.0
138.0;0.0;48.0;66558.0;32745.0;33813.0;1011000000.0;144000.0;23.0;6.0
141.0;0.0;48.0;66910.0;33108.0;33802.0;1011350000.0;145400.0;34.0;7.0
144.0;0.0;48.0;67259.0;33481.0;33778.0;1011850000.0;147400.0;22.0;10.0
147.0;0.0;48.0;67613.0;33850.0;33763.0;1012100000.0;148400.0;27.0;5.0
150.0;0.0;48.0;67966.0;34222.0;33744.0;1012400000.0;149600.0;25.0;6.0
153.0;0.0;48.0;68315.0;34585.0;33730.0;1012900000.0;151600.0;29.0;10.0
156.0;1.0;49.0;68666.0;34954.0;33712.0;1013200000.0;152800.0;25.0;6.0
159.0;0.0;49.0;69012.0;35320.0;33692.0;1013850000.0;155400.0;25.0;13.0
162.0;0.0;49.0;69364.0;35686.0;33678.0;1014200000.0;156800.0;29.0;7.0
165.0;1.0;50.0;69717.0;36049.0;33668.0;1014400000.0;157600.0;32.0;4.0
168.0;0.0;50.0;70067.0;36422.0;33645.0;1014850000.0;159400.0;21.0;9.0
171.0;0.0;50.0;70417.0;36785.0;33632.0;1015300000.0;161200.0;32.0;9.0
174.0;0.0;50.0;70765.0;37138.0;33627.0;1015850000.0;163400.0;38.0;11.0
177.0;1.0;51.0;71113.0;37499.0;33614.0;1016300000.0;165200.0;32.0;9.0
180.0;0.0;51.0;71463.0;37862.0;33601.0;1016750000.0;167000.0;30.0;9.0
183.0;1.0;52.0;71809.0;38218.0;33591.0;1017300000.0;169200.0;39.0;11.0
186.0;1.0;53.0;72155.0;38575.0;33580.0;1017850000.0;171400.0;39.0;11.0
189.0;2.0;55.0;72500.0;38934.0;33566.0;1018350000.0;173400.0;34.0;10.0
192.0;1.0;56.0;72853.0;39307.0;33546.0;1018550000.0;174200.0;24.0;4.0
195.0;0.0;56.0;73204.0;39675.0;33529.0;1018950000.0;175800.0;29.0;8.0
198.0;0.0;56.0;73553.0;40037.0;33516.0;1019450000.0;177800.0;31.0;10.0
201.0;0.0;56.0;73907.0;40405.0;33502.0;1019700000.0;178800.0;27.0;5.0
204.0;0.0;56.0;74253.0;40770.0;33483.0;1020350000.0;181400.0;27.0;13.0
207.0;0.0;56.0;74596.0;41128.0;33468.0;1021150000.0;184600.0;31.0;16.0
210.0;0.0;56.0;74942.0;41483.0;33459.0;1021800000.0;187200.0;37.0;13.0
213.0;1.0;57.0;75281.0;41843.0;33438.0;1022700000.0;190800.0;28.0;18.0
216.0;0.0;57.0;75632.0;42204.0;33428.0;1023100000.0;192400.0;33.0;8.0
219.0;0.0;57.0;75980.0;42568.0;33412.0;1023650000.0;194600.0;26.0;11.0
222.0;1.0;58.0;76320.0;42919.0;33401.0;1024500000.0;198000.0;41.0;17.0
225.0;0.0;58.0;76671.0;43285.0;33386.0;1024900000.0;199600.0;29.0;8.0
228.0;1.0;59.0;77020.0;43644.0;33376.0;1025300000.0;201200.0;34.0;8.0
231.0;0.0;59.0;77364.0;44002.0;33362.0;1026050000.0;204200.0;34.0;15.0
234.0;1.0;60.0;77704.0;44359.0;33345.0;1026900000.0;207600.0;28.0;17.0
237.0;0.0;60.0;78051.0;44709.0;33342.0;1027500000.0;210000.0;40.0;12.0
240.0;0.0;60.0;78394.0;45055.0;33339.0;1028300000.0;213200.0;42.0;16.0
243.0;0.0;60.0;78743.0;45417.0;33326.0;1028800000.0;215200.0;31.0;10.0
246.0;0.0;60.0;79094.0;45787.0;33307.0;1029200000.0;216800.0;26.0;8.0
249.0;0.0;60.0;79441.0;46138.0;33303.0;1029800000.0;219200.0;42.0;12.0
252.0;0.0;60.0;79782.0;46493.0;33289.0;1030700000.0;222800.0;32.0;18.0
255.0;0.0;60.0;80125.0;46844.0;33281.0;1031500000.0;226000.0;39.0;16.0
258.0;0.0;60.0;80478.0;47203.0;33275.0;1031800000.0;227200.0;36.0;6.0
261.0;0.0;60.0;80813.0;47553.0;33260.0;1033000000.0;232000.0;38.0;24.0
264.0;1.0;61.0;81164.0;47913.0;33251.0;1033300000.0;233200.0;33.0;6.0
267.0;1.0;62.0;81501.0;48255.0;33246.0;1034300000.0;237200.0;41.0;20.0
270.0;0.0;62.0;81847.0;48606.0;33241.0;1034950000.0;239800.0;40.0;13.0
273.0;1.0;63.0;82191.0;48955.0;33236.0;1035600000.0;242400.0;41.0;13.0
276.0;1.0;64.0;82533.0;49299.0;33234.0;1036350000.0;245400.0;43.0;15.0
279.0;0.0;64.0;82876.0;49641.0;33235.0;1037150000.0;248600.0;46.0;16.0
282.0;0.0;64.0;83219.0;49995.0;33224.0;1037950000.0;251800.0;37.0;16.0
285.0;0.0;64.0;83567.0;50351.0;33216.0;1038500000.0;254000.0;36.0;11.0
288.0;0.0;64.0;83910.0;50711.0;33199.0;1039300000.0;257200.0;31.0;16.0
291.0;1.0;65.0;84249.0;51061.0;33188.0;1040200000.0;260800.0;41.0;18.0
