Hubald model simulation data
""
starting_time = Fri Nov  3 15:11:08 2023
finishing_time = Fri Nov  3 17:46:01 2023
elapsed_time = 9293.212656974792 s
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;21.0;49998.0;14976.0;35022.0;100050000.0;100200.0;0.0;1.0
3.0;4.0;25.0;50023.0;15015.0;35008.0;100050000.0;100200.0;1.0;0.0
6.0;3.0;28.0;50081.0;15086.0;34995.0;100150000.0;100600.0;0.0;2.0
9.0;2.0;30.0;50109.0;15121.0;34988.0;100300000.0;101200.0;0.0;3.0
12.0;4.0;34.0;50145.0;15171.0;34974.0;100300000.0;101200.0;1.0;0.0
15.0;1.0;35.0;50154.0;15184.0;34970.0;100300000.0;101200.0;1.0;0.0
18.0;3.0;38.0;50202.0;15240.0;34962.0;100400000.0;101600.0;1.0;2.0
21.0;0.0;38.0;50194.0;15241.0;34953.0;100450000.0;101800.0;0.0;1.0
24.0;1.0;39.0;50229.0;15285.0;34944.0;100550000.0;102200.0;0.0;2.0
27.0;1.0;40.0;50271.0;15330.0;34941.0;100550000.0;102200.0;0.0;0.0
30.0;0.0;40.0;50296.0;15356.0;34940.0;100550000.0;102200.0;1.0;0.0
33.0;0.0;40.0;50369.0;15437.0;34932.0;100550000.0;102200.0;1.0;0.0
36.0;0.0;40.0;50439.0;15517.0;34922.0;100650000.0;102600.0;0.0;2.0
39.0;0.0;40.0;50483.0;15565.0;34918.0;100800000.0;103200.0;0.0;3.0
42.0;0.0;40.0;50523.0;15613.0;34910.0;100900000.0;103600.0;0.0;2.0
45.0;1.0;41.0;50593.0;15686.0;34907.0;100950000.0;103800.0;1.0;1.0
48.0;0.0;41.0;50682.0;15777.0;34905.0;101000000.0;104000.0;0.0;1.0
51.0;0.0;41.0;50746.0;15851.0;34895.0;101050000.0;104200.0;0.0;1.0
54.0;0.0;41.0;50793.0;15904.0;34889.0;101150000.0;104600.0;0.0;2.0
57.0;0.0;41.0;50816.0;15929.0;34887.0;101250000.0;105000.0;0.0;2.0
60.0;0.0;41.0;50837.0;15959.0;34878.0;101300000.0;105200.0;1.0;1.0
63.0;0.0;41.0;50856.0;15984.0;34872.0;101300000.0;105200.0;0.0;0.0
66.0;0.0;41.0;50940.0;16071.0;34869.0;101350000.0;105400.0;0.0;1.0
69.0;0.0;41.0;50986.0;16123.0;34863.0;101400000.0;105600.0;0.0;1.0
72.0;0.0;41.0;51020.0;16161.0;34859.0;101400000.0;105600.0;1.0;0.0
75.0;0.0;41.0;51090.0;16239.0;34851.0;101450000.0;105800.0;0.0;1.0
78.0;0.0;41.0;51113.0;16270.0;34843.0;101550000.0;106200.0;1.0;2.0
81.0;1.0;42.0;51136.0;16297.0;34839.0;101600000.0;106400.0;0.0;1.0
84.0;1.0;43.0;51172.0;16342.0;34830.0;101700000.0;106800.0;1.0;2.0
87.0;0.0;43.0;51230.0;16404.0;34826.0;101900000.0;107600.0;2.0;4.0
90.0;0.0;43.0;51294.0;16477.0;34817.0;102000000.0;108000.0;0.0;2.0
93.0;0.0;43.0;51321.0;16513.0;34808.0;102150000.0;108600.0;0.0;3.0
96.0;0.0;43.0;51394.0;16588.0;34806.0;102150000.0;108600.0;0.0;0.0
99.0;0.0;43.0;51410.0;16609.0;34801.0;102150000.0;108600.0;0.0;0.0
102.0;0.0;43.0;51414.0;16618.0;34796.0;102150000.0;108600.0;1.0;0.0
105.0;0.0;43.0;51486.0;16692.0;34794.0;102250000.0;109000.0;0.0;2.0
108.0;0.0;43.0;51537.0;16745.0;34792.0;102350000.0;109400.0;1.0;2.0
111.0;0.0;43.0;51539.0;16755.0;34784.0;102400000.0;109600.0;0.0;1.0
114.0;0.0;43.0;51569.0;16793.0;34776.0;102450000.0;109800.0;1.0;1.0
117.0;0.0;43.0;51650.0;16879.0;34771.0;102450000.0;109800.0;1.0;0.0
120.0;1.0;44.0;51693.0;16937.0;34756.0;102650000.0;110600.0;0.0;4.0
123.0;0.0;44.0;51711.0;16963.0;34748.0;102700000.0;110800.0;0.0;1.0
126.0;0.0;44.0;51781.0;17043.0;34738.0;102800000.0;111200.0;0.0;2.0
129.0;0.0;44.0;51841.0;17104.0;34737.0;102850000.0;111400.0;0.0;1.0
132.0;0.0;44.0;51867.0;17139.0;34728.0;103050000.0;112200.0;1.0;4.0
135.0;0.0;44.0;51906.0;17178.0;34728.0;103050000.0;112200.0;0.0;0.0
138.0;0.0;44.0;51982.0;17263.0;34719.0;103100000.0;112400.0;0.0;1.0
141.0;0.0;44.0;52003.0;17293.0;34710.0;103150000.0;112600.0;1.0;1.0
144.0;1.0;45.0;52010.0;17305.0;34705.0;103250000.0;113000.0;0.0;2.0
147.0;0.0;45.0;52099.0;17402.0;34697.0;103300000.0;113200.0;1.0;1.0
150.0;0.0;45.0;52099.0;17408.0;34691.0;103400000.0;113600.0;0.0;2.0
153.0;0.0;45.0;52165.0;17485.0;34680.0;103550000.0;114200.0;0.0;3.0
156.0;0.0;45.0;52167.0;17491.0;34676.0;103600000.0;114400.0;0.0;1.0
159.0;0.0;45.0;52163.0;17494.0;34669.0;103700000.0;114800.0;0.0;2.0
162.0;0.0;45.0;52241.0;17573.0;34668.0;103700000.0;114800.0;0.0;0.0
165.0;0.0;45.0;52319.0;17652.0;34667.0;103750000.0;115000.0;0.0;1.0
168.0;0.0;45.0;52393.0;17734.0;34659.0;103800000.0;115200.0;0.0;1.0
171.0;0.0;45.0;52437.0;17786.0;34651.0;103900000.0;115600.0;1.0;2.0
174.0;1.0;46.0;52463.0;17821.0;34642.0;104050000.0;116200.0;0.0;3.0
177.0;0.0;46.0;52489.0;17857.0;34632.0;104200000.0;116800.0;0.0;3.0
180.0;1.0;47.0;52558.0;17930.0;34628.0;104250000.0;117000.0;1.0;1.0
183.0;0.0;47.0;52572.0;17950.0;34622.0;104450000.0;117800.0;0.0;4.0
186.0;0.0;47.0;52663.0;18042.0;34621.0;104500000.0;118000.0;2.0;1.0
189.0;0.0;47.0;52754.0;18138.0;34616.0;104700000.0;118800.0;0.0;4.0
192.0;0.0;47.0;52764.0;18156.0;34608.0;104700000.0;118800.0;1.0;0.0
195.0;0.0;47.0;52824.0;18218.0;34606.0;104800000.0;119200.0;0.0;2.0
198.0;0.0;47.0;52904.0;18302.0;34602.0;104900000.0;119600.0;0.0;2.0
201.0;0.0;47.0;52956.0;18356.0;34600.0;104900000.0;119600.0;2.0;0.0
204.0;0.0;47.0;53035.0;18442.0;34593.0;104950000.0;119800.0;1.0;1.0
207.0;1.0;48.0;53092.0;18510.0;34582.0;105050000.0;120200.0;1.0;2.0
210.0;0.0;48.0;53096.0;18519.0;34577.0;105050000.0;120200.0;1.0;0.0
213.0;0.0;48.0;53114.0;18542.0;34572.0;105100000.0;120400.0;0.0;1.0
216.0;1.0;49.0;53122.0;18557.0;34565.0;105200000.0;120800.0;1.0;2.0
219.0;0.0;49.0;53185.0;18627.0;34558.0;105200000.0;120800.0;1.0;0.0
222.0;0.0;49.0;53232.0;18678.0;34554.0;105300000.0;121200.0;0.0;2.0
225.0;0.0;49.0;53226.0;18683.0;34543.0;105400000.0;121600.0;0.0;2.0
228.0;0.0;49.0;53270.0;18737.0;34533.0;105500000.0;122000.0;0.0;2.0
231.0;0.0;49.0;53274.0;18747.0;34527.0;105550000.0;122200.0;0.0;1.0
234.0;0.0;49.0;53295.0;18771.0;34524.0;105600000.0;122400.0;0.0;1.0
