Hubald model simulation data
""
starting_time = Tue Nov  7 10:20:52 2023
finishing_time = Tue Nov  7 12:25:11 2023
elapsed_time = 7458.608021020889 s
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.005
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;22.0;49944.0;14945.0;34999.0;103700000.0;114800.0;19.0;74.0
3.0;1.0;23.0;49887.0;14930.0;34957.0;107600000.0;130400.0;19.0;78.0
6.0;3.0;26.0;49839.0;14927.0;34912.0;111550000.0;146200.0;21.0;79.0
9.0;1.0;27.0;49831.0;14967.0;34864.0;115850000.0;163400.0;21.0;86.0
12.0;0.0;27.0;49755.0;14954.0;34801.0;121750000.0;187000.0;22.0;118.0
15.0;1.0;28.0;49707.0;14985.0;34722.0;128100000.0;212400.0;13.0;127.0
18.0;1.0;29.0;49619.0;14967.0;34652.0;135350000.0;241400.0;32.0;145.0
21.0;1.0;30.0;49507.0;14951.0;34556.0;143500000.0;274000.0;21.0;163.0
24.0;1.0;31.0;49357.0;14898.0;34459.0;151450000.0;305800.0;31.0;159.0
27.0;2.0;33.0;49175.0;14852.0;34323.0;162150000.0;348600.0;27.0;214.0
30.0;0.0;33.0;49029.0;14837.0;34192.0;173550000.0;394200.0;31.0;228.0
33.0;0.0;33.0;48865.0;14820.0;34045.0;186450000.0;445800.0;29.0;258.0
36.0;1.0;34.0;48635.0;14746.0;33889.0;200650000.0;502600.0;40.0;284.0
39.0;2.0;36.0;48359.0;14652.0;33707.0;216850000.0;567400.0;40.0;324.0
42.0;0.0;36.0;48067.0;14551.0;33516.0;232600000.0;630400.0;32.0;315.0
45.0;0.0;36.0;47692.0;14399.0;33293.0;251850000.0;707400.0;38.0;385.0
48.0;0.0;36.0;47270.0;14256.0;33014.0;274450000.0;797800.0;42.0;452.0
51.0;1.0;37.0;46851.0;14127.0;32724.0;299200000.0;896800.0;58.0;495.0
54.0;0.0;37.0;46376.0;13988.0;32388.0;326900000.0;1007600.0;54.0;554.0
57.0;0.0;37.0;45782.0;13747.0;32035.0;357550000.0;1130200.0;62.0;613.0
60.0;0.0;37.0;45191.0;13579.0;31612.0;391900000.0;1267600.0;70.0;687.0
63.0;0.0;37.0;44488.0;13334.0;31154.0;429750000.0;1419000.0;61.0;757.0
66.0;0.0;37.0;43680.0;13067.0;30613.0;473300000.0;1593200.0;66.0;871.0
69.0;0.0;37.0;42848.0;12831.0;30017.0;519800000.0;1779200.0;69.0;930.0
72.0;1.0;38.0;41890.0;12497.0;29393.0;572050000.0;1988200.0;88.0;1045.0
75.0;0.0;38.0;40877.0;12140.0;28737.0;626550000.0;2206200.0;84.0;1090.0
78.0;1.0;39.0;39691.0;11669.0;28022.0;687400000.0;2449600.0;100.0;1217.0
81.0;1.0;40.0;38474.0;11307.0;27167.0;753750000.0;2715000.0;101.0;1327.0
84.0;1.0;41.0;37137.0;10852.0;26285.0;825050000.0;3000200.0;111.0;1426.0
87.0;0.0;41.0;35729.0;10385.0;25344.0;897950000.0;3291800.0;103.0;1458.0
90.0;0.0;41.0;34273.0;9936.0;24337.0;975550000.0;3602200.0;88.0;1552.0
93.0;0.0;41.0;32778.0;9465.0;23313.0;1055750000.0;3923000.0;115.0;1604.0
96.0;1.0;42.0;31210.0;8893.0;22317.0;1138700000.0;4254800.0;135.0;1659.0
99.0;0.0;42.0;29553.0;8336.0;21217.0;1224150000.0;4596600.0;110.0;1709.0
102.0;0.0;42.0;27953.0;7805.0;20148.0;1310000000.0;4940000.0;146.0;1717.0
105.0;0.0;42.0;26242.0;7235.0;19007.0;1401900000.0;5307600.0;134.0;1838.0
