Hubald model simulation data
""
starting_time = Tue Nov  7 18:12:33 2023
finishing_time = Wed Nov  8 03:53:33 2023
elapsed_time = 34860.07910609245 s
starting_sats = 50000
sigma = 5000
fragment_collision_prob = 0.001
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;22.0;50122.0;15102.0;35020.0;100400000.0;101600.0;3.0;8.0
3.0;4.0;26.0;50338.0;15338.0;35000.0;101050000.0;104200.0;3.0;13.0
6.0;3.0;29.0;50334.0;15352.0;34982.0;101800000.0;107200.0;4.0;15.0
9.0;0.0;29.0;50644.0;15673.0;34971.0;102450000.0;109800.0;2.0;13.0
12.0;0.0;29.0;50789.0;15835.0;34954.0;103350000.0;113400.0;0.0;18.0
15.0;1.0;30.0;51260.0;16309.0;34951.0;103750000.0;115000.0;7.0;8.0
18.0;0.0;30.0;51743.0;16802.0;34941.0;104250000.0;117000.0;1.0;10.0
21.0;2.0;32.0;52065.0;17135.0;34930.0;104900000.0;119600.0;3.0;13.0
24.0;0.0;32.0;52285.0;17365.0;34920.0;105750000.0;123000.0;2.0;17.0
27.0;1.0;33.0;52557.0;17649.0;34908.0;106600000.0;126400.0;3.0;17.0
30.0;1.0;34.0;52644.0;17744.0;34900.0;107200000.0;128800.0;3.0;12.0
33.0;1.0;35.0;52922.0;18034.0;34888.0;108100000.0;132400.0;2.0;18.0
36.0;1.0;36.0;53025.0;18158.0;34867.0;109450000.0;137800.0;2.0;27.0
39.0;4.0;40.0;52998.0;18144.0;34854.0;110200000.0;140800.0;4.0;15.0
42.0;2.0;42.0;53410.0;18563.0;34847.0;110950000.0;143800.0;7.0;15.0
45.0;3.0;45.0;53746.0;18910.0;34836.0;111700000.0;146800.0;5.0;15.0
48.0;0.0;45.0;54078.0;19251.0;34827.0;112700000.0;150800.0;4.0;20.0
51.0;2.0;47.0;54492.0;19676.0;34816.0;113300000.0;153200.0;5.0;12.0
54.0;1.0;48.0;54559.0;19760.0;34799.0;114650000.0;158600.0;4.0;27.0
57.0;2.0;50.0;54730.0;19941.0;34789.0;115950000.0;163800.0;8.0;26.0
60.0;1.0;51.0;55019.0;20240.0;34779.0;117200000.0;168800.0;8.0;25.0
63.0;2.0;53.0;55162.0;20396.0;34766.0;118400000.0;173600.0;7.0;24.0
66.0;3.0;56.0;55603.0;20848.0;34755.0;119750000.0;179000.0;6.0;27.0
69.0;0.0;56.0;55787.0;21045.0;34742.0;121150000.0;184600.0;6.0;28.0
72.0;2.0;58.0;56109.0;21383.0;34726.0;122500000.0;190000.0;3.0;27.0
75.0;1.0;59.0;56548.0;21839.0;34709.0;124200000.0;196800.0;7.0;34.0
78.0;4.0;63.0;56508.0;21818.0;34690.0;125900000.0;203600.0;7.0;34.0
81.0;1.0;64.0;56703.0;22028.0;34675.0;127800000.0;211200.0;8.0;38.0
84.0;1.0;65.0;57072.0;22414.0;34658.0;129200000.0;216800.0;6.0;28.0
87.0;1.0;66.0;57467.0;22823.0;34644.0;130950000.0;223800.0;7.0;35.0
90.0;2.0;68.0;57523.0;22890.0;34633.0;132250000.0;229000.0;9.0;26.0
93.0;0.0;68.0;57599.0;22991.0;34608.0;134100000.0;236400.0;6.0;37.0
96.0;1.0;69.0;57825.0;23227.0;34598.0;135550000.0;242200.0;8.0;29.0
99.0;2.0;71.0;57792.0;23204.0;34588.0;137450000.0;249800.0;7.0;38.0
102.0;2.0;73.0;57896.0;23326.0;34570.0;139350000.0;257400.0;7.0;38.0
105.0;0.0;73.0;58030.0;23472.0;34558.0;141200000.0;264800.0;10.0;37.0
108.0;2.0;75.0;58373.0;23829.0;34544.0;142900000.0;271600.0;9.0;34.0
111.0;0.0;75.0;58338.0;23813.0;34525.0;145050000.0;280200.0;6.0;43.0
114.0;1.0;76.0;58637.0;24122.0;34515.0;146900000.0;287600.0;9.0;37.0
117.0;0.0;76.0;58742.0;24254.0;34488.0;149500000.0;298000.0;8.0;52.0
120.0;2.0;78.0;59139.0;24668.0;34471.0;151150000.0;304600.0;7.0;33.0
123.0;0.0;78.0;59134.0;24686.0;34448.0;153650000.0;314600.0;10.0;50.0
126.0;2.0;80.0;59351.0;24929.0;34422.0;155750000.0;323000.0;12.0;42.0
129.0;0.0;80.0;59308.0;24910.0;34398.0;158400000.0;333600.0;9.0;53.0
132.0;3.0;83.0;59351.0;24982.0;34369.0;161250000.0;345000.0;9.0;57.0
135.0;3.0;86.0;59401.0;25055.0;34346.0;163950000.0;355800.0;16.0;54.0
138.0;2.0;88.0;59725.0;25402.0;34323.0;166850000.0;367400.0;14.0;58.0
141.0;2.0;90.0;60060.0;25762.0;34298.0;169750000.0;379000.0;9.0;58.0
144.0;2.0;92.0;60323.0;26063.0;34260.0;173100000.0;392400.0;10.0;67.0
147.0;2.0;94.0;60477.0;26229.0;34248.0;175800000.0;403200.0;15.0;54.0
150.0;1.0;95.0;60586.0;26362.0;34224.0;178550000.0;414200.0;9.0;55.0
153.0;4.0;99.0;60632.0;26439.0;34193.0;181650000.0;426600.0;13.0;62.0
156.0;0.0;99.0;60696.0;26524.0;34172.0;184750000.0;439000.0;18.0;62.0
159.0;2.0;101.0;60645.0;26498.0;34147.0;187650000.0;450600.0;12.0;58.0
162.0;2.0;103.0;61077.0;26949.0;34128.0;190700000.0;462800.0;12.0;61.0
165.0;3.0;106.0;61079.0;26984.0;34095.0;194800000.0;479200.0;13.0;82.0
168.0;3.0;109.0;61388.0;27323.0;34065.0;197800000.0;491200.0;11.0;60.0
171.0;2.0;111.0;61653.0;27617.0;34036.0;201300000.0;505200.0;16.0;70.0
174.0;0.0;111.0;61601.0;27593.0;34008.0;205500000.0;522000.0;15.0;84.0
177.0;2.0;113.0;61739.0;27766.0;33973.0;209350000.0;537400.0;15.0;77.0
180.0;1.0;114.0;61692.0;27750.0;33942.0;212600000.0;550400.0;14.0;65.0
183.0;3.0;117.0;61997.0;28107.0;33890.0;217200000.0;568800.0;8.0;92.0
186.0;3.0;120.0;62354.0;28505.0;33849.0;221450000.0;585800.0;9.0;85.0
189.0;1.0;121.0;62434.0;28625.0;33809.0;226350000.0;605400.0;15.0;98.0
192.0;0.0;121.0;62397.0;28618.0;33779.0;231250000.0;625000.0;16.0;98.0
195.0;5.0;126.0;62614.0;28878.0;33736.0;235850000.0;643400.0;10.0;92.0
198.0;0.0;126.0;62833.0;29126.0;33707.0;240300000.0;661200.0;17.0;89.0
201.0;1.0;127.0;63137.0;29480.0;33657.0;245700000.0;682800.0;15.0;108.0
204.0;2.0;129.0;63038.0;29444.0;33594.0;251550000.0;706200.0;13.0;117.0
207.0;2.0;131.0;63374.0;29855.0;33519.0;257850000.0;731400.0;16.0;126.0
210.0;1.0;132.0;63275.0;29792.0;33483.0;263550000.0;754200.0;23.0;114.0
213.0;1.0;133.0;63206.0;29767.0;33439.0;269900000.0;779600.0;17.0;127.0
216.0;1.0;134.0;63538.0;30142.0;33396.0;276000000.0;804000.0;26.0;122.0
219.0;2.0;136.0;63585.0;30257.0;33328.0;283200000.0;832800.0;23.0;144.0
222.0;1.0;137.0;63650.0;30383.0;33267.0;290150000.0;860600.0;21.0;139.0
225.0;0.0;137.0;63781.0;30564.0;33217.0;297150000.0;888600.0;20.0;140.0
228.0;3.0;140.0;64102.0;30956.0;33146.0;304100000.0;916400.0;18.0;139.0
231.0;4.0;144.0;64070.0;30975.0;33095.0;311200000.0;944800.0;25.0;142.0
234.0;0.0;144.0;64158.0;31104.0;33054.0;317350000.0;969400.0;23.0;123.0
237.0;3.0;147.0;64111.0;31123.0;32988.0;324850000.0;999400.0;17.0;150.0
240.0;2.0;149.0;64150.0;31231.0;32919.0;333400000.0;1033600.0;22.0;171.0
243.0;1.0;150.0;64220.0;31372.0;32848.0;342300000.0;1069200.0;25.0;178.0
246.0;3.0;153.0;64329.0;31542.0;32787.0;350700000.0;1102800.0;27.0;168.0
249.0;0.0;153.0;64581.0;31866.0;32715.0;360700000.0;1142800.0;27.0;200.0
252.0;4.0;157.0;64655.0;32016.0;32639.0;370650000.0;1182600.0;25.0;199.0
255.0;4.0;161.0;64661.0;32097.0;32564.0;380500000.0;1222000.0;28.0;197.0
258.0;6.0;167.0;64848.0;32358.0;32490.0;390450000.0;1261800.0;33.0;199.0
261.0;2.0;169.0;64872.0;32468.0;32404.0;400400000.0;1301600.0;28.0;199.0
264.0;2.0;171.0;65092.0;32781.0;32311.0;411750000.0;1347000.0;26.0;227.0
267.0;3.0;174.0;65299.0;33093.0;32206.0;424000000.0;1396000.0;36.0;245.0
270.0;3.0;177.0;65542.0;33428.0;32114.0;436000000.0;1444000.0;33.0;240.0
273.0;2.0;179.0;65491.0;33488.0;32003.0;449450000.0;1497800.0;28.0;269.0
276.0;1.0;180.0;65305.0;33365.0;31940.0;461000000.0;1544000.0;42.0;231.0
279.0;4.0;184.0;65075.0;33232.0;31843.0;474150000.0;1596600.0;28.0;263.0
282.0;3.0;187.0;65267.0;33521.0;31746.0;487450000.0;1649800.0;36.0;266.0
285.0;1.0;188.0;65473.0;33840.0;31633.0;501650000.0;1706600.0;42.0;284.0
288.0;3.0;191.0;65204.0;33662.0;31542.0;516050000.0;1764200.0;46.0;288.0
291.0;0.0;191.0;65313.0;33872.0;31441.0;531300000.0;1825200.0;42.0;305.0
294.0;3.0;194.0;65164.0;33825.0;31339.0;546650000.0;1886600.0;55.0;307.0
297.0;3.0;197.0;65064.0;33809.0;31255.0;562400000.0;1949600.0;53.0;315.0
300.0;2.0;199.0;64835.0;33696.0;31139.0;578550000.0;2014200.0;46.0;323.0
303.0;0.0;199.0;64535.0;33529.0;31006.0;595800000.0;2083200.0;35.0;345.0
306.0;0.0;199.0;64328.0;33414.0;30914.0;611800000.0;2147200.0;60.0;320.0
309.0;1.0;200.0;64020.0;33238.0;30782.0;629400000.0;2217600.0;43.0;352.0
312.0;1.0;201.0;63782.0;33090.0;30692.0;647250000.0;2289000.0;68.0;357.0
315.0;6.0;207.0;63684.0;33132.0;30552.0;666350000.0;2365400.0;55.0;382.0
318.0;4.0;211.0;63485.0;33048.0;30437.0;684400000.0;2437600.0;63.0;361.0
321.0;1.0;212.0;63285.0;33021.0;30264.0;704600000.0;2518400.0;40.0;404.0
324.0;1.0;213.0;62841.0;32728.0;30113.0;727150000.0;2608600.0;54.0;451.0
327.0;3.0;216.0;62716.0;32755.0;29961.0;748850000.0;2695400.0;58.0;434.0
330.0;4.0;220.0;62670.0;32855.0;29815.0;770450000.0;2781800.0;65.0;432.0
333.0;2.0;222.0;62459.0;32793.0;29666.0;793050000.0;2872200.0;59.0;452.0
336.0;3.0;225.0;62132.0;32625.0;29507.0;815050000.0;2960200.0;54.0;440.0
339.0;0.0;225.0;61901.0;32553.0;29348.0;840550000.0;3062200.0;81.0;510.0
342.0;1.0;226.0;61676.0;32501.0;29175.0;865500000.0;3162000.0;52.0;499.0
345.0;3.0;229.0;61698.0;32692.0;29006.0;887900000.0;3251600.0;61.0;448.0
348.0;2.0;231.0;61644.0;32785.0;28859.0;912400000.0;3349600.0;84.0;490.0
351.0;6.0;237.0;61110.0;32452.0;28658.0;939050000.0;3456200.0;66.0;533.0
354.0;9.0;246.0;60642.0;32197.0;28445.0;968600000.0;3574400.0;76.0;591.0
357.0;2.0;248.0;60561.0;32307.0;28254.0;997300000.0;3689200.0;82.0;574.0
360.0;2.0;250.0;60433.0;32373.0;28060.0;1025400000.0;3801600.0;68.0;562.0
363.0;2.0;252.0;59864.0;32023.0;27841.0;1056250000.0;3925000.0;63.0;617.0
366.0;4.0;256.0;59775.0;32149.0;27626.0;1085100000.0;4040400.0;81.0;577.0
369.0;4.0;260.0;59374.0;31956.0;27418.0;1115450000.0;4161800.0;89.0;607.0
372.0;9.0;269.0;58814.0;31650.0;27164.0;1149250000.0;4297000.0;77.0;676.0
375.0;6.0;275.0;58273.0;31344.0;26929.0;1182200000.0;4428800.0;84.0;659.0
378.0;3.0;278.0;57918.0;31210.0;26708.0;1213850000.0;4555400.0;76.0;633.0
381.0;3.0;281.0;57415.0;30938.0;26477.0;1248700000.0;4694800.0;106.0;697.0
384.0;1.0;282.0;56888.0;30660.0;26228.0;1285350000.0;4841400.0;95.0;733.0
387.0;3.0;285.0;56439.0;30459.0;25980.0;1321000000.0;4984000.0;98.0;713.0
390.0;4.0;289.0;55886.0;30168.0;25718.0;1358000000.0;5132000.0;94.0;740.0
393.0;1.0;290.0;55624.0;30118.0;25506.0;1393250000.0;5273000.0;113.0;705.0
396.0;2.0;292.0;55091.0;29818.0;25273.0;1431050000.0;5424200.0;108.0;756.0
399.0;3.0;295.0;54667.0;29635.0;25032.0;1468400000.0;5573600.0;105.0;747.0
402.0;4.0;299.0;54226.0;29429.0;24797.0;1507600000.0;5730400.0;119.0;784.0
405.0;4.0;303.0;53799.0;29210.0;24589.0;1545650000.0;5882600.0;130.0;761.0
408.0;2.0;305.0;53069.0;28745.0;24324.0;1585600000.0;6042400.0;96.0;799.0
411.0;2.0;307.0;52727.0;28652.0;24075.0;1627000000.0;6208000.0;113.0;828.0
414.0;3.0;310.0;52383.0;28556.0;23827.0;1666700000.0;6366800.0;125.0;794.0
417.0;4.0;314.0;51508.0;27918.0;23590.0;1710700000.0;6542800.0;153.0;880.0
420.0;4.0;318.0;51026.0;27727.0;23299.0;1753900000.0;6715600.0;126.0;864.0
423.0;7.0;325.0;50547.0;27515.0;23032.0;1796900000.0;6887600.0;126.0;860.0
426.0;5.0;330.0;49813.0;27077.0;22736.0;1840550000.0;7062200.0;118.0;873.0
