Hubald model simulation data
""
starting_time = Wed Nov  8 13:59:34 2023
finishing_time = Wed Nov  8 16:18:38 2023
elapsed_time = 8343.98540186882 s
starting_sats = 50000
sigma = 5000
fragment_collision_prob = 0.001
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 500000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;20.0;20.0;49904.0;14910.0;34994.0;103200000.0;512800.0;5.0;64.0
3.0;5.0;25.0;49926.0;14981.0;34945.0;106250000.0;525000.0;5.0;61.0
6.0;0.0;25.0;49937.0;15038.0;34899.0;109500000.0;538000.0;2.0;65.0
9.0;1.0;26.0;49906.0;15063.0;34843.0;113050000.0;552200.0;5.0;71.0
12.0;3.0;29.0;49838.0;15053.0;34785.0;117000000.0;568000.0;4.0;79.0
15.0;2.0;31.0;49842.0;15099.0;34743.0;120250000.0;581000.0;6.0;65.0
18.0;1.0;32.0;49789.0;15095.0;34694.0;123100000.0;592400.0;3.0;57.0
21.0;0.0;32.0;49722.0;15077.0;34645.0;127100000.0;608400.0;7.0;80.0
24.0;0.0;32.0;49667.0;15059.0;34608.0;130650000.0;622600.0;7.0;71.0
27.0;0.0;32.0;49683.0;15124.0;34559.0;134500000.0;638000.0;5.0;77.0
30.0;0.0;32.0;49657.0;15148.0;34509.0;138450000.0;653800.0;3.0;79.0
33.0;0.0;32.0;49561.0;15120.0;34441.0;143450000.0;673800.0;6.0;100.0
36.0;1.0;33.0;49534.0;15152.0;34382.0;148000000.0;692000.0;6.0;91.0
39.0;0.0;33.0;49512.0;15187.0;34325.0;152300000.0;709200.0;7.0;86.0
42.0;1.0;34.0;49428.0;15160.0;34268.0;156750000.0;727000.0;12.0;89.0
45.0;2.0;36.0;49368.0;15142.0;34226.0;160150000.0;740600.0;5.0;68.0
48.0;0.0;36.0;49298.0;15121.0;34177.0;165100000.0;760400.0;10.0;99.0
51.0;0.0;36.0;49265.0;15162.0;34103.0;170450000.0;781800.0;4.0;107.0
54.0;1.0;37.0;49264.0;15233.0;34031.0;175050000.0;800200.0;4.0;92.0
57.0;3.0;40.0;49252.0;15293.0;33959.0;180050000.0;820200.0;5.0;100.0
60.0;3.0;43.0;49188.0;15297.0;33891.0;184500000.0;838000.0;6.0;89.0
63.0;0.0;43.0;49070.0;15265.0;33805.0;190550000.0;862200.0;8.0;121.0
66.0;2.0;45.0;49002.0;15257.0;33745.0;195900000.0;883600.0;10.0;107.0
69.0;0.0;45.0;48906.0;15230.0;33676.0;201550000.0;906200.0;8.0;113.0
72.0;2.0;47.0;48866.0;15270.0;33596.0;207400000.0;929600.0;8.0;117.0
75.0;1.0;48.0;48788.0;15266.0;33522.0;212800000.0;951200.0;6.0;108.0
78.0;0.0;48.0;48776.0;15316.0;33460.0;217550000.0;970200.0;3.0;95.0
81.0;0.0;48.0;48714.0;15318.0;33396.0;223250000.0;993000.0;11.0;114.0
84.0;2.0;50.0;48590.0;15283.0;33307.0;229600000.0;1018400.0;10.0;127.0
87.0;0.0;50.0;48503.0;15253.0;33250.0;235300000.0;1041200.0;11.0;114.0
90.0;1.0;51.0;48410.0;15242.0;33168.0;242050000.0;1068200.0;15.0;135.0
93.0;1.0;52.0;48295.0;15222.0;33073.0;249200000.0;1096800.0;8.0;143.0
96.0;0.0;52.0;48229.0;15247.0;32982.0;256250000.0;1125000.0;12.0;141.0
99.0;1.0;53.0;48135.0;15224.0;32911.0;262700000.0;1150800.0;11.0;129.0
102.0;4.0;57.0;48027.0;15209.0;32818.0;270050000.0;1180200.0;15.0;147.0
105.0;0.0;57.0;47938.0;15206.0;32732.0;277400000.0;1209600.0;10.0;147.0
108.0;1.0;58.0;47785.0;15147.0;32638.0;285150000.0;1240600.0;11.0;155.0
111.0;1.0;59.0;47706.0;15148.0;32558.0;292000000.0;1268000.0;7.0;137.0
114.0;0.0;59.0;47548.0;15112.0;32436.0;300900000.0;1303600.0;10.0;178.0
117.0;1.0;60.0;47372.0;15058.0;32314.0;309700000.0;1338800.0;5.0;176.0
120.0;0.0;60.0;47301.0;15076.0;32225.0;317050000.0;1368200.0;15.0;147.0
123.0;0.0;60.0;47144.0;15018.0;32126.0;325650000.0;1402600.0;17.0;172.0
126.0;0.0;60.0;47043.0;15026.0;32017.0;334050000.0;1436200.0;20.0;168.0
129.0;1.0;61.0;46921.0;15005.0;31916.0;342000000.0;1468000.0;9.0;159.0
132.0;2.0;63.0;46807.0;15011.0;31796.0;350900000.0;1503600.0;10.0;178.0
