Hubald model simulation data
""
starting_time = Thu Nov  9 10:16:28 2023
finishing_time = Thu Nov  9 14:26:15 2023
elapsed_time = 14987.303496837616 s
starting_sats = 50000
sigma = 5000
fragment_collision_prob = 0.001
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;23.0;49986.0;14929.0;35057.0;1000800000.0;103200.0;48.0;16.0
3.0;3.0;26.0;50040.0;14965.0;35075.0;1001100000.0;104400.0;28.0;6.0
6.0;2.0;28.0;50085.0;14984.0;35101.0;1001800000.0;107200.0;41.0;14.0
9.0;3.0;31.0;50131.0;15013.0;35118.0;1002550000.0;110200.0;36.0;15.0
12.0;2.0;33.0;50161.0;15020.0;35141.0;1003050000.0;112200.0;37.0;10.0
15.0;3.0;36.0;50188.0;15028.0;35160.0;1003500000.0;114000.0;33.0;9.0
18.0;2.0;38.0;50224.0;15051.0;35173.0;1004150000.0;116600.0;28.0;13.0
21.0;0.0;38.0;50293.0;15099.0;35194.0;1005250000.0;121000.0;37.0;22.0
24.0;3.0;41.0;50273.0;15060.0;35213.0;1006050000.0;124200.0;36.0;16.0
27.0;0.0;41.0;50275.0;15050.0;35225.0;1006750000.0;127000.0;26.0;14.0
30.0;0.0;41.0;50351.0;15096.0;35255.0;1007350000.0;129400.0;42.0;12.0
33.0;4.0;45.0;50419.0;15145.0;35274.0;1007900000.0;131600.0;38.0;11.0
36.0;1.0;46.0;50473.0;15177.0;35296.0;1008900000.0;135600.0;41.0;20.0
39.0;3.0;49.0;50489.0;15179.0;35310.0;1009900000.0;139600.0;35.0;20.0
42.0;2.0;51.0;50547.0;15234.0;35313.0;1010950000.0;143800.0;29.0;21.0
45.0;1.0;52.0;50602.0;15258.0;35344.0;1011500000.0;146000.0;46.0;11.0
48.0;2.0;54.0;50589.0;15212.0;35377.0;1012600000.0;150400.0;49.0;22.0
51.0;1.0;55.0;50570.0;15186.0;35384.0;1013650000.0;154600.0;24.0;21.0
54.0;4.0;59.0;50634.0;15228.0;35406.0;1014400000.0;157600.0;38.0;15.0
57.0;0.0;59.0;50626.0;15191.0;35435.0;1015500000.0;162000.0;47.0;22.0
60.0;1.0;60.0;50664.0;15221.0;35443.0;1016600000.0;166400.0;29.0;22.0
63.0;2.0;62.0;50682.0;15215.0;35467.0;1017700000.0;170800.0;44.0;22.0
66.0;1.0;63.0;50751.0;15272.0;35479.0;1018700000.0;174800.0;31.0;20.0
69.0;4.0;67.0;50765.0;15272.0;35493.0;1019800000.0;179200.0;44.0;22.0
72.0;3.0;70.0;50797.0;15293.0;35504.0;1021050000.0;184200.0;40.0;25.0
75.0;2.0;72.0;50791.0;15263.0;35528.0;1021600000.0;186400.0;37.0;11.0
78.0;1.0;73.0;50790.0;15244.0;35546.0;1023000000.0;192000.0;40.0;28.0
81.0;2.0;75.0;50816.0;15245.0;35571.0;1024150000.0;196600.0;48.0;23.0
84.0;3.0;78.0;50806.0;15211.0;35595.0;1024950000.0;199800.0;44.0;16.0
87.0;0.0;78.0;50860.0;15252.0;35608.0;1026600000.0;206400.0;37.0;33.0
90.0;3.0;81.0;50839.0;15212.0;35627.0;1027950000.0;211800.0;45.0;27.0
93.0;0.0;81.0;50845.0;15201.0;35644.0;1029300000.0;217200.0;32.0;27.0
96.0;3.0;84.0;50854.0;15193.0;35661.0;1030950000.0;223800.0;44.0;33.0
99.0;2.0;86.0;50866.0;15176.0;35690.0;1032000000.0;228000.0;47.0;21.0
102.0;0.0;86.0;50933.0;15218.0;35715.0;1033000000.0;232000.0;40.0;20.0
105.0;2.0;88.0;50886.0;15157.0;35729.0;1035000000.0;240000.0;49.0;40.0
108.0;3.0;91.0;50929.0;15195.0;35734.0;1037000000.0;248000.0;44.0;40.0
111.0;1.0;92.0;50933.0;15196.0;35737.0;1038650000.0;254600.0;32.0;33.0
114.0;6.0;98.0;50928.0;15199.0;35729.0;1040750000.0;263000.0;35.0;42.0
117.0;1.0;99.0;50915.0;15177.0;35738.0;1042400000.0;269600.0;36.0;33.0
120.0;2.0;101.0;50928.0;15174.0;35754.0;1043900000.0;275600.0;44.0;30.0
123.0;3.0;104.0;50897.0;15138.0;35759.0;1045850000.0;283400.0;39.0;39.0
126.0;3.0;107.0;50923.0;15156.0;35767.0;1047500000.0;290000.0;37.0;33.0
129.0;2.0;109.0;50982.0;15203.0;35779.0;1049000000.0;296000.0;41.0;30.0
132.0;0.0;109.0;51014.0;15219.0;35795.0;1050600000.0;302400.0;43.0;32.0
135.0;1.0;110.0;51007.0;15211.0;35796.0;1052850000.0;311400.0;40.0;45.0
138.0;1.0;111.0;50993.0;15195.0;35798.0;1054650000.0;318600.0;28.0;36.0
141.0;2.0;113.0;51017.0;15209.0;35808.0;1056200000.0;324800.0;39.0;31.0
144.0;1.0;114.0;51031.0;15217.0;35814.0;1058600000.0;334400.0;45.0;48.0
147.0;3.0;117.0;51005.0;15184.0;35821.0;1060950000.0;343800.0;47.0;47.0
150.0;0.0;117.0;50970.0;15135.0;35835.0;1062750000.0;351000.0;33.0;36.0
153.0;2.0;119.0;51009.0;15176.0;35833.0;1065150000.0;360600.0;38.0;48.0
156.0;3.0;122.0;51039.0;15209.0;35830.0;1068050000.0;372200.0;40.0;58.0
159.0;3.0;125.0;51080.0;15258.0;35822.0;1070300000.0;381200.0;31.0;45.0
162.0;3.0;128.0;51091.0;15260.0;35831.0;1072100000.0;388400.0;38.0;36.0
165.0;0.0;128.0;51063.0;15230.0;35833.0;1074450000.0;397800.0;39.0;47.0
168.0;3.0;131.0;51077.0;15248.0;35829.0;1077500000.0;410000.0;40.0;61.0
171.0;3.0;134.0;51070.0;15236.0;35834.0;1080300000.0;421200.0;49.0;56.0
174.0;4.0;138.0;51079.0;15248.0;35831.0;1083650000.0;434600.0;52.0;67.0
177.0;4.0;142.0;51108.0;15282.0;35826.0;1086300000.0;445200.0;41.0;53.0
180.0;1.0;143.0;51044.0;15227.0;35817.0;1089750000.0;459000.0;39.0;69.0
183.0;3.0;146.0;51050.0;15219.0;35831.0;1092400000.0;469600.0;52.0;53.0
186.0;0.0;146.0;51053.0;15220.0;35833.0;1095450000.0;481800.0;41.0;61.0
189.0;2.0;148.0;51077.0;15259.0;35818.0;1098850000.0;495400.0;40.0;68.0
192.0;3.0;151.0;51069.0;15260.0;35809.0;1102100000.0;508400.0;44.0;65.0
195.0;3.0;154.0;51096.0;15295.0;35801.0;1105350000.0;521400.0;46.0;65.0
198.0;4.0;158.0;51111.0;15334.0;35777.0;1108900000.0;535600.0;41.0;71.0
201.0;2.0;160.0;51064.0;15311.0;35753.0;1112300000.0;549200.0;38.0;68.0
204.0;0.0;160.0;51044.0;15309.0;35735.0;1116050000.0;564200.0;35.0;75.0
207.0;1.0;161.0;50978.0;15274.0;35704.0;1120400000.0;581600.0;44.0;87.0
210.0;2.0;163.0;50961.0;15261.0;35700.0;1124550000.0;598200.0;54.0;83.0
213.0;2.0;165.0;50900.0;15213.0;35687.0;1128400000.0;613600.0;51.0;77.0
216.0;1.0;166.0;50910.0;15238.0;35672.0;1132150000.0;628600.0;50.0;75.0
219.0;2.0;168.0;50835.0;15178.0;35657.0;1136000000.0;644000.0;42.0;77.0
