Hubald model simulation data
""
starting_time = Thu Nov  9 16:42:18 2023
finishing_time = Fri Nov 10 02:22:39 2023
elapsed_time = 34820.86493515968 s
starting_sats = 50000
sigma = 5000
fragment_collision_prob = 0.001
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;320.0;320.0;49444.0;15101.0;34343.0;1000450000.0;101800.0;38.0;9.0
3.0;59.0;379.0;49383.0;15120.0;34263.0;1000950000.0;103800.0;43.0;10.0
6.0;33.0;412.0;49336.0;15109.0;34227.0;1001750000.0;107000.0;41.0;16.0
9.0;31.0;443.0;49346.0;15153.0;34193.0;1002100000.0;108400.0;33.0;7.0
12.0;29.0;472.0;49311.0;15138.0;34173.0;1002650000.0;110600.0;42.0;11.0
15.0;20.0;492.0;49310.0;15137.0;34173.0;1003250000.0;113000.0;41.0;12.0
18.0;13.0;505.0;49265.0;15089.0;34176.0;1004100000.0;116400.0;40.0;17.0
21.0;17.0;522.0;49232.0;15054.0;34178.0;1004800000.0;119200.0;44.0;14.0
24.0;12.0;534.0;49286.0;15114.0;34172.0;1005700000.0;122800.0;36.0;18.0
27.0;11.0;545.0;49251.0;15078.0;34173.0;1006450000.0;125800.0;32.0;15.0
30.0;10.0;555.0;49240.0;15059.0;34181.0;1007400000.0;129600.0;40.0;19.0
33.0;17.0;572.0;49222.0;15050.0;34172.0;1008300000.0;133200.0;38.0;18.0
36.0;11.0;583.0;49196.0;15015.0;34181.0;1009250000.0;137000.0;43.0;19.0
39.0;12.0;595.0;49188.0;15015.0;34173.0;1010800000.0;143200.0;34.0;31.0
42.0;8.0;603.0;49155.0;14960.0;34195.0;1011850000.0;147400.0;49.0;21.0
45.0;11.0;614.0;49126.0;14931.0;34195.0;1012900000.0;151600.0;35.0;21.0
48.0;9.0;623.0;49143.0;14943.0;34200.0;1013650000.0;154600.0;38.0;15.0
51.0;15.0;638.0;49138.0;14942.0;34196.0;1014900000.0;159600.0;38.0;25.0
54.0;16.0;654.0;49177.0;14987.0;34190.0;1015750000.0;163000.0;37.0;17.0
57.0;7.0;661.0;49174.0;14982.0;34192.0;1017150000.0;168600.0;36.0;28.0
60.0;3.0;664.0;49215.0;14999.0;34216.0;1018150000.0;172600.0;44.0;20.0
63.0;6.0;670.0;49172.0;14961.0;34211.0;1019800000.0;179200.0;30.0;33.0
66.0;9.0;679.0;49145.0;14920.0;34225.0;1020700000.0;182800.0;46.0;18.0
69.0;1.0;680.0;49118.0;14878.0;34240.0;1021850000.0;187400.0;36.0;23.0
72.0;7.0;687.0;49097.0;14855.0;34242.0;1023100000.0;192400.0;32.0;25.0
75.0;8.0;695.0;49091.0;14849.0;34242.0;1024150000.0;196600.0;29.0;21.0
78.0;8.0;703.0;49046.0;14806.0;34240.0;1025550000.0;202200.0;32.0;28.0
81.0;7.0;710.0;49061.0;14810.0;34251.0;1026300000.0;205200.0;32.0;15.0
84.0;5.0;715.0;49071.0;14803.0;34268.0;1027500000.0;210000.0;41.0;24.0
87.0;8.0;723.0;49070.0;14806.0;34264.0;1028750000.0;215000.0;34.0;25.0
