Hubald model simulation data
""
starting_time = Fri Nov 10 15:39:24 2023
finishing_time = Sat Nov 11 06:19:10 2023
elapsed_time = 52785.92979621887 s
starting_sats = 60000
sigma = 5000
fragment_collision_prob = 0.001
active_percentage = 0.5
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;311.0;311.0;59388.0;30020.0;29368.0;1000900000.0;103600.0;84.0;18.0
3.0;53.0;364.0;59279.0;29949.0;29330.0;1001800000.0;107200.0;73.0;18.0
6.0;43.0;407.0;59233.0;29897.0;29336.0;1002350000.0;109400.0;88.0;11.0
9.0;25.0;432.0;59216.0;29858.0;29358.0;1003300000.0;113200.0;80.0;19.0
12.0;24.0;456.0;59150.0;29787.0;29363.0;1004600000.0;118400.0;66.0;26.0
15.0;19.0;475.0;59109.0;29715.0;29394.0;1005450000.0;121800.0;69.0;17.0
18.0;17.0;492.0;59140.0;29707.0;29433.0;1006050000.0;124200.0;75.0;12.0
21.0;12.0;504.0;59136.0;29656.0;29480.0;1006900000.0;127600.0;79.0;17.0
24.0;10.0;514.0;59097.0;29569.0;29528.0;1008050000.0;132200.0;73.0;23.0
27.0;9.0;523.0;59080.0;29512.0;29568.0;1008950000.0;135800.0;70.0;18.0
30.0;8.0;531.0;59107.0;29497.0;29610.0;1010100000.0;140400.0;71.0;23.0
33.0;18.0;549.0;59111.0;29470.0;29641.0;1011200000.0;144800.0;72.0;22.0
36.0;11.0;560.0;59070.0;29388.0;29682.0;1012100000.0;148400.0;74.0;18.0
39.0;6.0;566.0;59029.0;29319.0;29710.0;1013400000.0;153600.0;54.0;26.0
42.0;4.0;570.0;59080.0;29312.0;29768.0;1014700000.0;158800.0;78.0;26.0
45.0;6.0;576.0;59042.0;29219.0;29823.0;1016000000.0;164000.0;79.0;26.0
48.0;7.0;583.0;59072.0;29208.0;29864.0;1017550000.0;170200.0;73.0;31.0
51.0;12.0;595.0;59037.0;29134.0;29903.0;1019200000.0;176800.0;82.0;33.0
54.0;5.0;600.0;59009.0;29043.0;29966.0;1020250000.0;181000.0;78.0;21.0
57.0;4.0;604.0;59075.0;29046.0;30029.0;1021300000.0;185200.0;78.0;21.0
60.0;11.0;615.0;59025.0;28952.0;30073.0;1022850000.0;191400.0;80.0;31.0
63.0;7.0;622.0;59008.0;28878.0;30130.0;1024150000.0;196600.0;81.0;26.0
66.0;13.0;635.0;59053.0;28889.0;30164.0;1025400000.0;201600.0;69.0;25.0
69.0;8.0;643.0;59110.0;28904.0;30206.0;1026550000.0;206200.0;77.0;23.0
72.0;6.0;649.0;59098.0;28850.0;30248.0;1028300000.0;213200.0;72.0;35.0
75.0;4.0;653.0;59077.0;28786.0;30291.0;1030250000.0;221000.0;70.0;39.0
78.0;11.0;664.0;59040.0;28725.0;30315.0;1031550000.0;226200.0;56.0;26.0
81.0;3.0;667.0;59006.0;28645.0;30361.0;1033450000.0;233800.0;72.0;38.0
84.0;7.0;674.0;59010.0;28618.0;30392.0;1035400000.0;241600.0;68.0;39.0
87.0;5.0;679.0;58993.0;28543.0;30450.0;1036950000.0;247800.0;76.0;31.0
90.0;6.0;685.0;59015.0;28521.0;30494.0;1039350000.0;257400.0;85.0;48.0
93.0;8.0;693.0;59046.0;28522.0;30524.0;1041000000.0;264000.0;64.0;33.0
96.0;5.0;698.0;59048.0;28486.0;30562.0;1042900000.0;271600.0;70.0;38.0
99.0;7.0;705.0;59001.0;28399.0;30602.0;1044950000.0;279800.0;75.0;41.0
102.0;2.0;707.0;59027.0;28377.0;30650.0;1047150000.0;288600.0;75.0;44.0
105.0;2.0;709.0;58990.0;28277.0;30713.0;1048700000.0;294800.0;86.0;31.0
