Hubald model simulation data
""
starting_time = Mon Nov 13 10:11:32 2023
finishing_time = Mon Nov 13 14:13:53 2023
elapsed_time = 14540.448063850403 s
starting_sats = 50000
sigma = 5000
fragment_collision_prob = 0.001
active_percentage = 0.7
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;24.0;24.0;49975.0;14927.0;35048.0;1000800000.0;103200.0;36.0;16.0
3.0;2.0;26.0;50042.0;14967.0;35075.0;1001350000.0;105400.0;40.0;11.0
6.0;2.0;28.0;50110.0;15005.0;35105.0;1001750000.0;107000.0;40.0;8.0
9.0;3.0;31.0;50111.0;14981.0;35130.0;1002100000.0;108400.0;39.0;7.0
12.0;4.0;35.0;50123.0;14977.0;35146.0;1002800000.0;111200.0;35.0;14.0
15.0;2.0;37.0;50157.0;14995.0;35162.0;1003700000.0;114800.0;34.0;18.0
18.0;2.0;39.0;50145.0;14958.0;35187.0;1004400000.0;117600.0;42.0;14.0
21.0;1.0;40.0;50196.0;14993.0;35203.0;1005150000.0;120600.0;32.0;15.0
24.0;1.0;41.0;50261.0;15035.0;35226.0;1005750000.0;123000.0;33.0;12.0
27.0;0.0;41.0;50271.0;15012.0;35259.0;1006400000.0;125600.0;47.0;13.0
30.0;2.0;43.0;50298.0;15017.0;35281.0;1007200000.0;128800.0;40.0;16.0
33.0;2.0;45.0;50351.0;15047.0;35304.0;1008250000.0;133000.0;40.0;21.0
36.0;0.0;45.0;50398.0;15082.0;35316.0;1009100000.0;136400.0;24.0;17.0
39.0;0.0;45.0;50460.0;15118.0;35342.0;1010050000.0;140200.0;37.0;19.0
42.0;1.0;46.0;50473.0;15106.0;35367.0;1010650000.0;142600.0;39.0;12.0
45.0;3.0;49.0;50540.0;15160.0;35380.0;1011750000.0;147000.0;35.0;22.0
48.0;3.0;52.0;50544.0;15149.0;35395.0;1012500000.0;150000.0;35.0;15.0
51.0;2.0;54.0;50603.0;15182.0;35421.0;1013450000.0;153800.0;43.0;19.0
54.0;0.0;54.0;50675.0;15223.0;35452.0;1014600000.0;158400.0;46.0;23.0
