Hubald model simulation data
""
starting_time = Wed Nov 15 16:12:13 2023
finishing_time = Thu Nov 16 02:47:19 2023
elapsed_time = 38105.767575740814 s
starting_sats = 10000
sigma = 5000
fragment_collision_prob = 0.001
active_percentage = 0.4
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;16.0;16.0;10372.0;4485.0;5887.0;1000100000.0;100400.0;6.0;2.0
3.0;2.0;18.0;10427.0;4575.0;5852.0;1000150000.0;100600.0;14.0;1.0
6.0;1.0;19.0;10476.0;4617.0;5859.0;1000300000.0;101200.0;11.0;3.0
9.0;0.0;19.0;10584.0;4767.0;5817.0;1000350000.0;101400.0;7.0;1.0
12.0;1.0;20.0;10695.0;4917.0;5778.0;1000600000.0;102400.0;7.0;5.0
15.0;2.0;22.0;10755.0;4992.0;5763.0;1000700000.0;102800.0;8.0;2.0
18.0;1.0;23.0;11024.0;5249.0;5775.0;1000750000.0;103000.0;16.0;1.0
21.0;0.0;23.0;11460.0;5713.0;5747.0;1000950000.0;103800.0;13.0;4.0
24.0;0.0;23.0;11643.0;5932.0;5711.0;1001150000.0;104600.0;10.0;4.0
27.0;0.0;23.0;11937.0;6236.0;5701.0;1001200000.0;104800.0;17.0;1.0
30.0;0.0;23.0;12366.0;6689.0;5677.0;1001350000.0;105400.0;22.0;3.0
33.0;0.0;23.0;12658.0;6984.0;5674.0;1001400000.0;105600.0;18.0;1.0
36.0;0.0;23.0;13099.0;7416.0;5683.0;1001500000.0;106000.0;16.0;2.0
39.0;0.0;23.0;13459.0;7788.0;5671.0;1001700000.0;106800.0;20.0;4.0
42.0;0.0;23.0;13513.0;7836.0;5677.0;1001900000.0;107600.0;16.0;4.0
45.0;1.0;24.0;13641.0;7952.0;5689.0;1002150000.0;108600.0;24.0;5.0
48.0;1.0;25.0;13935.0;8230.0;5705.0;1002250000.0;109000.0;17.0;2.0
51.0;0.0;25.0;14257.0;8565.0;5692.0;1002400000.0;109600.0;14.0;3.0
54.0;1.0;26.0;14576.0;8880.0;5696.0;1002600000.0;110400.0;21.0;4.0
57.0;0.0;26.0;14608.0;8895.0;5713.0;1002800000.0;111200.0;27.0;4.0
60.0;0.0;26.0;14879.0;9176.0;5703.0;1003100000.0;112400.0;21.0;6.0
63.0;1.0;27.0;15021.0;9307.0;5714.0;1003350000.0;113400.0;21.0;5.0
66.0;0.0;27.0;15104.0;9403.0;5701.0;1003700000.0;114800.0;15.0;7.0
69.0;0.0;27.0;15294.0;9616.0;5678.0;1004100000.0;116400.0;24.0;8.0
72.0;0.0;27.0;15675.0;9997.0;5678.0;1004250000.0;117000.0;18.0;3.0
75.0;0.0;27.0;15725.0;10044.0;5681.0;1004450000.0;117800.0;26.0;4.0
78.0;0.0;27.0;15970.0;10308.0;5662.0;1004850000.0;119400.0;21.0;8.0
81.0;3.0;30.0;15933.0;10278.0;5655.0;1005100000.0;120400.0;36.0;5.0
84.0;0.0;30.0;16219.0;10595.0;5624.0;1005450000.0;121800.0;19.0;7.0
87.0;1.0;31.0;16571.0;10936.0;5635.0;1005850000.0;123400.0;25.0;8.0
90.0;0.0;31.0;16966.0;11320.0;5646.0;1006050000.0;124200.0;24.0;4.0
93.0;0.0;31.0;17442.0;11771.0;5671.0;1006300000.0;125200.0;29.0;5.0
96.0;0.0;31.0;17813.0;12153.0;5660.0;1006450000.0;125800.0;30.0;3.0
99.0;0.0;31.0;17898.0;12224.0;5674.0;1006750000.0;127000.0;39.0;6.0
102.0;1.0;32.0;18255.0;12589.0;5666.0;1007300000.0;129200.0;29.0;11.0
105.0;1.0;33.0;18630.0;12965.0;5665.0;1007650000.0;130600.0;34.0;7.0
108.0;1.0;34.0;18618.0;12967.0;5651.0;1007850000.0;131400.0;30.0;4.0
111.0;0.0;34.0;18717.0;13070.0;5647.0;1008050000.0;132200.0;39.0;4.0
114.0;1.0;35.0;19084.0;13439.0;5645.0;1008450000.0;133800.0;40.0;8.0
117.0;0.0;35.0;19175.0;13525.0;5650.0;1008750000.0;135000.0;35.0;6.0
120.0;1.0;36.0;19219.0;13534.0;5685.0;1009050000.0;136200.0;47.0;6.0
123.0;0.0;36.0;19538.0;13859.0;5679.0;1009350000.0;137400.0;26.0;6.0
126.0;0.0;36.0;19721.0;14034.0;5687.0;1009600000.0;138400.0;36.0;5.0
129.0;0.0;36.0;19956.0;14246.0;5710.0;1010150000.0;140600.0;30.0;11.0
132.0;0.0;36.0;20335.0;14616.0;5719.0;1010650000.0;142600.0;28.0;10.0
135.0;1.0;37.0;20328.0;14591.0;5737.0;1010850000.0;143400.0;41.0;4.0
138.0;0.0;37.0;20708.0;14942.0;5766.0;1011200000.0;144800.0;35.0;7.0
141.0;1.0;38.0;20894.0;15094.0;5800.0;1011400000.0;145600.0;37.0;4.0
144.0;0.0;38.0;21357.0;15520.0;5837.0;1011700000.0;146800.0;44.0;6.0
147.0;0.0;38.0;21672.0;15842.0;5830.0;1012400000.0;149600.0;39.0;14.0
150.0;1.0;39.0;21798.0;15940.0;5858.0;1012750000.0;151000.0;43.0;7.0
153.0;1.0;40.0;21992.0;16111.0;5881.0;1013100000.0;152400.0;39.0;7.0
156.0;0.0;40.0;22028.0;16139.0;5889.0;1013350000.0;153400.0;42.0;5.0
159.0;0.0;40.0;22282.0;16385.0;5897.0;1013550000.0;154200.0;45.0;4.0
162.0;1.0;41.0;22424.0;16490.0;5934.0;1013900000.0;155600.0;46.0;7.0
165.0;0.0;41.0;22377.0;16443.0;5934.0;1014400000.0;157600.0;46.0;10.0
168.0;0.0;41.0;22493.0;16571.0;5922.0;1014900000.0;159600.0;34.0;10.0
171.0;0.0;41.0;22860.0;16896.0;5964.0;1015250000.0;161000.0;49.0;7.0
174.0;2.0;43.0;22975.0;16979.0;5996.0;1015750000.0;163000.0;44.0;10.0
177.0;2.0;45.0;23182.0;17159.0;6023.0;1016250000.0;165000.0;48.0;10.0
180.0;0.0;45.0;23646.0;17593.0;6053.0;1017000000.0;168000.0;42.0;15.0
183.0;1.0;46.0;23671.0;17616.0;6055.0;1017350000.0;169400.0;47.0;7.0
186.0;1.0;47.0;23930.0;17870.0;6060.0;1017700000.0;170800.0;44.0;7.0
189.0;1.0;48.0;24042.0;17952.0;6090.0;1018200000.0;172800.0;46.0;10.0
192.0;2.0;50.0;24076.0;17988.0;6088.0;1019200000.0;176800.0;46.0;20.0
195.0;2.0;52.0;24215.0;18108.0;6107.0;1019400000.0;177600.0;69.0;4.0
198.0;1.0;53.0;24410.0;18307.0;6103.0;1019850000.0;179400.0;42.0;9.0
201.0;2.0;55.0;24540.0;18413.0;6127.0;1020150000.0;180600.0;55.0;6.0
204.0;1.0;56.0;24728.0;18566.0;6162.0;1020550000.0;182200.0;46.0;8.0
207.0;0.0;56.0;24710.0;18553.0;6157.0;1021200000.0;184800.0;38.0;13.0
210.0;1.0;57.0;25029.0;18878.0;6151.0;1021550000.0;186200.0;40.0;7.0
213.0;0.0;57.0;25463.0;19303.0;6160.0;1022150000.0;188600.0;39.0;12.0
216.0;0.0;57.0;25920.0;19742.0;6178.0;1022800000.0;191200.0;42.0;13.0
219.0;1.0;58.0;26197.0;19994.0;6203.0;1023350000.0;193400.0;60.0;11.0
222.0;0.0;58.0;26438.0;20200.0;6238.0;1024500000.0;198000.0;58.0;23.0
225.0;1.0;59.0;26766.0;20511.0;6255.0;1025300000.0;201200.0;46.0;16.0
228.0;0.0;59.0;26758.0;20468.0;6290.0;1026050000.0;204200.0;62.0;15.0
231.0;1.0;60.0;26985.0;20638.0;6347.0;1026750000.0;207000.0;60.0;14.0
234.0;1.0;61.0;27370.0;21007.0;6363.0;1027400000.0;209600.0;52.0;13.0
237.0;1.0;62.0;27827.0;21410.0;6417.0;1027850000.0;211400.0;59.0;9.0
240.0;1.0;63.0;27911.0;21502.0;6409.0;1028500000.0;214000.0;42.0;13.0
243.0;2.0;65.0;27922.0;21472.0;6450.0;1029250000.0;217000.0;54.0;15.0
246.0;0.0;65.0;28246.0;21736.0;6510.0;1029900000.0;219600.0;68.0;13.0
249.0;1.0;66.0;28296.0;21764.0;6532.0;1030650000.0;222600.0;51.0;15.0
252.0;0.0;66.0;28281.0;21708.0;6573.0;1031200000.0;224800.0;57.0;11.0
255.0;0.0;66.0;28410.0;21801.0;6609.0;1032100000.0;228400.0;58.0;18.0
258.0;2.0;68.0;28788.0;22133.0;6655.0;1032950000.0;231800.0;72.0;17.0
261.0;2.0;70.0;28902.0;22228.0;6674.0;1033450000.0;233800.0;65.0;10.0
264.0;0.0;70.0;28904.0;22186.0;6718.0;1034550000.0;238200.0;50.0;22.0
267.0;1.0;71.0;29264.0;22519.0;6745.0;1035400000.0;241600.0;57.0;17.0
270.0;1.0;72.0;29233.0;22472.0;6761.0;1036450000.0;245800.0;61.0;21.0
273.0;1.0;73.0;29625.0;22852.0;6773.0;1037050000.0;248200.0;57.0;12.0
276.0;0.0;73.0;30080.0;23254.0;6826.0;1038150000.0;252600.0;67.0;22.0
279.0;2.0;75.0;30319.0;23436.0;6883.0;1039050000.0;256200.0;79.0;18.0
282.0;1.0;76.0;30474.0;23587.0;6887.0;1039900000.0;259600.0;51.0;17.0
285.0;1.0;77.0;30655.0;23758.0;6897.0;1040800000.0;263200.0;45.0;18.0
288.0;3.0;80.0;30832.0;23908.0;6924.0;1041700000.0;266800.0;59.0;18.0
291.0;1.0;81.0;31002.0;24024.0;6978.0;1042600000.0;270400.0;80.0;18.0
294.0;0.0;81.0;31030.0;24041.0;6989.0;1043700000.0;274800.0;64.0;22.0
297.0;2.0;83.0;31353.0;24328.0;7025.0;1044100000.0;276400.0;64.0;8.0
300.0;1.0;84.0;31309.0;24264.0;7045.0;1044900000.0;279600.0;67.0;16.0
303.0;1.0;85.0;31688.0;24622.0;7066.0;1046000000.0;284000.0;67.0;22.0
306.0;1.0;86.0;32062.0;24966.0;7096.0;1046750000.0;287000.0;72.0;15.0
309.0;0.0;86.0;32477.0;25321.0;7156.0;1047900000.0;291600.0;66.0;23.0
312.0;1.0;87.0;32613.0;25421.0;7192.0;1049300000.0;297200.0;69.0;28.0
315.0;3.0;90.0;32710.0;25479.0;7231.0;1050850000.0;303400.0;58.0;31.0
318.0;0.0;90.0;32697.0;25429.0;7268.0;1051950000.0;307800.0;66.0;22.0
321.0;4.0;94.0;32745.0;25443.0;7302.0;1053050000.0;312200.0;67.0;22.0
324.0;0.0;94.0;32916.0;25560.0;7356.0;1054900000.0;319600.0;69.0;37.0
327.0;0.0;94.0;33152.0;25772.0;7380.0;1056500000.0;326000.0;59.0;32.0
330.0;0.0;94.0;33296.0;25891.0;7405.0;1057400000.0;329600.0;56.0;18.0
333.0;1.0;95.0;33544.0;26101.0;7443.0;1058850000.0;335400.0;61.0;29.0
336.0;0.0;95.0;33959.0;26450.0;7509.0;1060050000.0;340200.0;76.0;24.0
339.0;2.0;97.0;34053.0;26510.0;7543.0;1061250000.0;345000.0;71.0;24.0
342.0;0.0;97.0;34130.0;26522.0;7608.0;1062450000.0;349800.0;77.0;24.0
345.0;0.0;97.0;34247.0;26588.0;7659.0;1063900000.0;355600.0;56.0;29.0
348.0;0.0;97.0;34582.0;26885.0;7697.0;1065750000.0;363000.0;52.0;37.0
351.0;1.0;98.0;34906.0;27155.0;7751.0;1067250000.0;369000.0;105.0;30.0
354.0;4.0;102.0;35330.0;27523.0;7807.0;1068850000.0;375400.0;68.0;32.0
357.0;1.0;103.0;35554.0;27718.0;7836.0;1070350000.0;381400.0;79.0;30.0
360.0;1.0;104.0;35918.0;28042.0;7876.0;1071700000.0;386800.0;67.0;27.0
363.0;1.0;105.0;35931.0;28005.0;7926.0;1073400000.0;393600.0;78.0;34.0
366.0;1.0;106.0;36081.0;28098.0;7983.0;1075100000.0;400400.0;73.0;34.0
369.0;2.0;108.0;36415.0;28409.0;8006.0;1076600000.0;406400.0;74.0;30.0
372.0;1.0;109.0;36443.0;28398.0;8045.0;1078500000.0;414000.0;84.0;38.0
375.0;0.0;109.0;36595.0;28509.0;8086.0;1080200000.0;420800.0;84.0;34.0
378.0;3.0;112.0;36924.0;28813.0;8111.0;1082750000.0;431000.0;71.0;51.0
381.0;2.0;114.0;37214.0;29058.0;8156.0;1084600000.0;438400.0;77.0;37.0
384.0;0.0;114.0;37597.0;29353.0;8244.0;1086400000.0;445600.0;97.0;36.0
387.0;2.0;116.0;37588.0;29299.0;8289.0;1088600000.0;454400.0;86.0;44.0
390.0;1.0;117.0;37653.0;29325.0;8328.0;1090650000.0;462600.0;78.0;41.0
