Hubald model simulation data
""
starting_time = Thu Nov 16 15:21:17 2023
finishing_time = Fri Nov 17 01:55:14 2023
elapsed_time = 38037.027580976486 s
starting_sats = 10000
sigma = 2000
fragment_collision_prob = 0.001
active_percentage = 0.4
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;15.0;15.0;10080.0;4158.0;5922.0;1000150000.0;100600.0;8.0;3.0
3.0;1.0;16.0;10200.0;4321.0;5879.0;1000250000.0;101000.0;8.0;2.0
6.0;1.0;17.0;10468.0;4602.0;5866.0;1000500000.0;102000.0;11.0;5.0
9.0;1.0;18.0;10724.0;4894.0;5830.0;1000650000.0;102600.0;10.0;3.0
12.0;1.0;19.0;10763.0;4971.0;5792.0;1000800000.0;103200.0;12.0;3.0
15.0;1.0;20.0;10931.0;5150.0;5781.0;1000950000.0;103800.0;11.0;3.0
18.0;0.0;20.0;11186.0;5447.0;5739.0;1001100000.0;104400.0;7.0;3.0
21.0;1.0;21.0;11432.0;5699.0;5733.0;1001250000.0;105000.0;10.0;3.0
24.0;0.0;21.0;11407.0;5702.0;5705.0;1001250000.0;105000.0;18.0;0.0
27.0;0.0;21.0;11605.0;5896.0;5709.0;1001350000.0;105400.0;21.0;2.0
30.0;1.0;22.0;11765.0;6092.0;5673.0;1001800000.0;107200.0;13.0;9.0
33.0;1.0;23.0;11953.0;6304.0;5649.0;1002050000.0;108200.0;15.0;5.0
36.0;1.0;24.0;12130.0;6493.0;5637.0;1002250000.0;109000.0;13.0;4.0
39.0;1.0;25.0;12489.0;6871.0;5618.0;1002400000.0;109600.0;24.0;3.0
42.0;0.0;25.0;12789.0;7158.0;5631.0;1002550000.0;110200.0;20.0;3.0
45.0;1.0;26.0;13026.0;7403.0;5623.0;1002750000.0;111000.0;10.0;4.0
48.0;0.0;26.0;13377.0;7780.0;5597.0;1002900000.0;111600.0;19.0;3.0
51.0;0.0;26.0;13492.0;7902.0;5590.0;1003000000.0;112000.0;14.0;2.0
54.0;0.0;26.0;13857.0;8277.0;5580.0;1003350000.0;113400.0;13.0;7.0
57.0;0.0;26.0;14030.0;8451.0;5579.0;1003500000.0;114000.0;20.0;3.0
60.0;0.0;26.0;14472.0;8912.0;5560.0;1003550000.0;114200.0;31.0;1.0
63.0;0.0;26.0;14680.0;9147.0;5533.0;1003850000.0;115400.0;23.0;6.0
66.0;0.0;26.0;14898.0;9348.0;5550.0;1004000000.0;116000.0;25.0;3.0
69.0;0.0;26.0;15145.0;9610.0;5535.0;1004350000.0;117400.0;17.0;7.0
72.0;0.0;26.0;15265.0;9757.0;5508.0;1004600000.0;118400.0;13.0;5.0
75.0;0.0;26.0;15265.0;9736.0;5529.0;1004800000.0;119200.0;22.0;4.0
78.0;0.0;26.0;15699.0;10181.0;5518.0;1005000000.0;120000.0;31.0;4.0
81.0;1.0;27.0;15871.0;10361.0;5510.0;1005300000.0;121200.0;22.0;6.0
