Hubald model simulation data
""
starting_time = Mon Nov 20 14:08:13 2023
finishing_time = Tue Nov 21 06:47:57 2023
elapsed_time = 59984.07840180397 s
starting_sats = 10000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.4
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;8.0;8.0;10088.0;4186.0;5902.0;1000000000.0;100000.0;4.0;0.0
3.0;5.0;13.0;10397.0;4504.0;5893.0;1000100000.0;100400.0;3.0;2.0
6.0;2.0;15.0;10670.0;4811.0;5859.0;1000150000.0;100600.0;1.0;1.0
9.0;1.0;16.0;10981.0;5124.0;5857.0;1000150000.0;100600.0;8.0;0.0
12.0;1.0;17.0;11262.0;5453.0;5809.0;1000250000.0;101000.0;4.0;2.0
15.0;1.0;18.0;11570.0;5797.0;5773.0;1000300000.0;101200.0;10.0;1.0
18.0;1.0;19.0;11694.0;5958.0;5736.0;1000450000.0;101800.0;8.0;3.0
21.0;2.0;21.0;12015.0;6297.0;5718.0;1000450000.0;101800.0;8.0;0.0
24.0;1.0;22.0;12251.0;6540.0;5711.0;1000550000.0;102200.0;8.0;2.0
27.0;0.0;22.0;12483.0;6761.0;5722.0;1000700000.0;102800.0;13.0;3.0
30.0;0.0;22.0;12799.0;7088.0;5711.0;1000750000.0;103000.0;5.0;1.0
33.0;0.0;22.0;13178.0;7501.0;5677.0;1000900000.0;103600.0;5.0;3.0
36.0;2.0;24.0;13591.0;7948.0;5643.0;1000950000.0;103800.0;11.0;1.0
39.0;0.0;24.0;13918.0;8297.0;5621.0;1001050000.0;104200.0;12.0;2.0
42.0;1.0;25.0;14232.0;8609.0;5623.0;1001150000.0;104600.0;10.0;2.0
45.0;0.0;25.0;14636.0;9034.0;5602.0;1001200000.0;104800.0;12.0;1.0
48.0;0.0;25.0;14740.0;9152.0;5588.0;1001350000.0;105400.0;13.0;3.0
51.0;0.0;25.0;14964.0;9393.0;5571.0;1001500000.0;106000.0;11.0;3.0
