Hubald model simulation data
""
starting_time = Tue Nov 28 14:28:29 2023
finishing_time = Tue Nov 28 20:20:01 2023
elapsed_time = 21091.39909005165 s
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;23.0;50043.0;15025.0;35018.0;1000050000.0;100200.0;4.0;1.0
3.0;4.0;27.0;50121.0;15120.0;35001.0;1000200000.0;100800.0;3.0;3.0
6.0;3.0;30.0;50203.0;15213.0;34990.0;1000250000.0;101000.0;4.0;1.0
9.0;1.0;31.0;50289.0;15306.0;34983.0;1000300000.0;101200.0;5.0;1.0
12.0;0.0;31.0;50378.0;15401.0;34977.0;1000300000.0;101200.0;4.0;0.0
15.0;1.0;32.0;50463.0;15497.0;34966.0;1000400000.0;101600.0;3.0;2.0
18.0;0.0;32.0;50551.0;15594.0;34957.0;1000450000.0;101800.0;2.0;1.0
21.0;1.0;33.0;50638.0;15689.0;34949.0;1000450000.0;101800.0;4.0;0.0
24.0;0.0;33.0;50725.0;15787.0;34938.0;1000550000.0;102200.0;1.0;2.0
27.0;0.0;33.0;50814.0;15884.0;34930.0;1000550000.0;102200.0;2.0;0.0
30.0;1.0;34.0;50900.0;15979.0;34921.0;1000600000.0;102400.0;4.0;1.0
33.0;0.0;34.0;50989.0;16073.0;34916.0;1000600000.0;102400.0;5.0;0.0
36.0;0.0;34.0;51077.0;16171.0;34906.0;1000650000.0;102600.0;1.0;1.0
39.0;0.0;34.0;51165.0;16263.0;34902.0;1000700000.0;102800.0;7.0;1.0
42.0;1.0;35.0;51251.0;16356.0;34895.0;1000750000.0;103000.0;6.0;1.0
45.0;1.0;36.0;51336.0;16448.0;34888.0;1000850000.0;103400.0;7.0;2.0
48.0;0.0;36.0;51422.0;16542.0;34880.0;1001000000.0;104000.0;4.0;3.0
51.0;0.0;36.0;51509.0;16637.0;34872.0;1001100000.0;104400.0;4.0;2.0
54.0;0.0;36.0;51595.0;16732.0;34863.0;1001250000.0;105000.0;2.0;3.0
57.0;2.0;38.0;51680.0;16824.0;34856.0;1001250000.0;105000.0;7.0;0.0
60.0;0.0;38.0;51766.0;16911.0;34855.0;1001400000.0;105600.0;10.0;3.0
63.0;0.0;38.0;51855.0;17005.0;34850.0;1001400000.0;105600.0;5.0;0.0
66.0;0.0;38.0;51942.0;17097.0;34845.0;1001500000.0;106000.0;7.0;2.0
69.0;0.0;38.0;52030.0;17191.0;34839.0;1001550000.0;106200.0;4.0;1.0
72.0;0.0;38.0;52119.0;17287.0;34832.0;1001550000.0;106200.0;3.0;0.0
75.0;0.0;38.0;52208.0;17382.0;34826.0;1001550000.0;106200.0;4.0;0.0
78.0;0.0;38.0;52296.0;17473.0;34823.0;1001600000.0;106400.0;7.0;1.0
81.0;1.0;39.0;52382.0;17566.0;34816.0;1001650000.0;106600.0;5.0;1.0
84.0;1.0;40.0;52469.0;17664.0;34805.0;1001650000.0;106600.0;1.0;0.0
87.0;0.0;40.0;52556.0;17758.0;34798.0;1001750000.0;107000.0;5.0;2.0
90.0;0.0;40.0;52643.0;17851.0;34792.0;1001850000.0;107400.0;5.0;2.0
93.0;1.0;41.0;52727.0;17947.0;34780.0;1002000000.0;108000.0;3.0;3.0
96.0;1.0;42.0;52812.0;18043.0;34769.0;1002100000.0;108400.0;3.0;2.0
99.0;0.0;42.0;52898.0;18133.0;34765.0;1002250000.0;109000.0;8.0;3.0
102.0;0.0;42.0;52986.0;18226.0;34760.0;1002300000.0;109200.0;6.0;1.0
105.0;1.0;43.0;53073.0;18319.0;34754.0;1002300000.0;109200.0;6.0;0.0
108.0;0.0;43.0;53161.0;18411.0;34750.0;1002350000.0;109400.0;6.0;1.0
111.0;0.0;43.0;53249.0;18508.0;34741.0;1002400000.0;109600.0;1.0;1.0
114.0;0.0;43.0;53336.0;18603.0;34733.0;1002500000.0;110000.0;4.0;2.0
117.0;0.0;43.0;53424.0;18694.0;34730.0;1002550000.0;110200.0;8.0;1.0
120.0;0.0;43.0;53511.0;18785.0;34726.0;1002650000.0;110600.0;7.0;2.0
123.0;0.0;43.0;53598.0;18880.0;34718.0;1002750000.0;111000.0;4.0;2.0
126.0;0.0;43.0;53686.0;18972.0;34714.0;1002800000.0;111200.0;6.0;1.0
129.0;0.0;43.0;53775.0;19070.0;34705.0;1002800000.0;111200.0;1.0;0.0
132.0;0.0;43.0;53864.0;19164.0;34700.0;1002800000.0;111200.0;5.0;0.0
135.0;0.0;43.0;53953.0;19259.0;34694.0;1002800000.0;111200.0;4.0;0.0
138.0;0.0;43.0;54041.0;19355.0;34686.0;1002850000.0;111400.0;2.0;1.0
141.0;1.0;44.0;54128.0;19448.0;34680.0;1002850000.0;111400.0;6.0;0.0
144.0;0.0;44.0;54215.0;19543.0;34672.0;1002950000.0;111800.0;4.0;2.0
147.0;0.0;44.0;54303.0;19635.0;34668.0;1003000000.0;112000.0;7.0;1.0
150.0;0.0;44.0;54390.0;19730.0;34660.0;1003100000.0;112400.0;3.0;2.0
153.0;0.0;44.0;54478.0;19822.0;34656.0;1003150000.0;112600.0;6.0;1.0
156.0;0.0;44.0;54565.0;19914.0;34651.0;1003250000.0;113000.0;6.0;2.0
159.0;0.0;44.0;54653.0;20005.0;34648.0;1003300000.0;113200.0;7.0;1.0
162.0;1.0;45.0;54739.0;20097.0;34642.0;1003350000.0;113400.0;6.0;1.0
165.0;0.0;45.0;54827.0;20193.0;34634.0;1003400000.0;113600.0;3.0;1.0
168.0;0.0;45.0;54916.0;20285.0;34631.0;1003400000.0;113600.0;7.0;0.0
171.0;0.0;45.0;55002.0;20382.0;34620.0;1003550000.0;114200.0;0.0;3.0
174.0;1.0;46.0;55087.0;20477.0;34610.0;1003650000.0;114600.0;3.0;2.0
177.0;0.0;46.0;55174.0;20570.0;34604.0;1003750000.0;115000.0;6.0;2.0
180.0;0.0;46.0;55263.0;20665.0;34598.0;1003750000.0;115000.0;4.0;0.0
183.0;1.0;47.0;55350.0;20759.0;34591.0;1003750000.0;115000.0;5.0;0.0
186.0;0.0;47.0;55438.0;20849.0;34589.0;1003800000.0;115200.0;9.0;1.0
189.0;1.0;48.0;55523.0;20938.0;34585.0;1003900000.0;115600.0;8.0;2.0
192.0;1.0;49.0;55606.0;21031.0;34575.0;1004100000.0;116400.0;4.0;4.0
195.0;0.0;49.0;55693.0;21126.0;34567.0;1004200000.0;116800.0;3.0;2.0
198.0;0.0;49.0;55782.0;21223.0;34559.0;1004200000.0;116800.0;2.0;0.0
201.0;0.0;49.0;55871.0;21320.0;34551.0;1004200000.0;116800.0;2.0;0.0
204.0;0.0;49.0;55955.0;21414.0;34541.0;1004450000.0;117800.0;4.0;5.0
207.0;0.0;49.0;56040.0;21507.0;34533.0;1004650000.0;118600.0;5.0;4.0
210.0;1.0;50.0;56126.0;21598.0;34528.0;1004700000.0;118800.0;7.0;1.0
213.0;1.0;51.0;56210.0;21690.0;34520.0;1004850000.0;119400.0;5.0;3.0
216.0;0.0;51.0;56297.0;21783.0;34514.0;1004950000.0;119800.0;5.0;2.0
219.0;1.0;52.0;56381.0;21866.0;34515.0;1005100000.0;120400.0;13.0;3.0
222.0;0.0;52.0;56466.0;21950.0;34516.0;1005300000.0;121200.0;12.0;4.0
225.0;1.0;53.0;56552.0;22045.0;34507.0;1005350000.0;121400.0;4.0;1.0
228.0;0.0;53.0;56641.0;22138.0;34503.0;1005350000.0;121400.0;6.0;0.0
231.0;0.0;53.0;56727.0;22235.0;34492.0;1005500000.0;122000.0;2.0;3.0
