Hubald model simulation data
""
starting_time = Thu Nov 30 15:04:58 2023
finishing_time = Fri Dec  1 14:02:33 2023
elapsed_time = 82655.16124176979 s
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [6570000, 8370000]
small_fragments = 1000000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;23.0;50222.0;15225.0;34997.0;1000100000.0;100400.0;3.0;2.0
3.0;2.0;25.0;50485.0;15521.0;34964.0;1000200000.0;100800.0;3.0;2.0
6.0;0.0;25.0;50754.0;15816.0;34938.0;1000200000.0;100800.0;4.0;0.0
9.0;0.0;25.0;51022.0;16108.0;34914.0;1000250000.0;101000.0;7.0;1.0
12.0;1.0;26.0;51284.0;16402.0;34882.0;1000500000.0;102000.0;2.0;5.0
15.0;3.0;29.0;51546.0;16696.0;34850.0;1000550000.0;102200.0;5.0;1.0
18.0;0.0;29.0;51814.0;16989.0;34825.0;1000600000.0;102400.0;5.0;1.0
21.0;2.0;31.0;52079.0;17286.0;34793.0;1000600000.0;102400.0;2.0;0.0
24.0;1.0;32.0;52345.0;17580.0;34765.0;1000650000.0;102600.0;4.0;1.0
27.0;1.0;33.0;52612.0;17873.0;34739.0;1000650000.0;102600.0;6.0;0.0
30.0;0.0;33.0;52880.0;18171.0;34709.0;1000700000.0;102800.0;1.0;1.0
33.0;1.0;34.0;53145.0;18465.0;34680.0;1000800000.0;103200.0;4.0;2.0
36.0;0.0;34.0;53411.0;18755.0;34656.0;1000950000.0;103800.0;7.0;3.0
39.0;1.0;35.0;53677.0;19050.0;34627.0;1001000000.0;104000.0;4.0;1.0
42.0;1.0;36.0;53941.0;19344.0;34597.0;1001150000.0;104600.0;3.0;3.0
45.0;0.0;36.0;54209.0;19638.0;34571.0;1001200000.0;104800.0;5.0;1.0
48.0;0.0;36.0;54478.0;19932.0;34546.0;1001200000.0;104800.0;5.0;0.0
51.0;0.0;36.0;54744.0;20221.0;34523.0;1001350000.0;105400.0;10.0;3.0
54.0;1.0;37.0;55010.0;20515.0;34495.0;1001400000.0;105600.0;4.0;1.0
57.0;0.0;37.0;55277.0;20809.0;34468.0;1001500000.0;106000.0;4.0;2.0
60.0;0.0;37.0;55540.0;21101.0;34439.0;1001800000.0;107200.0;3.0;6.0
63.0;1.0;38.0;55806.0;21395.0;34411.0;1001850000.0;107400.0;5.0;1.0
66.0;0.0;38.0;56075.0;21689.0;34386.0;1001850000.0;107400.0;5.0;0.0
69.0;0.0;38.0;56344.0;21980.0;34364.0;1001850000.0;107400.0;8.0;0.0
72.0;0.0;38.0;56609.0;22275.0;34334.0;1002050000.0;108200.0;4.0;4.0
75.0;2.0;40.0;56872.0;22573.0;34299.0;1002150000.0;108600.0;1.0;2.0
78.0;1.0;41.0;57137.0;22869.0;34268.0;1002250000.0;109000.0;3.0;2.0
81.0;0.0;41.0;57404.0;23162.0;34242.0;1002350000.0;109400.0;6.0;2.0
84.0;0.0;41.0;57673.0;23459.0;34214.0;1002350000.0;109400.0;2.0;0.0
87.0;0.0;41.0;57941.0;23751.0;34190.0;1002400000.0;109600.0;7.0;1.0
90.0;1.0;42.0;58206.0;24043.0;34163.0;1002500000.0;110000.0;7.0;2.0
93.0;0.0;42.0;58474.0;24332.0;34142.0;1002550000.0;110200.0;9.0;1.0
96.0;0.0;42.0;58741.0;24620.0;34121.0;1002650000.0;110600.0;10.0;2.0
99.0;0.0;42.0;59010.0;24914.0;34096.0;1002650000.0;110600.0;5.0;0.0
102.0;0.0;42.0;59279.0;25205.0;34074.0;1002650000.0;110600.0;8.0;0.0
