Hubald model simulation data
""
starting_time = Tue Apr  2 10:25:52 2024
finishing_time = Tue Apr  2 17:00:12 2024
elapsed_time = 23659.036067008972 s
matrix_mode = import
launch_mode = njit
launch_function = constant
launch_stop = 1
exp_rate = 0.003
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;0.0;50400.0;15327.0;35073.0;100450000.0;110000.0;1.0;8.0;162.18584299087524
3.0;2.0;21.0;50841.0;15712.0;35129.0;100531000.0;111800.0;2.0;5.0;155.88574528694153
6.0;1.0;23.0;51282.0;16099.0;35183.0;100612000.0;113600.0;2.0;7.0;156.3940658569336
9.0;2.0;24.0;51721.0;16508.0;35213.0;100711000.0;115800.0;0.0;7.0;157.99083018302917
12.0;0.0;26.0;52161.0;16904.0;35257.0;100801000.0;117800.0;0.0;10.0;161.39314913749695
15.0;1.0;26.0;52601.0;17299.0;35302.0;100891000.0;119800.0;1.0;8.0;164.01088213920593
18.0;1.0;27.0;53042.0;17709.0;35333.0;100972000.0;121600.0;2.0;7.0;162.7558741569519
21.0;1.0;28.0;53479.0;18111.0;35368.0;101089000.0;124200.0;2.0;11.0;161.96784687042236
24.0;0.0;29.0;53921.0;18514.0;35407.0;101161000.0;125800.0;2.0;8.0;163.79414987564087
27.0;1.0;29.0;54364.0;18907.0;35457.0;101224000.0;127200.0;3.0;5.0;166.83684086799622
30.0;1.0;30.0;54804.0;19304.0;35500.0;101314000.0;129200.0;2.0;8.0;168.19032502174377
33.0;1.0;31.0;55244.0;19703.0;35541.0;101404000.0;131200.0;4.0;8.0;169.17319989204407
36.0;0.0;32.0;55681.0;20104.0;35577.0;101521000.0;133800.0;0.0;13.0;170.86395621299744
39.0;0.0;32.0;56122.0;20505.0;35617.0;101602000.0;135600.0;1.0;9.0;171.8678162097931
42.0;0.0;32.0;56567.0;20875.0;35692.0;101647000.0;136600.0;3.0;5.0;172.5475311279297
45.0;2.0;32.0;56998.0;21260.0;35738.0;101818000.0;140400.0;4.0;15.0;173.70594310760498
48.0;0.0;34.0;57441.0;21660.0;35781.0;101881000.0;141800.0;1.0;7.0;174.43457102775574
51.0;0.0;34.0;57882.0;22046.0;35836.0;101962000.0;143600.0;2.0;9.0;176.18321585655212
54.0;1.0;34.0;58322.0;22453.0;35869.0;102052000.0;145600.0;5.0;8.0;176.59181213378906
57.0;0.0;35.0;58760.0;22856.0;35904.0;102160000.0;148000.0;1.0;12.0;178.33237409591675
60.0;1.0;35.0;59194.0;23246.0;35948.0;102304000.0;151200.0;1.0;14.0;180.12185430526733
63.0;1.0;36.0;59635.0;23637.0;35998.0;102385000.0;153000.0;3.0;7.0;183.87842106819153
66.0;0.0;37.0;60077.0;24035.0;36042.0;102457000.0;154600.0;2.0;8.0;182.4488980770111
69.0;0.0;37.0;60513.0;24441.0;36072.0;102583000.0;157400.0;4.0;14.0;184.01310110092163
72.0;0.0;37.0;60957.0;24841.0;36116.0;102637000.0;158600.0;1.0;6.0;184.78339409828186
75.0;1.0;37.0;61393.0;25234.0;36159.0;102763000.0;161400.0;1.0;12.0;186.10455012321472
78.0;1.0;38.0;61834.0;25615.0;36219.0;102844000.0;163200.0;6.0;7.0;188.25705289840698
81.0;2.0;39.0;62272.0;26014.0;36258.0;102952000.0;165600.0;3.0;8.0;188.76517295837402
84.0;0.0;41.0;62715.0;26420.0;36295.0;103015000.0;167000.0;4.0;7.0;191.45817303657532
87.0;0.0;41.0;63154.0;26814.0;36340.0;103114000.0;169200.0;6.0;11.0;191.20457696914673
90.0;0.0;41.0;63597.0;27201.0;36396.0;103177000.0;170600.0;2.0;7.0;193.62715315818787
93.0;0.0;41.0;64034.0;27602.0;36432.0;103294000.0;173200.0;0.0;13.0;193.72767996788025
96.0;0.0;41.0;64474.0;27988.0;36486.0;103384000.0;175200.0;4.0;10.0;195.9094409942627
99.0;1.0;41.0;64904.0;28363.0;36541.0;103564000.0;179200.0;2.0;18.0;196.34905791282654
102.0;0.0;42.0;65338.0;28748.0;36590.0;103708000.0;182400.0;8.0;16.0;196.92067527770996
105.0;0.0;42.0;65770.0;29132.0;36638.0;103870000.0;186000.0;4.0;18.0;197.2122187614441
108.0;0.0;42.0;66198.0;29512.0;36686.0;104068000.0;190400.0;4.0;22.0;200.9941623210907
111.0;0.0;42.0;66633.0;29914.0;36719.0;104203000.0;193400.0;3.0;15.0;199.9908640384674
114.0;0.0;42.0;67067.0;30309.0;36758.0;104347000.0;196600.0;2.0;16.0;202.62640285491943
117.0;0.0;42.0;67506.0;30700.0;36806.0;104446000.0;198800.0;5.0;11.0;202.3541910648346
120.0;0.0;42.0;67931.0;31090.0;36841.0;104671000.0;203800.0;6.0;25.0;204.69239020347595
123.0;0.0;42.0;68370.0;31468.0;36902.0;104770000.0;206000.0;3.0;11.0;205.7574818134308
126.0;2.0;42.0;68802.0;31870.0;36932.0;104932000.0;209600.0;5.0;14.0;206.38944602012634
129.0;0.0;44.0;69241.0;32261.0;36980.0;105031000.0;211800.0;3.0;11.0;208.1198320388794
132.0;0.0;44.0;69663.0;32647.0;37016.0;105283000.0;217400.0;9.0;28.0;208.46289706230164
135.0;0.0;44.0;70091.0;33045.0;37046.0;105481000.0;221800.0;5.0;22.0;210.61655688285828
138.0;0.0;44.0;70525.0;33424.0;37101.0;105625000.0;225000.0;5.0;16.0;210.61085319519043
141.0;0.0;44.0;70958.0;33821.0;37137.0;105778000.0;228400.0;7.0;17.0;213.0390980243683
144.0;0.0;44.0;71394.0;34224.0;37170.0;105904000.0;231200.0;4.0;14.0;214.3348081111908
147.0;0.0;44.0;71817.0;34595.0;37222.0;106147000.0;236600.0;4.0;27.0;213.58775806427002
150.0;0.0;44.0;72242.0;34994.0;37248.0;106372000.0;241600.0;6.0;25.0;215.90170812606812
153.0;0.0;44.0;72674.0;35391.0;37283.0;106534000.0;245200.0;7.0;18.0;217.8541328907013
156.0;1.0;44.0;73103.0;35785.0;37318.0;106723000.0;249400.0;5.0;19.0;218.1871359348297
159.0;0.0;45.0;73531.0;36173.0;37358.0;106921000.0;253800.0;6.0;22.0;218.56021094322205
162.0;0.0;45.0;73951.0;36556.0;37395.0;107191000.0;259800.0;5.0;30.0;219.48581981658936
165.0;0.0;45.0;74378.0;36934.0;37444.0;107398000.0;264400.0;5.0;23.0;221.44663500785828
168.0;1.0;45.0;74795.0;37310.0;37485.0;107695000.0;271000.0;6.0;31.0;224.66899299621582
171.0;0.0;46.0;75219.0;37693.0;37526.0;107929000.0;276200.0;3.0;26.0;225.400710105896
174.0;0.0;46.0;75635.0;38079.0;37556.0;108235000.0;283000.0;4.0;34.0;225.60684609413147
177.0;0.0;46.0;76058.0;38458.0;37600.0;108478000.0;288400.0;4.0;27.0;226.65313005447388
180.0;0.0;46.0;76490.0;38819.0;37671.0;108640000.0;292000.0;17.0;18.0;228.5138292312622
183.0;0.0;46.0;76918.0;39200.0;37718.0;108838000.0;296400.0;7.0;22.0;228.02283692359924
186.0;0.0;46.0;77333.0;39572.0;37761.0;109153000.0;303400.0;4.0;35.0;230.06540989875793
189.0;1.0;46.0;77760.0;39953.0;37807.0;109360000.0;308000.0;5.0;21.0;231.55144333839417
192.0;1.0;47.0;78181.0;40332.0;37849.0;109621000.0;313800.0;4.0;27.0;232.29709601402283
195.0;1.0;48.0;78592.0;40719.0;37873.0;109972000.0;321600.0;2.0;37.0;234.0539448261261
198.0;1.0;49.0;78997.0;41085.0;37912.0;110377000.0;330600.0;5.0;43.0;235.6697371006012
201.0;0.0;50.0;79406.0;41448.0;37958.0;110746000.0;338800.0;7.0;41.0;236.1295521259308
204.0;0.0;50.0;79817.0;41818.0;37999.0;111097000.0;346600.0;5.0;39.0;236.44183492660522
207.0;0.0;50.0;80232.0;42197.0;38035.0;111412000.0;353600.0;3.0;35.0;239.5071518421173
210.0;0.0;50.0;80652.0;42565.0;38087.0;111682000.0;359600.0;5.0;30.0;239.30173110961914
213.0;0.0;50.0;81066.0;42946.0;38120.0;112006000.0;366800.0;4.0;36.0;240.3329131603241
216.0;0.0;50.0;81472.0;43322.0;38150.0;112402000.0;375600.0;6.0;44.0;241.19757223129272
219.0;0.0;50.0;81874.0;43694.0;38180.0;112834000.0;385200.0;5.0;48.0;242.2849681377411
222.0;0.0;50.0;82284.0;44057.0;38227.0;113194000.0;393200.0;7.0;40.0;243.1150872707367
225.0;0.0;50.0;82705.0;44450.0;38255.0;113455000.0;399000.0;4.0;29.0;247.07540082931519
228.0;1.0;50.0;83035.0;44766.0;38269.0;113770000.0;406000.0;3.0;33.0;208.31754612922668
231.0;0.0;51.0;83264.0;44992.0;38272.0;114157000.0;414600.0;2.0;43.0;168.97890090942383
234.0;0.0;51.0;83428.0;45159.0;38269.0;114418000.0;420400.0;7.0;29.0;133.89704084396362
237.0;0.0;51.0;83485.0;45243.0;38242.0;114805000.0;429000.0;6.0;43.0;91.79446506500244
240.0;0.0;51.0;83421.0;45228.0;38193.0;115318000.0;440400.0;11.0;57.0;44.418572187423706
243.0;1.0;51.0;83322.0;45198.0;38124.0;115759000.0;450200.0;11.0;47.0;24.98301100730896
246.0;0.0;52.0;83218.0;45163.0;38055.0;116245000.0;461000.0;6.0;54.0;24.47690486907959
249.0;0.0;52.0;83127.0;45138.0;37989.0;116614000.0;469200.0;6.0;41.0;24.467212915420532
252.0;0.0;52.0;83027.0;45109.0;37918.0;117064000.0;479200.0;3.0;50.0;24.349857091903687
255.0;0.0;52.0;82935.0;45080.0;37855.0;117442000.0;487600.0;5.0;42.0;24.190018892288208
258.0;0.0;52.0;82828.0;45036.0;37792.0;117955000.0;499000.0;10.0;57.0;24.293680906295776
261.0;0.0;52.0;82724.0;45004.0;37720.0;118441000.0;509800.0;7.0;54.0;24.201708793640137
264.0;0.0;52.0;82623.0;44976.0;37647.0;118900000.0;520000.0;6.0;51.0;24.291824102401733
267.0;0.0;52.0;82529.0;44945.0;37584.0;119296000.0;528800.0;9.0;44.0;24.30799102783203
270.0;0.0;52.0;82427.0;44912.0;37515.0;119764000.0;539200.0;9.0;52.0;24.157465934753418
273.0;0.0;52.0;82310.0;44874.0;37436.0;120367000.0;552600.0;5.0;67.0;24.22735619544983
276.0;0.0;52.0;82196.0;44834.0;37362.0;120943000.0;565400.0;5.0;64.0;24.20592498779297
279.0;0.0;52.0;82090.0;44802.0;37288.0;121447000.0;576600.0;3.0;56.0;24.307180881500244
282.0;0.0;52.0;81983.0;44761.0;37222.0;121960000.0;588000.0;10.0;57.0;24.07465100288391
285.0;0.0;52.0;81868.0;44726.0;37142.0;122545000.0;601000.0;3.0;65.0;24.07949471473694
288.0;0.0;52.0;81761.0;44688.0;37073.0;123058000.0;612400.0;9.0;57.0;24.218464851379395
291.0;1.0;52.0;81639.0;44643.0;36996.0;123706000.0;626800.0;7.0;70.0;24.155361890792847
294.0;0.0;53.0;81527.0;44605.0;36922.0;124264000.0;639200.0;5.0;62.0;24.219361782073975
297.0;0.0;53.0;81404.0;44562.0;36842.0;124921000.0;653800.0;5.0;73.0;24.16646099090576
300.0;0.0;53.0;81282.0;44517.0;36765.0;125569000.0;668200.0;9.0;72.0;24.12953805923462
303.0;0.0;53.0;81175.0;44479.0;36696.0;126082000.0;679600.0;7.0;57.0;24.097883939743042
306.0;0.0;53.0;81051.0;44426.0;36625.0;126748000.0;694400.0;12.0;74.0;24.153422117233276
309.0;0.0;53.0;80922.0;44374.0;36548.0;127459000.0;710200.0;7.0;79.0;24.150362968444824
312.0;0.0;53.0;80791.0;44324.0;36467.0;128188000.0;726400.0;6.0;81.0;24.260133743286133
315.0;0.0;53.0;80656.0;44263.0;36393.0;128953000.0;743400.0;12.0;85.0;24.16684579849243
318.0;1.0;53.0;80534.0;44209.0;36325.0;129601000.0;757800.0;13.0;70.0;24.29758310317993
321.0;0.0;54.0;80420.0;44169.0;36251.0;130177000.0;770600.0;7.0;64.0;24.125993967056274
324.0;0.0;54.0;80294.0;44122.0;36172.0;130861000.0;785800.0;7.0;76.0;24.09604787826538
327.0;0.0;54.0;80173.0;44080.0;36093.0;131500000.0;800000.0;5.0;71.0;24.242789030075073
330.0;0.0;54.0;80033.0;44020.0;36013.0;132310000.0;818000.0;13.0;90.0;24.173754930496216
333.0;0.0;54.0;79895.0;43970.0;35925.0;133102000.0;835600.0;5.0;88.0;24.371412992477417
336.0;0.0;54.0;79764.0;43920.0;35844.0;133831000.0;851800.0;8.0;81.0;24.22866988182068
339.0;0.0;54.0;79634.0;43872.0;35762.0;134551000.0;867800.0;9.0;80.0;24.14263606071472
342.0;0.0;54.0;79487.0;43816.0;35671.0;135424000.0;887200.0;2.0;97.0;24.255806922912598
345.0;0.0;54.0;79348.0;43769.0;35579.0;136225000.0;905000.0;2.0;89.0;24.117475986480713
348.0;0.0;54.0;79211.0;43713.0;35498.0;137008000.0;922400.0;9.0;87.0;24.228679895401
351.0;0.0;54.0;79056.0;43645.0;35411.0;137953000.0;943400.0;10.0;105.0;24.213001012802124
354.0;0.0;54.0;78890.0;43571.0;35319.0;138997000.0;966600.0;9.0;116.0;24.232009887695312
357.0;0.0;54.0;78736.0;43509.0;35227.0;139933000.0;987400.0;8.0;104.0;24.377368927001953
360.0;0.0;54.0;78584.0;43444.0;35140.0;140851000.0;1007800.0;11.0;102.0;24.159444093704224
363.0;0.0;54.0;78426.0;43380.0;35046.0;141823000.0;1029400.0;12.0;108.0;24.272450923919678
366.0;0.0;54.0;78273.0;43322.0;34951.0;142750000.0;1050000.0;8.0;103.0;24.18755602836609
