Hubald model simulation data
""
starting_time = Wed Apr  3 13:59:32 2024
finishing_time = Wed Apr  3 17:29:32 2024
elapsed_time = 12600.268644094467 s
matrix_mode = import
launch_mode = njit
launch_function = constant
launch_stop = 1
exp_rate = 0.003
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;24.0;0.0;50392.0;15333.0;35059.0;100522000.0;111600.0;2.0;10.0;163.36930394172668
3.0;0.0;24.0;50834.0;15712.0;35122.0;100594000.0;113200.0;4.0;8.0;155.56660199165344
6.0;1.0;24.0;51271.0;16100.0;35171.0;100711000.0;115800.0;2.0;11.0;157.70326280593872
9.0;2.0;25.0;51707.0;16493.0;35214.0;100837000.0;118600.0;2.0;10.0;159.66307616233826
12.0;2.0;27.0;52145.0;16902.0;35243.0;100945000.0;121000.0;4.0;8.0;159.63605403900146
15.0;1.0;29.0;52584.0;17290.0;35294.0;101044000.0;123200.0;3.0;9.0;161.86288118362427
18.0;2.0;30.0;53022.0;17685.0;35337.0;101152000.0;125600.0;1.0;8.0;163.63173985481262
21.0;1.0;32.0;53461.0;18081.0;35380.0;101251000.0;127800.0;2.0;9.0;164.14382410049438
24.0;0.0;33.0;53901.0;18489.0;35412.0;101341000.0;129800.0;1.0;10.0;163.90357089042664
27.0;0.0;33.0;54346.0;18889.0;35457.0;101386000.0;130800.0;1.0;5.0;167.64711999893188
30.0;1.0;33.0;54786.0;19281.0;35505.0;101476000.0;132800.0;3.0;8.0;169.27574110031128
33.0;0.0;34.0;55226.0;19684.0;35542.0;101566000.0;134800.0;0.0;10.0;169.24096202850342
36.0;1.0;34.0;55665.0;20089.0;35576.0;101665000.0;137000.0;1.0;9.0;170.61748600006104
39.0;1.0;35.0;56102.0;20486.0;35616.0;101782000.0;139600.0;1.0;11.0;172.01661610603333
42.0;0.0;36.0;56542.0;20877.0;35665.0;101872000.0;141600.0;2.0;10.0;171.90667915344238
45.0;1.0;36.0;56977.0;21257.0;35720.0;102007000.0;144600.0;0.0;13.0;173.3690469264984
48.0;0.0;37.0;57423.0;21650.0;35773.0;102043000.0;145400.0;4.0;4.0;175.13725900650024
51.0;0.0;37.0;57865.0;22046.0;35819.0;102115000.0;147000.0;3.0;8.0;175.55763292312622
54.0;0.0;37.0;58301.0;22431.0;35870.0;102241000.0;149800.0;1.0;14.0;177.46791291236877
57.0;0.0;37.0;58738.0;22824.0;35914.0;102358000.0;152400.0;3.0;13.0;179.30548286437988
60.0;1.0;37.0;59173.0;23217.0;35956.0;102493000.0;155400.0;4.0;13.0;178.96507596969604
63.0;0.0;38.0;59613.0;23583.0;36030.0;102583000.0;157400.0;2.0;10.0;180.4781630039215
66.0;0.0;38.0;60052.0;23956.0;36096.0;102682000.0;159600.0;7.0;11.0;181.46113896369934
69.0;1.0;38.0;60422.0;24300.0;36122.0;102817000.0;162600.0;3.0;13.0;161.10869669914246
72.0;0.0;39.0;60731.0;24594.0;36137.0;102934000.0;165200.0;5.0;13.0;142.57013392448425
75.0;1.0;39.0;60975.0;24842.0;36133.0;103060000.0;168000.0;4.0;12.0;123.64579010009766
78.0;1.0;40.0;61149.0;25019.0;36130.0;103213000.0;171400.0;1.0;15.0;101.61682510375977
81.0;0.0;41.0;61270.0;25163.0;36107.0;103303000.0;173400.0;2.0;10.0;82.26816987991333
84.0;0.0;41.0;61329.0;25252.0;36077.0;103402000.0;175600.0;1.0;11.0;62.16892910003662
87.0;1.0;41.0;61313.0;25287.0;36026.0;103564000.0;179200.0;3.0;16.0;39.55929923057556
90.0;2.0;42.0;61247.0;25280.0;35967.0;103708000.0;182400.0;3.0;12.0;22.460556983947754
93.0;0.0;44.0;61186.0;25271.0;35915.0;103807000.0;184600.0;5.0;11.0;21.703871965408325
96.0;0.0;44.0;61124.0;25264.0;35860.0;103915000.0;187000.0;1.0;12.0;21.81798791885376
99.0;0.0;44.0;61060.0;25251.0;35809.0;104041000.0;189800.0;4.0;14.0;21.682667016983032
102.0;0.0;44.0;60997.0;25236.0;35761.0;104158000.0;192400.0;7.0;13.0;21.695902109146118
105.0;0.0;44.0;60934.0;25230.0;35704.0;104275000.0;195000.0;2.0;13.0;21.516594886779785
108.0;0.0;44.0;60873.0;25222.0;35651.0;104374000.0;197200.0;3.0;11.0;21.508209228515625
111.0;0.0;44.0;60804.0;25208.0;35596.0;104545000.0;201000.0;4.0;19.0;21.49060606956482
114.0;0.0;44.0;60738.0;25200.0;35538.0;104689000.0;204200.0;5.0;16.0;21.462905645370483
117.0;0.0;44.0;60675.0;25189.0;35486.0;104806000.0;206800.0;5.0;13.0;21.462729930877686
120.0;1.0;44.0;60611.0;25181.0;35430.0;104932000.0;209600.0;0.0;12.0;21.618605136871338
123.0;1.0;45.0;60536.0;25163.0;35373.0;105157000.0;214600.0;6.0;23.0;21.448822021484375
