Hubald model simulation data
""
starting_time = Thu Apr  4 14:22:23 2024
finishing_time = Thu Apr  4 17:40:10 2024
elapsed_time = 11866.345007181168 s
matrix_mode = import
launch_mode = njit
launch_function = constant
launch_stop = 1
exp_rate = 0.003
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 10000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.5
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;10.0;0.0;10429.0;4280.0;6149.0;100189000.0;104200.0;1.0;1.0;49.52398705482483
3.0;3.0;10.0;10873.0;4537.0;6336.0;100243000.0;105400.0;1.0;0.0;43.61113715171814
6.0;3.0;13.0;11314.0;4775.0;6539.0;100324000.0;107200.0;1.0;3.0;44.174702167510986
9.0;1.0;16.0;11758.0;5018.0;6740.0;100378000.0;108400.0;0.0;4.0;45.066120862960815
12.0;0.0;17.0;12201.0;5254.0;6947.0;100441000.0;109800.0;3.0;7.0;46.92916560173035
15.0;1.0;17.0;12648.0;5498.0;7150.0;100468000.0;110400.0;1.0;1.0;48.340579986572266
18.0;0.0;18.0;13098.0;5743.0;7355.0;100468000.0;110400.0;1.0;0.0;50.049813985824585
21.0;1.0;18.0;13546.0;5978.0;7568.0;100486000.0;110800.0;2.0;0.0;51.45076298713684
24.0;0.0;19.0;13994.0;6232.0;7762.0;100504000.0;111200.0;2.0;2.0;52.32937026023865
27.0;0.0;19.0;14442.0;6480.0;7962.0;100522000.0;111600.0;1.0;2.0;54.03053879737854
30.0;0.0;19.0;14891.0;6722.0;8169.0;100531000.0;111800.0;0.0;1.0;57.49974489212036
33.0;0.0;19.0;15340.0;6949.0;8391.0;100540000.0;112000.0;1.0;1.0;58.44846510887146
36.0;0.0;19.0;15790.0;7205.0;8585.0;100540000.0;112000.0;1.0;0.0;58.67339611053467
39.0;0.0;19.0;16236.0;7444.0;8792.0;100576000.0;112800.0;1.0;4.0;59.497233152389526
42.0;0.0;19.0;16685.0;7711.0;8974.0;100585000.0;113000.0;2.0;1.0;60.752098083496094
45.0;0.0;19.0;17131.0;7973.0;9158.0;100621000.0;113800.0;2.0;4.0;61.30406880378723
48.0;1.0;19.0;17572.0;8225.0;9347.0;100702000.0;115600.0;0.0;7.0;64.22901916503906
51.0;0.0;20.0;18020.0;8462.0;9558.0;100720000.0;116000.0;1.0;2.0;65.27844405174255
54.0;0.0;20.0;18470.0;8700.0;9770.0;100720000.0;116000.0;0.0;0.0;65.60438704490662
57.0;0.0;20.0;18918.0;8956.0;9962.0;100738000.0;116400.0;2.0;2.0;65.58142113685608
60.0;0.0;20.0;19366.0;9209.0;10157.0;100756000.0;116800.0;0.0;2.0;68.03056192398071
63.0;1.0;20.0;19812.0;9466.0;10346.0;100792000.0;117600.0;1.0;2.0;67.97390079498291
66.0;1.0;21.0;20258.0;9711.0;10547.0;100828000.0;118400.0;2.0;2.0;69.38043689727783
69.0;0.0;22.0;20704.0;9961.0;10743.0;100864000.0;119200.0;1.0;4.0;71.95395112037659
72.0;0.0;22.0;21152.0;10210.0;10942.0;100882000.0;119600.0;1.0;2.0;75.10408306121826
75.0;0.0;22.0;21597.0;10477.0;11120.0;100927000.0;120600.0;1.0;5.0;74.81898593902588
78.0;0.0;22.0;22043.0;10722.0;11321.0;100963000.0;121400.0;0.0;4.0;76.2165949344635
81.0;3.0;22.0;22481.0;10938.0;11543.0;101071000.0;123800.0;0.0;6.0;76.61673593521118
84.0;0.0;25.0;22929.0;11189.0;11740.0;101089000.0;124200.0;0.0;2.0;76.89271974563599
87.0;0.0;25.0;23375.0;11415.0;11960.0;101125000.0;125000.0;4.0;4.0;78.96632409095764
90.0;0.0;25.0;23822.0;11670.0;12152.0;101152000.0;125600.0;0.0;3.0;80.4190320968628
93.0;1.0;25.0;24264.0;11908.0;12356.0;101224000.0;127200.0;3.0;6.0;81.19681000709534
96.0;0.0;26.0;24711.0;12141.0;12570.0;101251000.0;127800.0;1.0;3.0;83.33678483963013
99.0;0.0;26.0;25157.0;12383.0;12774.0;101287000.0;128600.0;1.0;4.0;85.38658499717712
102.0;0.0;26.0;25606.0;12639.0;12967.0;101296000.0;128800.0;1.0;1.0;86.32154893875122
105.0;0.0;26.0;26056.0;12888.0;13168.0;101296000.0;128800.0;2.0;0.0;86.77103996276855
108.0;0.0;26.0;26500.0;13139.0;13361.0;101350000.0;130000.0;0.0;6.0;88.76226592063904
