Hubald model simulation data
""
starting_time = Tue Mar  5 14:01:15 2024
finishing_time = Tue Mar  5 20:18:00 2024
elapsed_time = 22604.633703947067 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;0.0;50212.0;15162.0;35050.0;100477000.0;110600.0;3.0;11.0;95.56932473182678
3.0;3.0;21.0;50466.0;15394.0;35072.0;100576000.0;112800.0;2.0;5.0;96.69349193572998
6.0;0.0;24.0;50725.0;15624.0;35101.0;100630000.0;114000.0;1.0;6.0;96.360276222229
9.0;2.0;24.0;50978.0;15861.0;35117.0;100738000.0;116400.0;2.0;8.0;97.29153203964233
12.0;2.0;26.0;51231.0;16101.0;35130.0;100846000.0;118800.0;3.0;8.0;96.99455690383911
15.0;1.0;28.0;51486.0;16334.0;35152.0;100936000.0;120800.0;1.0;8.0;99.0325379371643
18.0;1.0;29.0;51740.0;16569.0;35171.0;101035000.0;123000.0;3.0;9.0;99.3331880569458
21.0;2.0;30.0;51993.0;16797.0;35196.0;101143000.0;125400.0;3.0;8.0;99.52022218704224
24.0;1.0;32.0;52252.0;17032.0;35220.0;101197000.0;126600.0;0.0;4.0;100.0005099773407
27.0;1.0;33.0;52504.0;17260.0;35244.0;101314000.0;129200.0;0.0;11.0;100.23631596565247
30.0;1.0;34.0;52758.0;17487.0;35271.0;101413000.0;131400.0;5.0;9.0;100.98099303245544
33.0;0.0;35.0;53015.0;17716.0;35299.0;101485000.0;133000.0;3.0;8.0;101.90275192260742
36.0;0.0;35.0;53272.0;17947.0;35325.0;101557000.0;134600.0;2.0;8.0;102.67664289474487
39.0;0.0;35.0;53526.0;18173.0;35353.0;101656000.0;136800.0;4.0;11.0;102.26895594596863
42.0;1.0;35.0;53784.0;18395.0;35389.0;101719000.0;138200.0;2.0;5.0;103.3653461933136
45.0;0.0;36.0;54044.0;18631.0;35413.0;101764000.0;139200.0;2.0;5.0;103.96398282051086
48.0;0.0;36.0;54301.0;18854.0;35447.0;101836000.0;140800.0;2.0;8.0;104.01370811462402
