Hubald model simulation data
""
starting_time = Tue Mar  5 20:18:04 2024
finishing_time = Wed Mar  6 06:50:38 2024
elapsed_time = 37954.50956988335 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;24.0;0.0;50390.0;15334.0;35056.0;100495000.0;111000.0;2.0;7.0;154.33275532722473
3.0;1.0;24.0;50829.0;15732.0;35097.0;100549000.0;112200.0;4.0;4.0;154.8296718597412
6.0;1.0;25.0;51266.0;16129.0;35137.0;100621000.0;113800.0;2.0;6.0;157.48058485984802
9.0;1.0;26.0;51701.0;16513.0;35188.0;100711000.0;115800.0;2.0;8.0;158.8319537639618
12.0;1.0;27.0;52135.0;16893.0;35242.0;100810000.0;118000.0;1.0;9.0;159.83856892585754
15.0;1.0;28.0;52569.0;17294.0;35275.0;100909000.0;120200.0;5.0;9.0;160.63789010047913
18.0;2.0;29.0;53003.0;17694.0;35309.0;101008000.0;122400.0;2.0;7.0;161.79923796653748
21.0;0.0;31.0;53438.0;18075.0;35363.0;101098000.0;124400.0;1.0;10.0;162.32547569274902
24.0;2.0;31.0;53870.0;18488.0;35382.0;101215000.0;127000.0;2.0;9.0;164.09076499938965
27.0;0.0;33.0;54306.0;18880.0;35426.0;101296000.0;128800.0;2.0;9.0;166.42159700393677
30.0;0.0;33.0;54741.0;19278.0;35463.0;101386000.0;130800.0;4.0;10.0;165.92592477798462
33.0;1.0;33.0;55172.0;19670.0;35502.0;101512000.0;133600.0;4.0;12.0;170.17384815216064
36.0;2.0;34.0;55603.0;20062.0;35541.0;101638000.0;136400.0;0.0;10.0;169.37607622146606
39.0;0.0;36.0;56040.0;20453.0;35587.0;101710000.0;138000.0;3.0;8.0;169.50134420394897
42.0;0.0;36.0;56481.0;20850.0;35631.0;101746000.0;138800.0;3.0;4.0;171.10400390625
45.0;0.0;36.0;56920.0;21259.0;35661.0;101800000.0;140000.0;1.0;6.0;172.13231205940247
48.0;1.0;36.0;57354.0;21638.0;35716.0;101899000.0;142200.0;0.0;9.0;172.92611575126648
51.0;0.0;37.0;57791.0;22027.0;35764.0;101971000.0;143800.0;4.0;8.0;174.3778839111328
54.0;0.0;37.0;58223.0;22399.0;35824.0;102088000.0;146400.0;3.0;13.0;177.04414796829224
57.0;0.0;37.0;58651.0;22782.0;35869.0;102241000.0;149800.0;4.0;17.0;178.52543997764587
60.0;0.0;37.0;59085.0;23173.0;35912.0;102340000.0;152000.0;1.0;11.0;178.42743229866028
