Hubald model simulation data
""
starting_time = Wed Mar  6 06:50:42 2024
finishing_time = Wed Mar  6 10:59:52 2024
elapsed_time = 14949.985069036484 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 20
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;24.0;0.0;50122.0;15088.0;35034.0;100477000.0;110600.0;5.0;5.0;68.07971501350403
3.0;1.0;24.0;50290.0;15248.0;35042.0;100540000.0;112000.0;1.0;5.0;68.41341018676758
6.0;1.0;25.0;50456.0;15404.0;35052.0;100621000.0;113800.0;3.0;7.0;69.12068676948547
9.0;0.0;26.0;50623.0;15569.0;35054.0;100693000.0;115400.0;1.0;8.0;69.4360249042511
12.0;0.0;26.0;50788.0;15719.0;35069.0;100783000.0;117400.0;2.0;10.0;69.71174502372742
15.0;1.0;26.0;50950.0;15877.0;35073.0;100900000.0;120000.0;0.0;11.0;70.69326114654541
18.0;2.0;27.0;51114.0;16031.0;35083.0;100999000.0;122200.0;2.0;7.0;70.79403638839722
21.0;2.0;29.0;51280.0;16171.0;35109.0;101080000.0;124000.0;2.0;5.0;70.95298385620117
24.0;1.0;31.0;51444.0;16323.0;35121.0;101179000.0;126200.0;5.0;9.0;71.43871903419495
27.0;1.0;32.0;51605.0;16477.0;35128.0;101305000.0;129000.0;0.0;12.0;71.3168089389801
30.0;2.0;33.0;51768.0;16625.0;35143.0;101413000.0;131400.0;7.0;8.0;70.90668892860413
33.0;1.0;35.0;51933.0;16771.0;35162.0;101503000.0;133400.0;1.0;8.0;70.97545886039734
36.0;0.0;36.0;52093.0;16918.0;35175.0;101638000.0;136400.0;3.0;15.0;71.74141311645508
39.0;0.0;36.0;52259.0;17070.0;35189.0;101719000.0;138200.0;2.0;9.0;71.7917959690094
42.0;0.0;36.0;52426.0;17224.0;35202.0;101791000.0;139800.0;5.0;8.0;72.20559215545654
45.0;1.0;36.0;52588.0;17357.0;35231.0;101908000.0;142400.0;2.0;11.0;72.05855202674866
48.0;1.0;37.0;52753.0;17513.0;35240.0;101998000.0;144400.0;3.0;8.0;72.50699520111084
51.0;0.0;38.0;52920.0;17656.0;35264.0;102070000.0;146000.0;2.0;8.0;72.43695998191833
54.0;1.0;38.0;53086.0;17803.0;35283.0;102151000.0;147800.0;1.0;7.0;72.50239682197571
57.0;0.0;39.0;53249.0;17952.0;35297.0;102259000.0;150200.0;1.0;12.0;73.08263397216797
60.0;0.0;39.0;53413.0;18110.0;35303.0;102358000.0;152400.0;1.0;11.0;73.11850595474243
63.0;0.0;39.0;53577.0;18262.0;35315.0;102457000.0;154600.0;3.0;11.0;73.21970415115356
66.0;0.0;39.0;53744.0;18421.0;35323.0;102529000.0;156200.0;1.0;8.0;73.25137305259705
69.0;0.0;39.0;53914.0;18563.0;35351.0;102574000.0;157200.0;1.0;5.0;73.39668297767639
72.0;0.0;39.0;54078.0;18702.0;35376.0;102673000.0;159400.0;3.0;11.0;74.14226412773132
75.0;1.0;39.0;54242.0;18847.0;35395.0;102772000.0;161600.0;2.0;9.0;74.03021121025085
78.0;1.0;40.0;54404.0;18997.0;35407.0;102889000.0;164200.0;5.0;11.0;74.09979605674744
81.0;0.0;41.0;54563.0;19146.0;35417.0;103033000.0;167400.0;3.0;16.0;74.77029299736023
84.0;0.0;41.0;54731.0;19293.0;35438.0;103096000.0;168800.0;4.0;7.0;73.95424890518188
87.0;0.0;41.0;54892.0;19443.0;35449.0;103222000.0;171600.0;1.0;14.0;74.50711584091187
90.0;0.0;41.0;55057.0;19595.0;35462.0;103312000.0;173600.0;1.0;10.0;74.503830909729
93.0;0.0;41.0;55220.0;19737.0;35483.0;103420000.0;176000.0;1.0;12.0;74.81551885604858
96.0;0.0;41.0;55382.0;19876.0;35506.0;103537000.0;178600.0;5.0;13.0;75.00092220306396
99.0;0.0;41.0;55538.0;20028.0;35510.0;103708000.0;182400.0;2.0;19.0;75.0228590965271
102.0;0.0;41.0;55695.0;20166.0;35529.0;103870000.0;186000.0;5.0;18.0;75.59598588943481
105.0;1.0;41.0;55854.0;20317.0;35537.0;104014000.0;189200.0;2.0;14.0;75.77717518806458
108.0;1.0;42.0;56010.0;20460.0;35550.0;104185000.0;193000.0;2.0;17.0;76.41208600997925
111.0;0.0;43.0;56171.0;20609.0;35562.0;104311000.0;195800.0;4.0;14.0;76.12378597259521
114.0;0.0;43.0;56335.0;20762.0;35573.0;104410000.0;198000.0;2.0;11.0;76.11813688278198
117.0;1.0;43.0;56497.0;20898.0;35599.0;104527000.0;200600.0;6.0;11.0;76.12599611282349
120.0;0.0;44.0;56661.0;21046.0;35615.0;104626000.0;202800.0;3.0;11.0;76.76726984977722
123.0;0.0;44.0;56818.0;21190.0;35628.0;104788000.0;206400.0;3.0;18.0;76.56884002685547
126.0;0.0;44.0;56984.0;21336.0;35648.0;104869000.0;208200.0;2.0;9.0;76.92736530303955
129.0;0.0;44.0;57145.0;21482.0;35663.0;104995000.0;211000.0;1.0;14.0;77.37710380554199
132.0;0.0;44.0;57305.0;21623.0;35682.0;105130000.0;214000.0;1.0;15.0;76.82392120361328
135.0;1.0;44.0;57460.0;21769.0;35691.0;105310000.0;218000.0;3.0;18.0;77.50221586227417
138.0;0.0;45.0;57625.0;21930.0;35695.0;105400000.0;220000.0;3.0;10.0;77.54710102081299
141.0;0.0;45.0;57785.0;22075.0;35710.0;105535000.0;223000.0;5.0;15.0;77.5377869606018
144.0;0.0;45.0;57946.0;22221.0;35725.0;105661000.0;225800.0;3.0;14.0;78.4044988155365
147.0;0.0;45.0;58106.0;22363.0;35743.0;105796000.0;228800.0;3.0;15.0;77.92006516456604
150.0;0.0;45.0;58268.0;22510.0;35758.0;105922000.0;231600.0;2.0;14.0;78.2080750465393
153.0;0.0;45.0;58421.0;22643.0;35778.0;106120000.0;236000.0;4.0;22.0;78.29260492324829
156.0;0.0;45.0;58571.0;22789.0;35782.0;106345000.0;241000.0;2.0;25.0;78.52062797546387
159.0;0.0;45.0;58733.0;22932.0;35801.0;106462000.0;243600.0;2.0;13.0;78.65032911300659
162.0;0.0;45.0;58891.0;23082.0;35809.0;106615000.0;247000.0;5.0;17.0;79.511892080307
165.0;0.0;45.0;59038.0;23226.0;35812.0;106867000.0;252600.0;2.0;28.0;79.90919089317322
