Hubald model simulation data
""
starting_time = Wed Mar  6 23:36:58 2024
finishing_time = Thu Mar  7 09:28:09 2024
elapsed_time = 35470.711676836014 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;0.0;50218.0;15163.0;35055.0;100423000.0;109400.0;0.0;5.0;96.26797604560852
3.0;2.0;21.0;50473.0;15399.0;35074.0;100513000.0;111400.0;3.0;6.0;96.6469669342041
6.0;4.0;23.0;50728.0;15646.0;35082.0;100603000.0;113400.0;0.0;2.0;97.5650098323822
9.0;0.0;27.0;50992.0;15875.0;35117.0;100612000.0;113600.0;0.0;1.0;98.2814040184021
12.0;0.0;27.0;51248.0;16113.0;35135.0;100693000.0;115400.0;1.0;9.0;99.21426796913147
15.0;2.0;27.0;51507.0;16346.0;35161.0;100747000.0;116600.0;0.0;2.0;99.18721103668213
18.0;1.0;29.0;51764.0;16581.0;35183.0;100819000.0;118200.0;0.0;6.0;101.15582919120789
21.0;1.0;30.0;52024.0;16818.0;35206.0;100864000.0;119200.0;0.0;3.0;100.31105089187622
24.0;2.0;31.0;52281.0;17051.0;35230.0;100936000.0;120800.0;4.0;4.0;100.36101984977722
27.0;1.0;33.0;52537.0;17278.0;35259.0;101017000.0;122600.0;2.0;7.0;100.67125129699707
30.0;0.0;34.0;52797.0;17514.0;35283.0;101062000.0;123600.0;0.0;5.0;101.15817785263062
33.0;1.0;34.0;53057.0;17743.0;35314.0;101107000.0;124600.0;2.0;3.0;101.78147983551025
36.0;3.0;35.0;53315.0;17977.0;35338.0;101170000.0;126000.0;0.0;1.0;102.35888719558716
39.0;2.0;38.0;53570.0;18198.0;35372.0;101260000.0;128000.0;2.0;6.0;102.75467300415039
42.0;2.0;40.0;53828.0;18414.0;35414.0;101323000.0;129400.0;1.0;3.0;103.27965021133423
45.0;0.0;42.0;54089.0;18642.0;35447.0;101359000.0;130200.0;0.0;4.0;103.66407203674316
48.0;0.0;42.0;54349.0;18879.0;35470.0;101404000.0;131200.0;1.0;5.0;104.17759680747986
51.0;0.0;42.0;54606.0;19110.0;35496.0;101476000.0;132800.0;2.0;8.0;104.72552227973938
54.0;1.0;42.0;54862.0;19344.0;35518.0;101557000.0;134600.0;1.0;7.0;105.10922598838806
57.0;0.0;43.0;55123.0;19578.0;35545.0;101593000.0;135400.0;1.0;4.0;105.55305504798889
60.0;0.0;43.0;55382.0;19814.0;35568.0;101647000.0;136600.0;3.0;6.0;105.38014721870422
63.0;0.0;43.0;55635.0;20038.0;35597.0;101755000.0;139000.0;1.0;12.0;106.27169895172119
66.0;0.0;43.0;55897.0;20266.0;35631.0;101782000.0;139600.0;1.0;3.0;106.64366412162781
69.0;0.0;43.0;56156.0;20488.0;35668.0;101836000.0;140800.0;1.0;6.0;107.09734988212585
72.0;1.0;43.0;56416.0;20734.0;35682.0;101881000.0;141800.0;1.0;3.0;107.51066899299622
75.0;0.0;44.0;56678.0;20967.0;35711.0;101908000.0;142400.0;0.0;3.0;107.2312970161438
78.0;0.0;44.0;56935.0;21194.0;35741.0;101980000.0;144000.0;3.0;8.0;109.66571068763733
81.0;0.0;44.0;57192.0;21425.0;35767.0;102052000.0;145600.0;2.0;8.0;107.47471809387207
84.0;0.0;44.0;57449.0;21652.0;35797.0;102124000.0;147200.0;1.0;8.0;108.58551812171936
87.0;0.0;44.0;57710.0;21882.0;35828.0;102160000.0;148000.0;1.0;4.0;109.28718996047974
90.0;0.0;44.0;57965.0;22112.0;35853.0;102250000.0;150000.0;1.0;10.0;110.38863706588745
93.0;0.0;44.0;58221.0;22348.0;35873.0;102331000.0;151800.0;2.0;9.0;110.53107404708862
96.0;0.0;44.0;58476.0;22573.0;35903.0;102421000.0;153800.0;4.0;10.0;110.4663918018341
99.0;1.0;44.0;58736.0;22810.0;35926.0;102466000.0;154800.0;3.0;3.0;111.00904822349548
102.0;0.0;45.0;58990.0;23046.0;35944.0;102565000.0;157000.0;2.0;11.0;111.70446395874023
105.0;0.0;45.0;59249.0;23281.0;35968.0;102619000.0;158200.0;2.0;6.0;112.404776096344
