Hubald model simulation data
""
starting_time = Thu Mar  7 09:28:13 2024
finishing_time = Fri Mar  8 02:49:57 2024
elapsed_time = 62503.9897711277 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;0.0;50400.0;15307.0;35093.0;100405000.0;109000.0;3.0;1.0;153.69594073295593
3.0;1.0;22.0;50838.0;15683.0;35155.0;100468000.0;110400.0;2.0;5.0;155.61448693275452
6.0;1.0;23.0;51276.0;16064.0;35212.0;100531000.0;111800.0;3.0;5.0;157.48437476158142
9.0;0.0;24.0;51716.0;16458.0;35258.0;100576000.0;112800.0;2.0;5.0;158.11400198936462
12.0;1.0;24.0;52155.0;16852.0;35303.0;100630000.0;114000.0;0.0;4.0;160.38755893707275
15.0;5.0;25.0;52583.0;17237.0;35346.0;100783000.0;117400.0;1.0;7.0;160.79088401794434
18.0;1.0;30.0;53025.0;17642.0;35383.0;100810000.0;118000.0;1.0;1.0;161.488440990448
21.0;0.0;31.0;53465.0;18045.0;35420.0;100855000.0;119000.0;1.0;5.0;163.04936814308167
24.0;1.0;31.0;53902.0;18444.0;35458.0;100927000.0;120600.0;0.0;6.0;164.11953806877136
27.0;0.0;32.0;54340.0;18832.0;35508.0;100990000.0;122000.0;1.0;7.0;165.49421501159668
30.0;1.0;32.0;54774.0;19235.0;35539.0;101089000.0;124200.0;2.0;9.0;166.11173105239868
33.0;0.0;33.0;55214.0;19622.0;35592.0;101134000.0;125200.0;3.0;5.0;166.37542009353638
36.0;0.0;33.0;55651.0;20021.0;35630.0;101206000.0;126800.0;2.0;8.0;169.55578112602234
39.0;0.0;33.0;56090.0;20418.0;35672.0;101260000.0;128000.0;0.0;6.0;169.13849711418152
42.0;0.0;33.0;56532.0;20807.0;35725.0;101287000.0;128600.0;2.0;3.0;172.3676631450653
45.0;0.0;33.0;56974.0;21192.0;35782.0;101314000.0;129200.0;1.0;3.0;172.18849802017212
48.0;0.0;33.0;57414.0;21584.0;35830.0;101359000.0;130200.0;2.0;5.0;174.27071523666382
51.0;0.0;33.0;57854.0;21984.0;35870.0;101404000.0;131200.0;4.0;5.0;174.48029899597168
54.0;2.0;33.0;58290.0;22367.0;35923.0;101485000.0;133000.0;0.0;5.0;175.74320793151855
57.0;0.0;35.0;58732.0;22770.0;35962.0;101512000.0;133600.0;1.0;3.0;177.34764194488525
60.0;0.0;35.0;59168.0;23152.0;36016.0;101593000.0;135400.0;0.0;9.0;178.5450541973114
63.0;1.0;35.0;59602.0;23535.0;36067.0;101692000.0;137600.0;0.0;9.0;178.66951894760132
66.0;0.0;36.0;60042.0;23929.0;36113.0;101737000.0;138600.0;0.0;5.0;180.89754509925842
69.0;1.0;36.0;60479.0;24325.0;36154.0;101809000.0;140200.0;2.0;6.0;183.17466616630554
72.0;0.0;37.0;60919.0;24717.0;36202.0;101854000.0;141200.0;3.0;5.0;183.72398471832275
75.0;0.0;37.0;61359.0;25113.0;36246.0;101899000.0;142200.0;2.0;5.0;188.02145099639893
78.0;0.0;37.0;61802.0;25522.0;36280.0;101917000.0;142600.0;0.0;2.0;185.4964098930359
81.0;0.0;37.0;62240.0;25904.0;36336.0;101980000.0;144000.0;2.0;7.0;187.00705099105835
84.0;1.0;37.0;62674.0;26298.0;36376.0;102079000.0;146200.0;4.0;9.0;188.2571530342102
87.0;1.0;38.0;63111.0;26697.0;36414.0;102151000.0;147800.0;2.0;6.0;189.0209357738495
90.0;0.0;39.0;63549.0;27105.0;36444.0;102214000.0;149200.0;1.0;7.0;190.32372879981995
93.0;1.0;39.0;63985.0;27504.0;36481.0;102295000.0;151000.0;2.0;7.0;191.22175216674805
96.0;1.0;40.0;64424.0;27902.0;36522.0;102349000.0;152200.0;3.0;4.0;192.51374411582947
99.0;1.0;41.0;64859.0;28293.0;36566.0;102439000.0;154200.0;1.0;8.0;193.2341969013214
102.0;0.0;42.0;65298.0;28676.0;36622.0;102493000.0;155400.0;4.0;6.0;196.58013820648193
105.0;0.0;42.0;65736.0;29065.0;36671.0;102556000.0;156800.0;1.0;7.0;197.31165504455566
108.0;0.0;42.0;66175.0;29459.0;36716.0;102610000.0;158000.0;6.0;6.0;197.9053807258606
111.0;1.0;42.0;66613.0;29858.0;36755.0;102673000.0;159400.0;2.0;5.0;200.09780025482178
114.0;0.0;43.0;67045.0;30251.0;36794.0;102790000.0;162000.0;1.0;13.0;200.04185605049133
117.0;0.0;43.0;67489.0;30639.0;36850.0;102799000.0;162200.0;1.0;1.0;203.0787000656128
120.0;1.0;43.0;67928.0;31040.0;36888.0;102853000.0;163400.0;0.0;4.0;202.20477104187012
123.0;0.0;44.0;68366.0;31426.0;36940.0;102916000.0;164800.0;0.0;7.0;205.04601168632507
126.0;0.0;44.0;68807.0;31809.0;36998.0;102952000.0;165600.0;1.0;4.0;205.93286514282227
129.0;0.0;44.0;69241.0;32206.0;37035.0;103051000.0;167800.0;2.0;11.0;206.0845229625702
132.0;1.0;44.0;69674.0;32604.0;37070.0;103159000.0;170200.0;1.0;10.0;207.09061098098755
135.0;0.0;45.0;70114.0;32998.0;37116.0;103204000.0;171200.0;3.0;5.0;208.70540118217468
138.0;0.0;45.0;70550.0;33402.0;37148.0;103285000.0;173000.0;1.0;9.0;210.58722186088562
141.0;0.0;45.0;70987.0;33781.0;37206.0;103357000.0;174600.0;1.0;8.0;211.0446970462799
144.0;0.0;45.0;71424.0;34161.0;37263.0;103438000.0;176400.0;3.0;9.0;213.20528411865234
147.0;0.0;45.0;71858.0;34546.0;37312.0;103537000.0;178600.0;3.0;11.0;213.27662587165833
150.0;0.0;45.0;72296.0;34935.0;37361.0;103600000.0;180000.0;6.0;7.0;215.05821299552917
153.0;0.0;45.0;72736.0;35345.0;37391.0;103645000.0;181000.0;4.0;5.0;216.89875888824463
156.0;1.0;45.0;73167.0;35731.0;37436.0;103771000.0;183800.0;4.0;12.0;217.87858605384827
