Hubald model simulation data
""
starting_time = Fri Mar  8 02:50:01 2024
finishing_time = Fri Mar  8 09:12:34 2024
elapsed_time = 22953.20012998581 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0003
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 20
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;0.0;50126.0;15076.0;35050.0;100441000.0;109800.0;1.0;7.0;68.07436394691467
3.0;3.0;21.0;50287.0;15226.0;35061.0;100567000.0;112600.0;2.0;8.0;68.17913293838501
6.0;3.0;24.0;50448.0;15392.0;35056.0;100693000.0;115400.0;0.0;8.0;68.69507098197937
9.0;0.0;27.0;50619.0;15545.0;35074.0;100729000.0;116200.0;1.0;4.0;69.7413239479065
12.0;0.0;27.0;50786.0;15691.0;35095.0;100801000.0;117800.0;1.0;8.0;69.96198081970215
15.0;0.0;27.0;50957.0;15842.0;35115.0;100837000.0;118600.0;2.0;4.0;70.2620940208435
18.0;0.0;27.0;51129.0;15997.0;35132.0;100864000.0;119200.0;1.0;3.0;70.68678069114685
21.0;0.0;27.0;51300.0;16153.0;35147.0;100900000.0;120000.0;1.0;4.0;70.63737988471985
24.0;0.0;27.0;51465.0;16300.0;35165.0;100990000.0;122000.0;0.0;10.0;70.77521800994873
27.0;0.0;27.0;51634.0;16451.0;35183.0;101044000.0;123200.0;1.0;6.0;70.86570715904236
30.0;2.0;27.0;51800.0;16607.0;35193.0;101125000.0;125000.0;1.0;5.0;71.22773003578186
33.0;0.0;29.0;51965.0;16780.0;35185.0;101215000.0;127000.0;0.0;10.0;71.34980797767639
36.0;5.0;29.0;52121.0;16931.0;35190.0;101386000.0;130800.0;0.0;9.0;71.2604238986969
39.0;1.0;34.0;52292.0;17078.0;35214.0;101422000.0;131600.0;1.0;2.0;71.87687611579895
42.0;0.0;35.0;52460.0;17229.0;35231.0;101485000.0;133000.0;3.0;7.0;72.29191780090332
45.0;1.0;35.0;52629.0;17384.0;35245.0;101539000.0;134200.0;2.0;4.0;72.15426206588745
48.0;1.0;36.0;52797.0;17536.0;35261.0;101602000.0;135600.0;3.0;5.0;72.96086716651917
51.0;0.0;37.0;52966.0;17695.0;35271.0;101656000.0;136800.0;0.0;6.0;73.17538285255432
54.0;0.0;37.0;53135.0;17846.0;35289.0;101710000.0;138000.0;1.0;6.0;72.86076092720032
57.0;0.0;37.0;53305.0;18002.0;35303.0;101755000.0;139000.0;4.0;5.0;72.87997698783875
60.0;0.0;37.0;53473.0;18170.0;35303.0;101818000.0;140400.0;0.0;7.0;73.37128686904907
63.0;0.0;37.0;53639.0;18329.0;35310.0;101899000.0;142200.0;1.0;9.0;73.76781630516052
66.0;1.0;37.0;53801.0;18483.0;35318.0;102016000.0;144800.0;0.0;11.0;73.19879293441772
69.0;0.0;38.0;53972.0;18635.0;35337.0;102052000.0;145600.0;2.0;4.0;73.40053915977478
72.0;1.0;38.0;54141.0;18783.0;35358.0;102106000.0;146800.0;3.0;4.0;73.93339085578918
75.0;0.0;39.0;54307.0;18941.0;35366.0;102187000.0;148600.0;0.0;9.0;74.30242419242859
78.0;1.0;39.0;54476.0;19098.0;35378.0;102241000.0;149800.0;1.0;4.0;73.96958708763123
81.0;1.0;40.0;54637.0;19242.0;35395.0;102367000.0;152600.0;3.0;12.0;74.63367795944214
84.0;0.0;41.0;54808.0;19400.0;35408.0;102403000.0;153400.0;1.0;4.0;74.65105819702148
87.0;1.0;41.0;54978.0;19555.0;35423.0;102448000.0;154400.0;2.0;3.0;74.67776107788086
90.0;1.0;42.0;55138.0;19706.0;35432.0;102583000.0;157400.0;2.0;13.0;74.83665084838867
93.0;0.0;43.0;55307.0;19850.0;35457.0;102637000.0;158600.0;2.0;6.0;75.00764536857605
96.0;2.0;43.0;55472.0;20000.0;35472.0;102727000.0;160600.0;3.0;6.0;74.92171096801758
99.0;1.0;45.0;55635.0;20153.0;35482.0;102835000.0;163000.0;1.0;10.0;75.49456810951233
102.0;0.0;46.0;55808.0;20308.0;35500.0;102853000.0;163400.0;1.0;2.0;75.25938725471497
105.0;0.0;46.0;55979.0;20462.0;35517.0;102889000.0;164200.0;0.0;4.0;75.59800601005554
108.0;0.0;46.0;56143.0;20606.0;35537.0;102988000.0;166400.0;0.0;11.0;76.10643100738525
111.0;0.0;46.0;56310.0;20764.0;35546.0;103060000.0;168000.0;1.0;8.0;76.19934582710266
114.0;0.0;46.0;56481.0;20908.0;35573.0;103096000.0;168800.0;0.0;4.0;76.58202695846558
117.0;0.0;46.0;56649.0;21061.0;35588.0;103159000.0;170200.0;2.0;7.0;76.30462789535522
120.0;0.0;46.0;56819.0;21212.0;35607.0;103204000.0;171200.0;2.0;5.0;76.6648120880127
123.0;0.0;46.0;56990.0;21369.0;35621.0;103240000.0;172000.0;0.0;4.0;76.7484610080719
126.0;1.0;46.0;57157.0;21517.0;35640.0;103312000.0;173600.0;4.0;6.0;76.56074905395508
129.0;2.0;47.0;57321.0;21679.0;35642.0;103411000.0;175800.0;0.0;7.0;77.44446992874146
132.0;0.0;49.0;57494.0;21831.0;35663.0;103429000.0;176200.0;2.0;2.0;77.14824509620667
135.0;0.0;49.0;57659.0;21988.0;35671.0;103519000.0;178200.0;1.0;10.0;77.31860899925232
138.0;0.0;49.0;57829.0;22148.0;35681.0;103564000.0;179200.0;1.0;5.0;77.56915998458862
141.0;0.0;49.0;57994.0;22305.0;35689.0;103654000.0;181200.0;2.0;10.0;79.24970602989197
144.0;0.0;49.0;58158.0;22448.0;35710.0;103753000.0;183400.0;2.0;11.0;78.47440600395203
147.0;0.0;49.0;58326.0;22593.0;35733.0;103816000.0;184800.0;1.0;7.0;78.3235239982605
150.0;0.0;49.0;58497.0;22745.0;35752.0;103852000.0;185600.0;2.0;4.0;78.8375940322876
153.0;0.0;49.0;58661.0;22889.0;35772.0;103951000.0;187800.0;3.0;11.0;78.72998809814453
156.0;0.0;49.0;58832.0;23037.0;35795.0;103987000.0;188600.0;2.0;4.0;79.1683201789856
159.0;0.0;49.0;59001.0;23182.0;35819.0;104041000.0;189800.0;2.0;6.0;79.00045108795166
162.0;0.0;49.0;59171.0;23328.0;35843.0;104086000.0;190800.0;2.0;5.0;79.77092599868774
165.0;0.0;49.0;59337.0;23486.0;35851.0;104167000.0;192600.0;2.0;9.0;79.55547404289246
168.0;0.0;49.0;59509.0;23639.0;35870.0;104194000.0;193200.0;1.0;3.0;80.07294583320618
171.0;0.0;49.0;59674.0;23777.0;35897.0;104284000.0;195200.0;3.0;10.0;80.01582098007202
174.0;0.0;49.0;59837.0;23927.0;35910.0;104392000.0;197600.0;1.0;12.0;80.40763401985168
177.0;1.0;49.0;60001.0;24076.0;35925.0;104491000.0;199800.0;2.0;9.0;80.35102009773254
180.0;1.0;50.0;60167.0;24229.0;35938.0;104572000.0;201600.0;2.0;7.0;80.70896482467651
183.0;1.0;51.0;60329.0;24374.0;35955.0;104689000.0;204200.0;0.0;11.0;80.47304201126099
186.0;0.0;52.0;60492.0;24518.0;35974.0;104797000.0;206600.0;4.0;12.0;81.46169590950012
189.0;0.0;52.0;60666.0;24669.0;35997.0;104806000.0;206800.0;2.0;1.0;81.18028116226196
192.0;0.0;52.0;60834.0;24819.0;36015.0;104869000.0;208200.0;3.0;7.0;81.28306603431702
195.0;0.0;52.0;60998.0;24963.0;36035.0;104968000.0;210400.0;3.0;11.0;81.47030019760132
198.0;0.0;52.0;61161.0;25120.0;36041.0;105076000.0;212800.0;2.0;12.0;81.64260983467102
201.0;0.0;52.0;61328.0;25272.0;36056.0;105148000.0;214400.0;0.0;8.0;81.98137593269348
204.0;0.0;52.0;61491.0;25434.0;36057.0;105256000.0;216800.0;1.0;12.0;81.76328611373901
207.0;0.0;52.0;61656.0;25585.0;36071.0;105346000.0;218800.0;2.0;10.0;81.810702085495
210.0;0.0;52.0;61823.0;25733.0;36090.0;105418000.0;220400.0;3.0;8.0;81.84052777290344
213.0;0.0;52.0;61987.0;25884.0;36103.0;105517000.0;222600.0;3.0;11.0;82.21149611473083
216.0;0.0;52.0;62152.0;26026.0;36126.0;105607000.0;224600.0;3.0;10.0;82.8898549079895
219.0;0.0;52.0;62321.0;26188.0;36133.0;105661000.0;225800.0;4.0;6.0;82.7451241016388
222.0;0.0;52.0;62479.0;26331.0;36148.0;105814000.0;229200.0;3.0;17.0;82.89450979232788
225.0;0.0;52.0;62649.0;26470.0;36179.0;105859000.0;230200.0;4.0;5.0;83.36396408081055
228.0;0.0;52.0;62812.0;26618.0;36194.0;105967000.0;232600.0;1.0;12.0;83.19806480407715
231.0;0.0;52.0;62977.0;26774.0;36203.0;106057000.0;234600.0;2.0;10.0;83.36634802818298
234.0;0.0;52.0;63135.0;26923.0;36212.0;106210000.0;238000.0;0.0;17.0;83.86513209342957
237.0;0.0;52.0;63298.0;27069.0;36229.0;106318000.0;240400.0;0.0;12.0;83.37313890457153
240.0;0.0;52.0;63465.0;27221.0;36244.0;106390000.0;242000.0;1.0;8.0;83.68675994873047
243.0;0.0;52.0;63627.0;27375.0;36252.0;106507000.0;244600.0;3.0;13.0;84.33658218383789
246.0;0.0;52.0;63790.0;27524.0;36266.0;106615000.0;247000.0;3.0;12.0;84.03694987297058
249.0;0.0;52.0;63952.0;27674.0;36278.0;106732000.0;249600.0;0.0;13.0;84.50728011131287
