Hubald model simulation data
""
starting_time = Sat Mar  9 21:07:48 2024
finishing_time = Sun Mar 10 01:52:12 2024
elapsed_time = 17064.63496375084 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;20.0;0.0;50033.0;14998.0;35035.0;100369000.0;108200.0;1.0;1.0;45.516809940338135
3.0;3.0;20.0;50110.0;15069.0;35041.0;100441000.0;109800.0;1.0;2.0;40.748547077178955
6.0;1.0;23.0;50192.0;15142.0;35050.0;100468000.0;110400.0;1.0;1.0;40.82203698158264
9.0;3.0;24.0;50269.0;15212.0;35057.0;100540000.0;112000.0;0.0;2.0;40.82836198806763
12.0;1.0;27.0;50347.0;15289.0;35058.0;100603000.0;113400.0;0.0;5.0;41.40736413002014
15.0;0.0;28.0;50426.0;15368.0;35058.0;100657000.0;114600.0;0.0;6.0;41.33964705467224
18.0;0.0;28.0;50510.0;15441.0;35069.0;100666000.0;114800.0;1.0;1.0;41.53845500946045
21.0;1.0;28.0;50591.0;15519.0;35072.0;100702000.0;115600.0;1.0;2.0;41.80841588973999
24.0;0.0;29.0;50674.0;15598.0;35076.0;100720000.0;116000.0;1.0;2.0;41.98715615272522
27.0;0.0;29.0;50756.0;15669.0;35087.0;100747000.0;116600.0;0.0;3.0;42.26731014251709
30.0;1.0;29.0;50837.0;15744.0;35093.0;100783000.0;117400.0;0.0;2.0;42.502886056900024
33.0;0.0;30.0;50919.0;15813.0;35106.0;100810000.0;118000.0;1.0;3.0;42.31736493110657
36.0;1.0;30.0;50998.0;15882.0;35116.0;100864000.0;119200.0;1.0;4.0;42.31086587905884
39.0;1.0;31.0;51079.0;15961.0;35118.0;100900000.0;120000.0;0.0;2.0;42.56825113296509
42.0;2.0;32.0;51156.0;16035.0;35121.0;100972000.0;121600.0;0.0;4.0;42.610663175582886
45.0;0.0;34.0;51239.0;16102.0;35137.0;100990000.0;122000.0;1.0;2.0;42.91876292228699
48.0;1.0;34.0;51319.0;16178.0;35141.0;101035000.0;123000.0;0.0;3.0;42.50633907318115
51.0;0.0;35.0;51403.0;16250.0;35153.0;101044000.0;123200.0;1.0;1.0;42.60294699668884
54.0;1.0;35.0;51486.0;16324.0;35162.0;101062000.0;123600.0;2.0;0.0;43.020652055740356
57.0;1.0;36.0;51569.0;16402.0;35167.0;101080000.0;124000.0;2.0;0.0;43.12801718711853
60.0;0.0;37.0;51652.0;16480.0;35172.0;101098000.0;124400.0;0.0;2.0;43.101154088974
63.0;0.0;37.0;51732.0;16545.0;35187.0;101143000.0;125400.0;1.0;5.0;42.703705072402954
66.0;0.0;37.0;51809.0;16616.0;35193.0;101215000.0;127000.0;1.0;8.0;42.86601710319519
69.0;0.0;37.0;51889.0;16699.0;35190.0;101260000.0;128000.0;0.0;5.0;42.8931200504303
72.0;0.0;37.0;51971.0;16781.0;35190.0;101287000.0;128600.0;1.0;3.0;43.21107292175293
75.0;0.0;37.0;52053.0;16858.0;35195.0;101314000.0;129200.0;1.0;3.0;42.874529123306274
78.0;1.0;37.0;52131.0;16925.0;35206.0;101377000.0;130600.0;5.0;5.0;43.292022705078125
81.0;0.0;38.0;52213.0;17006.0;35207.0;101404000.0;131200.0;0.0;3.0;43.09022307395935
84.0;0.0;38.0;52292.0;17076.0;35216.0;101458000.0;132400.0;1.0;6.0;43.15539312362671
87.0;0.0;38.0;52376.0;17151.0;35225.0;101467000.0;132600.0;0.0;1.0;43.045907974243164
90.0;1.0;38.0;52457.0;17224.0;35233.0;101503000.0;133400.0;0.0;2.0;43.14160513877869
93.0;0.0;39.0;52538.0;17301.0;35237.0;101539000.0;134200.0;0.0;4.0;43.42370676994324
96.0;0.0;39.0;52623.0;17371.0;35252.0;101539000.0;134200.0;0.0;0.0;43.138882875442505
99.0;0.0;39.0;52706.0;17447.0;35259.0;101557000.0;134600.0;1.0;2.0;43.363956928253174
102.0;0.0;39.0;52790.0;17525.0;35265.0;101566000.0;134800.0;1.0;1.0;43.49649262428284
105.0;1.0;39.0;52870.0;17599.0;35271.0;101611000.0;135800.0;2.0;3.0;43.231377840042114
108.0;0.0;40.0;52953.0;17672.0;35281.0;101629000.0;136200.0;0.0;2.0;43.5782310962677
111.0;0.0;40.0;53036.0;17753.0;35283.0;101647000.0;136600.0;0.0;2.0;43.479434967041016
114.0;0.0;40.0;53111.0;17822.0;35289.0;101737000.0;138600.0;0.0;10.0;43.53851008415222
117.0;0.0;40.0;53192.0;17898.0;35294.0;101773000.0;139400.0;3.0;4.0;43.699955224990845
120.0;1.0;40.0;53269.0;17970.0;35299.0;101845000.0;141000.0;0.0;6.0;43.758994817733765
123.0;0.0;41.0;53346.0;18046.0;35300.0;101917000.0;142600.0;0.0;8.0;43.66686701774597
126.0;0.0;41.0;53428.0;18124.0;35304.0;101944000.0;143200.0;1.0;3.0;43.91341185569763
129.0;0.0;41.0;53512.0;18197.0;35315.0;101953000.0;143400.0;3.0;1.0;43.99324107170105
132.0;1.0;41.0;53591.0;18267.0;35324.0;102007000.0;144600.0;1.0;4.0;43.877317905426025
135.0;0.0;42.0;53674.0;18342.0;35332.0;102025000.0;145000.0;0.0;2.0;43.84854221343994
138.0;0.0;42.0;53751.0;18418.0;35333.0;102097000.0;146600.0;0.0;8.0;43.98080801963806
141.0;0.0;42.0;53836.0;18490.0;35346.0;102097000.0;146600.0;2.0;0.0;44.11043906211853
144.0;0.0;42.0;53921.0;18569.0;35352.0;102097000.0;146600.0;3.0;0.0;43.95059299468994
147.0;0.0;42.0;54001.0;18645.0;35356.0;102142000.0;147600.0;2.0;5.0;44.034087896347046
150.0;1.0;42.0;54082.0;18720.0;35362.0;102178000.0;148400.0;0.0;2.0;44.15048694610596
153.0;0.0;43.0;54156.0;18802.0;35354.0;102277000.0;150600.0;0.0;11.0;44.119059801101685
156.0;0.0;43.0;54239.0;18879.0;35360.0;102295000.0;151000.0;0.0;2.0;44.04831099510193
159.0;0.0;43.0;54321.0;18953.0;35368.0;102322000.0;151600.0;0.0;3.0;44.16983604431152
162.0;0.0;43.0;54404.0;19032.0;35372.0;102340000.0;152000.0;2.0;2.0;44.41778087615967
165.0;0.0;43.0;54486.0;19110.0;35376.0;102367000.0;152600.0;1.0;3.0;44.174046993255615
168.0;0.0;43.0;54568.0;19182.0;35386.0;102394000.0;153200.0;3.0;3.0;44.22064995765686
171.0;1.0;43.0;54644.0;19256.0;35388.0;102475000.0;155000.0;1.0;7.0;44.69453501701355
174.0;0.0;44.0;54725.0;19332.0;35393.0;102511000.0;155800.0;0.0;4.0;44.22571897506714
177.0;0.0;44.0;54806.0;19407.0;35399.0;102547000.0;156600.0;0.0;4.0;44.3078179359436
180.0;0.0;44.0;54890.0;19486.0;35404.0;102556000.0;156800.0;2.0;1.0;44.50734090805054
183.0;0.0;44.0;54973.0;19550.0;35423.0;102574000.0;157200.0;2.0;2.0;44.16497993469238
186.0;0.0;44.0;55053.0;19624.0;35429.0;102619000.0;158200.0;1.0;5.0;44.44511413574219
189.0;0.0;44.0;55131.0;19695.0;35436.0;102682000.0;159600.0;1.0;7.0;44.83405780792236
192.0;0.0;44.0;55210.0;19764.0;35446.0;102736000.0;160800.0;3.0;6.0;44.63289999961853
195.0;0.0;44.0;55286.0;19835.0;35451.0;102817000.0;162600.0;3.0;9.0;44.495572090148926
198.0;1.0;44.0;55365.0;19905.0;35460.0;102871000.0;163800.0;1.0;4.0;45.15693998336792
201.0;0.0;45.0;55444.0;19980.0;35464.0;102925000.0;165000.0;1.0;6.0;44.809426069259644
204.0;0.0;45.0;55525.0;20050.0;35475.0;102961000.0;165800.0;0.0;4.0;44.77114224433899
207.0;0.0;45.0;55604.0;20112.0;35492.0;103015000.0;167000.0;3.0;6.0;45.33992290496826
210.0;0.0;45.0;55680.0;20185.0;35495.0;103096000.0;168800.0;1.0;9.0;45.05848026275635
213.0;0.0;45.0;55760.0;20251.0;35509.0;103141000.0;169800.0;0.0;5.0;45.07714009284973
216.0;0.0;45.0;55842.0;20329.0;35513.0;103168000.0;170400.0;1.0;3.0;45.241698026657104
