Hubald model simulation data
""
starting_time = Sun Mar 10 01:52:17 2024
finishing_time = Sun Mar 10 13:46:53 2024
elapsed_time = 42875.989211797714 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 20
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;0.0;50128.0;15078.0;35050.0;100423000.0;109400.0;0.0;1.0;68.6850357055664
3.0;1.0;23.0;50299.0;15228.0;35071.0;100459000.0;110200.0;1.0;2.0;68.57947492599487
6.0;3.0;24.0;50467.0;15395.0;35072.0;100522000.0;111600.0;0.0;1.0;70.41484808921814
9.0;1.0;27.0;50639.0;15551.0;35088.0;100549000.0;112200.0;1.0;1.0;70.33067274093628
12.0;2.0;28.0;50809.0;15700.0;35109.0;100594000.0;113200.0;0.0;1.0;70.81745409965515
15.0;0.0;30.0;50983.0;15839.0;35144.0;100603000.0;113400.0;1.0;1.0;70.87071895599365
18.0;3.0;30.0;51150.0;16010.0;35140.0;100675000.0;115000.0;0.0;2.0;71.7603280544281
21.0;1.0;33.0;51320.0;16171.0;35149.0;100720000.0;116000.0;0.0;3.0;71.39086627960205
24.0;0.0;34.0;51493.0;16327.0;35166.0;100738000.0;116400.0;0.0;2.0;71.26719999313354
27.0;1.0;34.0;51664.0;16485.0;35179.0;100774000.0;117200.0;1.0;2.0;71.94188022613525
30.0;1.0;35.0;51835.0;16636.0;35199.0;100810000.0;118000.0;0.0;2.0;71.84410309791565
33.0;1.0;36.0;52005.0;16790.0;35215.0;100855000.0;119000.0;0.0;3.0;72.0452880859375
36.0;0.0;37.0;52179.0;16953.0;35226.0;100864000.0;119200.0;0.0;1.0;72.53882503509521
39.0;0.0;37.0;52351.0;17099.0;35252.0;100891000.0;119800.0;0.0;3.0;73.16668009757996
42.0;1.0;37.0;52523.0;17252.0;35271.0;100918000.0;120400.0;0.0;1.0;72.77087306976318
45.0;1.0;38.0;52694.0;17412.0;35282.0;100954000.0;121200.0;0.0;2.0;72.55313920974731
48.0;0.0;39.0;52868.0;17564.0;35304.0;100963000.0;121400.0;0.0;1.0;73.16568112373352
51.0;1.0;39.0;53038.0;17717.0;35321.0;101008000.0;122400.0;1.0;3.0;72.96078395843506
54.0;1.0;40.0;53211.0;17862.0;35349.0;101026000.0;122800.0;0.0;0.0;73.01812291145325
57.0;0.0;41.0;53385.0;18014.0;35371.0;101035000.0;123000.0;1.0;1.0;73.43172097206116
60.0;0.0;41.0;53558.0;18163.0;35395.0;101053000.0;123400.0;0.0;2.0;73.68556809425354
63.0;0.0;41.0;53731.0;18311.0;35420.0;101071000.0;123800.0;0.0;2.0;74.08688807487488
66.0;0.0;41.0;53906.0;18470.0;35436.0;101071000.0;123800.0;0.0;0.0;74.09817695617676
69.0;0.0;41.0;54080.0;18615.0;35465.0;101080000.0;124000.0;0.0;1.0;74.07867074012756
72.0;0.0;41.0;54254.0;18777.0;35477.0;101089000.0;124200.0;1.0;1.0;73.8774881362915
75.0;0.0;41.0;54428.0;18923.0;35505.0;101098000.0;124400.0;0.0;1.0;74.94991087913513
78.0;0.0;41.0;54603.0;19086.0;35517.0;101098000.0;124400.0;0.0;0.0;74.98034143447876
81.0;0.0;41.0;54775.0;19236.0;35539.0;101125000.0;125000.0;0.0;3.0;75.01538610458374
84.0;0.0;41.0;54947.0;19398.0;35549.0;101152000.0;125600.0;0.0;3.0;75.24445986747742
87.0;0.0;41.0;55122.0;19551.0;35571.0;101152000.0;125600.0;0.0;0.0;75.43084597587585
90.0;1.0;41.0;55295.0;19707.0;35588.0;101170000.0;126000.0;1.0;0.0;76.1944649219513
93.0;0.0;42.0;55468.0;19863.0;35605.0;101188000.0;126400.0;0.0;2.0;75.9097318649292
96.0;0.0;42.0;55641.0;20016.0;35625.0;101206000.0;126800.0;2.0;2.0;76.66253089904785
99.0;0.0;42.0;55815.0;20176.0;35639.0;101215000.0;127000.0;0.0;1.0;76.12516498565674
102.0;2.0;42.0;55983.0;20328.0;35655.0;101278000.0;128400.0;0.0;3.0;76.35035014152527
105.0;0.0;44.0;56155.0;20490.0;35665.0;101305000.0;129000.0;0.0;3.0;76.22328495979309
108.0;0.0;44.0;56330.0;20657.0;35673.0;101305000.0;129000.0;0.0;0.0;77.0676212310791
111.0;0.0;44.0;56503.0;20815.0;35688.0;101323000.0;129400.0;0.0;2.0;76.08523607254028
114.0;0.0;44.0;56675.0;20967.0;35708.0;101350000.0;130000.0;0.0;3.0;76.71806383132935
117.0;0.0;44.0;56848.0;21120.0;35728.0;101368000.0;130400.0;0.0;2.0;77.41086912155151
120.0;0.0;44.0;57019.0;21277.0;35742.0;101404000.0;131200.0;0.0;4.0;76.66014504432678
123.0;1.0;44.0;57191.0;21439.0;35752.0;101431000.0;131800.0;1.0;1.0;77.15711712837219
126.0;0.0;45.0;57366.0;21593.0;35773.0;101431000.0;131800.0;0.0;0.0;77.65762495994568
129.0;0.0;45.0;57537.0;21749.0;35788.0;101467000.0;132600.0;0.0;4.0;78.00775289535522
132.0;0.0;45.0;57707.0;21908.0;35799.0;101512000.0;133600.0;2.0;5.0;77.8887071609497
135.0;0.0;45.0;57881.0;22056.0;35825.0;101521000.0;133800.0;0.0;1.0;79.064612865448
138.0;0.0;45.0;58053.0;22215.0;35838.0;101548000.0;134400.0;0.0;3.0;78.4528660774231
141.0;0.0;45.0;58227.0;22372.0;35855.0;101557000.0;134600.0;1.0;1.0;78.1428291797638
144.0;1.0;45.0;58396.0;22529.0;35867.0;101611000.0;135800.0;0.0;4.0;79.16113686561584
147.0;1.0;46.0;58568.0;22686.0;35882.0;101638000.0;136400.0;0.0;1.0;78.92037725448608
150.0;0.0;47.0;58740.0;22828.0;35912.0;101665000.0;137000.0;1.0;3.0;79.16800308227539
153.0;1.0;47.0;58911.0;22985.0;35926.0;101701000.0;137800.0;0.0;2.0;79.77520108222961
156.0;0.0;48.0;59086.0;23134.0;35952.0;101701000.0;137800.0;1.0;0.0;79.67325592041016
159.0;0.0;48.0;59261.0;23289.0;35972.0;101701000.0;137800.0;0.0;0.0;79.97545075416565
162.0;0.0;48.0;59435.0;23440.0;35995.0;101710000.0;138000.0;0.0;1.0;79.98191022872925
