Hubald model simulation data
""
starting_time = Sun Mar 10 13:46:57 2024
finishing_time = Mon Mar 11 04:33:34 2024
elapsed_time = 53196.831151008606 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;24.0;0.0;50214.0;15165.0;35049.0;100459000.0;110200.0;1.0;3.0;98.33981013298035
3.0;3.0;24.0;50467.0;15398.0;35069.0;100567000.0;112600.0;2.0;6.0;98.26825594902039
6.0;2.0;27.0;50726.0;15632.0;35094.0;100621000.0;113800.0;1.0;2.0;99.00640106201172
9.0;1.0;29.0;50987.0;15865.0;35122.0;100657000.0;114600.0;1.0;2.0;98.92138004302979
12.0;0.0;30.0;51250.0;16099.0;35151.0;100675000.0;115000.0;1.0;2.0;99.65370392799377
15.0;1.0;30.0;51510.0;16342.0;35168.0;100720000.0;116000.0;0.0;3.0;100.52607011795044
18.0;0.0;31.0;51773.0;16575.0;35198.0;100738000.0;116400.0;2.0;2.0;100.85931897163391
21.0;0.0;31.0;52033.0;16805.0;35228.0;100783000.0;117400.0;1.0;5.0;101.61365103721619
24.0;1.0;31.0;52292.0;17043.0;35249.0;100837000.0;118600.0;0.0;4.0;101.68507027626038
27.0;0.0;32.0;52557.0;17271.0;35286.0;100837000.0;118600.0;0.0;0.0;102.20336294174194
30.0;1.0;32.0;52817.0;17498.0;35319.0;100882000.0;119600.0;2.0;3.0;101.91336512565613
33.0;0.0;33.0;53080.0;17725.0;35355.0;100900000.0;120000.0;1.0;2.0;102.99191975593567
36.0;1.0;33.0;53341.0;17953.0;35388.0;100936000.0;120800.0;1.0;2.0;103.68093585968018
39.0;0.0;34.0;53604.0;18183.0;35421.0;100954000.0;121200.0;0.0;2.0;103.87118005752563
42.0;0.0;34.0;53867.0;18414.0;35453.0;100972000.0;121600.0;2.0;2.0;104.4375376701355
45.0;1.0;34.0;54129.0;18642.0;35487.0;100999000.0;122200.0;0.0;1.0;104.1710741519928
48.0;1.0;35.0;54391.0;18872.0;35519.0;101026000.0;122800.0;2.0;1.0;104.59049224853516
51.0;0.0;36.0;54653.0;19119.0;35534.0;101053000.0;123400.0;0.0;3.0;106.34808897972107
54.0;1.0;36.0;54913.0;19358.0;35555.0;101098000.0;124400.0;0.0;3.0;105.56822776794434
57.0;1.0;37.0;55171.0;19576.0;35595.0;101161000.0;125800.0;2.0;5.0;105.90232801437378
60.0;0.0;38.0;55434.0;19820.0;35614.0;101179000.0;126200.0;1.0;2.0;106.71423888206482
63.0;0.0;38.0;55698.0;20066.0;35632.0;101188000.0;126400.0;1.0;1.0;106.89276480674744
66.0;2.0;38.0;55957.0;20303.0;35654.0;101242000.0;127600.0;1.0;2.0;107.6750099658966
69.0;0.0;40.0;56221.0;20530.0;35691.0;101251000.0;127800.0;1.0;1.0;108.39926099777222
72.0;0.0;40.0;56483.0;20766.0;35717.0;101278000.0;128400.0;1.0;3.0;108.38934016227722
75.0;1.0;40.0;56745.0;20979.0;35766.0;101305000.0;129000.0;1.0;1.0;109.01610398292542
78.0;0.0;41.0;57007.0;21212.0;35795.0;101332000.0;129600.0;2.0;3.0;108.45442271232605
81.0;1.0;41.0;57266.0;21447.0;35819.0;101386000.0;130800.0;0.0;4.0;109.53406119346619
84.0;0.0;42.0;57525.0;21696.0;35829.0;101440000.0;132000.0;2.0;6.0;110.04676294326782
87.0;0.0;42.0;57788.0;21932.0;35856.0;101458000.0;132400.0;0.0;2.0;111.0712959766388
90.0;0.0;42.0;58049.0;22164.0;35885.0;101494000.0;133200.0;2.0;4.0;110.83601927757263
93.0;0.0;42.0;58311.0;22393.0;35918.0;101521000.0;133800.0;2.0;3.0;111.58275508880615
96.0;1.0;42.0;58573.0;22617.0;35956.0;101548000.0;134400.0;2.0;1.0;111.01910209655762
99.0;0.0;43.0;58835.0;22852.0;35983.0;101575000.0;135000.0;0.0;3.0;112.00752472877502
102.0;2.0;43.0;59091.0;23088.0;36003.0;101656000.0;136800.0;0.0;5.0;112.95053482055664
105.0;0.0;45.0;59354.0;23325.0;36029.0;101674000.0;137200.0;1.0;2.0;113.3777687549591
108.0;0.0;45.0;59617.0;23557.0;36060.0;101692000.0;137600.0;0.0;2.0;114.34922695159912
111.0;0.0;45.0;59875.0;23786.0;36089.0;101755000.0;139000.0;0.0;7.0;113.81690311431885
114.0;0.0;45.0;60137.0;24028.0;36109.0;101782000.0;139600.0;2.0;3.0;114.52376294136047
117.0;0.0;45.0;60400.0;24254.0;36146.0;101800000.0;140000.0;2.0;2.0;115.6325740814209
120.0;0.0;45.0;60660.0;24478.0;36182.0;101845000.0;141000.0;1.0;5.0;115.31487393379211
123.0;0.0;45.0;60921.0;24713.0;36208.0;101881000.0;141800.0;0.0;4.0;115.8046350479126
126.0;0.0;45.0;61182.0;24953.0;36229.0;101917000.0;142600.0;0.0;4.0;116.66042804718018
129.0;0.0;45.0;61445.0;25200.0;36245.0;101935000.0;143000.0;2.0;2.0;117.28630495071411
132.0;0.0;45.0;61706.0;25429.0;36277.0;101971000.0;143800.0;1.0;4.0;117.0210371017456
135.0;0.0;45.0;61967.0;25662.0;36305.0;102007000.0;144600.0;3.0;4.0;117.95057702064514
138.0;1.0;45.0;62226.0;25891.0;36335.0;102061000.0;145800.0;2.0;4.0;117.8978157043457
141.0;0.0;46.0;62489.0;26118.0;36371.0;102079000.0;146200.0;2.0;2.0;118.36849403381348
144.0;1.0;46.0;62748.0;26351.0;36397.0;102133000.0;147400.0;1.0;4.0;118.76942586898804
