Hubald model simulation data
""
starting_time = Mon Mar 11 04:33:39 2024
finishing_time = Tue Mar 12 11:42:41 2024
elapsed_time = 112142.41194605827 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 400
deorbits_per_timestep = 40
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;20.0;0.0;50315.0;15248.0;35067.0;100360000.0;108000.0;0.0;0.0;126.043208360672
3.0;4.0;20.0;50662.0;15557.0;35105.0;100432000.0;109600.0;1.0;0.0;126.76922798156738
6.0;2.0;24.0;51013.0;15868.0;35145.0;100468000.0;110400.0;1.0;0.0;128.44133520126343
9.0;0.0;26.0;51365.0;16185.0;35180.0;100495000.0;111000.0;1.0;3.0;131.2972810268402
12.0;1.0;26.0;51716.0;16492.0;35224.0;100531000.0;111800.0;1.0;2.0;129.71111822128296
15.0;0.0;27.0;52071.0;16794.0;35277.0;100531000.0;111800.0;0.0;0.0;130.30781507492065
18.0;0.0;27.0;52425.0;17103.0;35322.0;100540000.0;112000.0;0.0;1.0;131.07282972335815
21.0;0.0;27.0;52779.0;17415.0;35364.0;100549000.0;112200.0;1.0;1.0;132.36933040618896
24.0;0.0;27.0;53132.0;17734.0;35398.0;100567000.0;112600.0;1.0;2.0;132.99772906303406
27.0;0.0;27.0;53486.0;18036.0;35450.0;100576000.0;112800.0;1.0;1.0;132.87877821922302
30.0;0.0;27.0;53839.0;18350.0;35489.0;100594000.0;113200.0;0.0;2.0;134.492094039917
33.0;1.0;27.0;54191.0;18677.0;35514.0;100621000.0;113800.0;1.0;1.0;137.18680810928345
36.0;1.0;28.0;54541.0;18992.0;35549.0;100666000.0;114800.0;0.0;3.0;135.78432703018188
39.0;0.0;29.0;54894.0;19294.0;35600.0;100684000.0;115200.0;1.0;2.0;136.80464220046997
42.0;1.0;29.0;55246.0;19610.0;35636.0;100711000.0;115800.0;1.0;1.0;137.7297239303589
45.0;2.0;30.0;55597.0;19920.0;35677.0;100747000.0;116600.0;1.0;0.0;138.01817297935486
48.0;1.0;32.0;55950.0;20229.0;35721.0;100765000.0;117000.0;0.0;0.0;139.99498796463013
51.0;1.0;33.0;56302.0;20543.0;35759.0;100792000.0;117600.0;2.0;1.0;139.560298204422
54.0;0.0;34.0;56652.0;20854.0;35798.0;100837000.0;118600.0;0.0;5.0;141.05070281028748
57.0;0.0;34.0;57007.0;21172.0;35835.0;100837000.0;118600.0;3.0;0.0;142.06498980522156
60.0;0.0;34.0;57361.0;21497.0;35864.0;100846000.0;118800.0;0.0;1.0;142.3050513267517
