Hubald model simulation data
""
starting_time = Tue Mar 12 11:42:46 2024
finishing_time = Wed Mar 13 14:01:07 2024
elapsed_time = 94700.49071502686 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;0.0;50397.0;15334.0;35063.0;100432000.0;109600.0;0.0;4.0;155.51334881782532
3.0;3.0;22.0;50830.0;15714.0;35116.0;100540000.0;112000.0;1.0;6.0;155.61183309555054
6.0;0.0;25.0;51270.0;16103.0;35167.0;100585000.0;113000.0;2.0;5.0;157.8393120765686
9.0;3.0;25.0;51703.0;16483.0;35220.0;100693000.0;115400.0;0.0;6.0;158.41099786758423
12.0;1.0;28.0;52142.0;16868.0;35274.0;100747000.0;116600.0;0.0;4.0;159.882954120636
15.0;1.0;29.0;52585.0;17262.0;35323.0;100765000.0;117000.0;2.0;0.0;160.38847422599792
18.0;0.0;30.0;53027.0;17657.0;35370.0;100792000.0;117600.0;2.0;3.0;162.4090838432312
21.0;1.0;30.0;53469.0;18042.0;35427.0;100819000.0;118200.0;1.0;1.0;163.98811411857605
24.0;0.0;31.0;53909.0;18431.0;35478.0;100864000.0;119200.0;1.0;5.0;164.86205792427063
27.0;1.0;31.0;54350.0;18821.0;35529.0;100900000.0;120000.0;0.0;2.0;165.90777277946472
30.0;2.0;32.0;54786.0;19216.0;35570.0;100981000.0;121800.0;1.0;5.0;167.24303078651428
33.0;0.0;34.0;55228.0;19610.0;35618.0;101008000.0;122400.0;1.0;3.0;168.40391182899475
36.0;0.0;34.0;55673.0;20004.0;35669.0;101008000.0;122400.0;0.0;0.0;170.6641399860382
39.0;0.0;34.0;56114.0;20401.0;35713.0;101044000.0;123200.0;0.0;4.0;171.5053949356079
42.0;0.0;34.0;56553.0;20787.0;35766.0;101098000.0;124400.0;1.0;6.0;172.89131093025208
45.0;0.0;34.0;56994.0;21187.0;35807.0;101134000.0;125200.0;1.0;4.0;173.7751784324646
48.0;0.0;34.0;57437.0;21566.0;35871.0;101152000.0;125600.0;0.0;2.0;175.023597240448
51.0;0.0;34.0;57877.0;21956.0;35921.0;101197000.0;126600.0;1.0;5.0;175.85334992408752
54.0;0.0;34.0;58320.0;22350.0;35970.0;101215000.0;127000.0;2.0;2.0;178.958557844162
