Hubald model simulation data
""
starting_time = Wed Mar 13 14:01:12 2024
finishing_time = Thu Mar 14 10:23:55 2024
elapsed_time = 73363.4513258934 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 300
deorbits_per_timestep = 30
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;0.0;50222.0;15160.0;35062.0;100387000.0;108600.0;0.0;1.0;100.98913407325745
3.0;1.0;21.0;50485.0;15392.0;35093.0;100405000.0;109000.0;1.0;0.0;101.7229380607605
6.0;1.0;22.0;50748.0;15633.0;35115.0;100423000.0;109400.0;0.0;0.0;101.13744568824768
9.0;1.0;23.0;51009.0;15870.0;35139.0;100459000.0;110200.0;0.0;2.0;101.51853704452515
12.0;1.0;24.0;51271.0;16107.0;35164.0;100486000.0;110800.0;0.0;1.0;102.59868597984314
15.0;0.0;25.0;51536.0;16337.0;35199.0;100486000.0;110800.0;1.0;0.0;102.99681210517883
18.0;1.0;25.0;51798.0;16571.0;35227.0;100513000.0;111400.0;1.0;1.0;102.8427848815918
21.0;0.0;26.0;52061.0;16801.0;35260.0;100531000.0;111800.0;0.0;2.0;103.54673480987549
24.0;3.0;26.0;52318.0;17034.0;35284.0;100603000.0;113400.0;0.0;2.0;104.66900515556335
27.0;0.0;29.0;52583.0;17276.0;35307.0;100603000.0;113400.0;0.0;0.0;104.81283569335938
30.0;1.0;29.0;52846.0;17510.0;35336.0;100621000.0;113800.0;0.0;0.0;104.76367378234863
33.0;1.0;30.0;53107.0;17739.0;35368.0;100657000.0;114600.0;0.0;2.0;105.86954712867737
36.0;1.0;31.0;53368.0;17959.0;35409.0;100693000.0;115400.0;1.0;2.0;105.98591017723083
39.0;0.0;32.0;53632.0;18189.0;35443.0;100702000.0;115600.0;0.0;1.0;107.57906413078308
42.0;1.0;32.0;53893.0;18420.0;35473.0;100738000.0;116400.0;0.0;2.0;107.38796997070312
45.0;0.0;33.0;54155.0;18651.0;35504.0;100765000.0;117000.0;1.0;3.0;107.30728483200073
48.0;0.0;33.0;54420.0;18892.0;35528.0;100765000.0;117000.0;0.0;0.0;107.65052103996277
51.0;0.0;33.0;54681.0;19130.0;35551.0;100801000.0;117800.0;0.0;4.0;107.86666917800903
54.0;0.0;33.0;54946.0;19368.0;35578.0;100801000.0;117800.0;1.0;0.0;108.15847706794739
57.0;0.0;33.0;55209.0;19594.0;35615.0;100819000.0;118200.0;0.0;2.0;108.97700929641724
60.0;2.0;33.0;55467.0;19820.0;35647.0;100882000.0;119600.0;1.0;3.0;109.48512530326843
63.0;0.0;35.0;55729.0;20054.0;35675.0;100909000.0;120200.0;0.0;3.0;109.19158720970154
66.0;1.0;35.0;55992.0;20287.0;35705.0;100927000.0;120600.0;4.0;0.0;111.09838080406189
69.0;0.0;36.0;56255.0;20521.0;35734.0;100945000.0;121000.0;0.0;2.0;110.30219006538391
72.0;1.0;36.0;56515.0;20762.0;35753.0;100990000.0;122000.0;1.0;3.0;111.7018129825592
75.0;0.0;37.0;56776.0;20991.0;35785.0;101026000.0;122800.0;3.0;4.0;112.11776399612427
78.0;2.0;37.0;57037.0;21223.0;35814.0;101062000.0;123600.0;0.0;0.0;112.05889391899109
81.0;0.0;39.0;57299.0;21461.0;35838.0;101089000.0;124200.0;0.0;3.0;112.21269297599792
84.0;0.0;39.0;57563.0;21691.0;35872.0;101098000.0;124400.0;0.0;1.0;112.9729380607605
87.0;0.0;39.0;57827.0;21917.0;35910.0;101107000.0;124600.0;1.0;1.0;113.62259602546692
90.0;0.0;39.0;58091.0;22139.0;35952.0;101116000.0;124800.0;0.0;1.0;113.21245408058167
93.0;0.0;39.0;58354.0;22373.0;35981.0;101134000.0;125200.0;0.0;2.0;114.17308807373047
96.0;0.0;39.0;58616.0;22610.0;36006.0;101161000.0;125800.0;1.0;3.0;114.03930711746216
99.0;1.0;39.0;58879.0;22852.0;36027.0;101179000.0;126200.0;0.0;0.0;115.26755404472351
102.0;0.0;40.0;59144.0;23082.0;36062.0;101179000.0;126200.0;0.0;0.0;115.0380232334137
105.0;0.0;40.0;59407.0;23314.0;36093.0;101197000.0;126600.0;0.0;2.0;116.43472099304199
108.0;0.0;40.0;59669.0;23547.0;36122.0;101224000.0;127200.0;1.0;3.0;114.38620281219482
111.0;0.0;40.0;59931.0;23776.0;36155.0;101251000.0;127800.0;0.0;3.0;111.22717118263245
