Hubald model simulation data
""
starting_time = Thu Mar 14 10:24:00 2024
finishing_time = Thu Mar 14 20:05:23 2024
elapsed_time = 34883.368700027466 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 20
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;21.0;0.0;50128.0;15081.0;35047.0;100423000.0;109400.0;0.0;5.0;70.25742316246033
3.0;4.0;21.0;50290.0;15241.0;35049.0;100540000.0;112000.0;1.0;5.0;69.75318193435669
6.0;1.0;25.0;50462.0;15394.0;35068.0;100567000.0;112600.0;0.0;1.0;70.32316422462463
9.0;1.0;26.0;50627.0;15542.0;35085.0;100657000.0;114600.0;0.0;8.0;70.48864388465881
12.0;1.0;27.0;50799.0;15692.0;35107.0;100684000.0;115200.0;0.0;1.0;70.84322500228882
15.0;1.0;28.0;50969.0;15843.0;35126.0;100729000.0;116200.0;2.0;3.0;71.09530186653137
18.0;1.0;29.0;51141.0;15999.0;35142.0;100756000.0;116800.0;1.0;1.0;70.60684895515442
21.0;0.0;30.0;51314.0;16158.0;35156.0;100774000.0;117200.0;1.0;2.0;70.90486407279968
24.0;1.0;30.0;51487.0;16319.0;35168.0;100792000.0;117600.0;1.0;0.0;71.06851887702942
27.0;2.0;31.0;51657.0;16472.0;35185.0;100837000.0;118600.0;1.0;1.0;72.14298009872437
30.0;2.0;33.0;51827.0;16617.0;35210.0;100882000.0;119600.0;1.0;1.0;72.04838109016418
33.0;0.0;35.0;51998.0;16783.0;35215.0;100918000.0;120400.0;1.0;4.0;71.91737604141235
36.0;0.0;35.0;52167.0;16934.0;35233.0;100972000.0;121600.0;1.0;6.0;72.11991500854492
39.0;0.0;35.0;52338.0;17088.0;35250.0;101008000.0;122400.0;0.0;4.0;72.79488205909729
42.0;0.0;35.0;52511.0;17241.0;35270.0;101026000.0;122800.0;2.0;2.0;72.52160310745239
45.0;0.0;35.0;52682.0;17395.0;35287.0;101062000.0;123600.0;2.0;4.0;72.68488717079163
48.0;0.0;35.0;52851.0;17547.0;35304.0;101116000.0;124800.0;0.0;6.0;72.62241673469543
51.0;0.0;35.0;53023.0;17699.0;35324.0;101143000.0;125400.0;2.0;3.0;73.27841091156006
54.0;0.0;35.0;53196.0;17844.0;35352.0;101161000.0;125800.0;2.0;2.0;73.09836912155151
57.0;0.0;35.0;53368.0;17996.0;35372.0;101188000.0;126400.0;3.0;3.0;73.26009106636047
60.0;0.0;35.0;53541.0;18151.0;35390.0;101206000.0;126800.0;0.0;2.0;73.66167902946472
63.0;0.0;35.0;53711.0;18309.0;35402.0;101251000.0;127800.0;0.0;5.0;73.27018976211548
66.0;1.0;35.0;53884.0;18473.0;35411.0;101269000.0;128200.0;2.0;0.0;73.46795606613159
69.0;1.0;36.0;54054.0;18617.0;35437.0;101314000.0;129200.0;0.0;3.0;74.17336916923523
72.0;0.0;37.0;54227.0;18767.0;35460.0;101332000.0;129600.0;1.0;2.0;74.75721502304077
