Hubald model simulation data
""
starting_time = Thu Mar 14 20:05:28 2024
finishing_time = Fri Mar 15 01:45:07 2024
elapsed_time = 20379.61961913109 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;0.0;50015.0;14990.0;35025.0;100423000.0;109400.0;1.0;3.0;34.920949935913086
3.0;1.0;22.0;50098.0;15060.0;35038.0;100441000.0;109800.0;1.0;0.0;40.83626389503479
6.0;2.0;23.0;50178.0;15133.0;35045.0;100486000.0;110800.0;0.0;1.0;41.30760097503662
9.0;0.0;25.0;50263.0;15202.0;35061.0;100486000.0;110800.0;0.0;0.0;41.26984786987305
12.0;2.0;25.0;50343.0;15275.0;35068.0;100531000.0;111800.0;1.0;1.0;41.36231827735901
15.0;1.0;27.0;50424.0;15347.0;35077.0;100567000.0;112600.0;1.0;2.0;41.45918083190918
18.0;3.0;28.0;50501.0;15429.0;35072.0;100639000.0;114200.0;1.0;2.0;41.57499313354492
21.0;1.0;31.0;50584.0;15503.0;35081.0;100657000.0;114600.0;1.0;0.0;42.113460063934326
24.0;1.0;32.0;50665.0;15578.0;35087.0;100693000.0;115400.0;0.0;2.0;42.08522582054138
27.0;0.0;33.0;50748.0;15659.0;35089.0;100711000.0;115800.0;0.0;2.0;42.05755686759949
30.0;0.0;33.0;50833.0;15736.0;35097.0;100711000.0;115800.0;0.0;0.0;42.1392457485199
33.0;1.0;33.0;50914.0;15813.0;35101.0;100747000.0;116600.0;1.0;2.0;42.35603594779968
36.0;1.0;34.0;50994.0;15881.0;35113.0;100792000.0;117600.0;1.0;3.0;42.21524620056152
39.0;0.0;35.0;51078.0;15965.0;35113.0;100801000.0;117800.0;0.0;1.0;42.498563051223755
