Hubald model simulation data
""
starting_time = Fri Mar 15 01:45:12 2024
finishing_time = Sat Mar 16 21:51:38 2024
elapsed_time = 158786.35854506493 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;0.0;50397.0;15317.0;35080.0;100432000.0;109600.0;1.0;2.0;155.50751781463623
3.0;1.0;23.0;50839.0;15718.0;35121.0;100459000.0;110200.0;0.0;1.0;156.44974493980408
6.0;3.0;24.0;51278.0;16100.0;35178.0;100513000.0;111400.0;0.0;0.0;157.30125904083252
9.0;3.0;27.0;51716.0;16497.0;35219.0;100576000.0;112800.0;0.0;1.0;158.91684317588806
12.0;1.0;30.0;52158.0;16903.0;35255.0;100603000.0;113400.0;0.0;1.0;160.36498093605042
15.0;0.0;31.0;52600.0;17291.0;35309.0;100630000.0;114000.0;0.0;3.0;161.87465810775757
18.0;2.0;31.0;53040.0;17705.0;35335.0;100675000.0;115000.0;0.0;1.0;162.46936702728271
21.0;2.0;33.0;53480.0;18108.0;35372.0;100720000.0;116000.0;0.0;1.0;163.15858912467957
24.0;0.0;35.0;53922.0;18509.0;35413.0;100747000.0;116600.0;1.0;3.0;164.59239196777344
27.0;0.0;35.0;54365.0;18910.0;35455.0;100765000.0;117000.0;0.0;2.0;165.7942349910736
30.0;1.0;35.0;54806.0;19309.0;35497.0;100801000.0;117800.0;1.0;2.0;166.0956060886383
33.0;2.0;36.0;55245.0;19703.0;35542.0;100855000.0;119000.0;0.0;2.0;169.0365731716156
36.0;0.0;38.0;55688.0;20107.0;35581.0;100873000.0;119400.0;0.0;2.0;170.43089365959167
39.0;3.0;38.0;56125.0;20484.0;35641.0;100945000.0;121000.0;1.0;2.0;170.52487182617188
42.0;0.0;41.0;56569.0;20890.0;35679.0;100954000.0;121200.0;1.0;1.0;172.67036390304565
45.0;0.0;41.0;57010.0;21270.0;35740.0;100990000.0;122000.0;0.0;4.0;174.0439648628235
48.0;3.0;41.0;57447.0;21673.0;35774.0;101062000.0;123600.0;1.0;2.0;176.39397406578064
51.0;1.0;44.0;57890.0;22044.0;35846.0;101080000.0;124000.0;0.0;0.0;177.25889110565186
54.0;0.0;45.0;58334.0;22454.0;35880.0;101089000.0;124200.0;0.0;1.0;177.1128749847412
57.0;1.0;45.0;58776.0;22838.0;35938.0;101116000.0;124800.0;0.0;1.0;177.1666398048401
60.0;0.0;46.0;59221.0;23231.0;35990.0;101116000.0;124800.0;1.0;0.0;180.01109290122986
63.0;0.0;46.0;59662.0;23622.0;36040.0;101152000.0;125600.0;0.0;4.0;180.19161319732666
66.0;2.0;46.0;60102.0;24007.0;36095.0;101197000.0;126600.0;1.0;1.0;181.3241310119629
69.0;0.0;48.0;60544.0;24397.0;36147.0;101224000.0;127200.0;1.0;3.0;183.72097611427307
72.0;0.0;48.0;60988.0;24798.0;36190.0;101233000.0;127400.0;0.0;1.0;183.5056869983673
75.0;1.0;48.0;61430.0;25167.0;36263.0;101260000.0;128000.0;2.0;1.0;185.88365530967712
78.0;0.0;49.0;61872.0;25531.0;36341.0;101287000.0;128600.0;0.0;3.0;187.12227296829224
81.0;0.0;49.0;62315.0;25942.0;36373.0;101305000.0;129000.0;2.0;2.0;188.3238480091095
84.0;1.0;49.0;62758.0;26350.0;36408.0;101323000.0;129400.0;1.0;0.0;189.25185918807983
87.0;0.0;50.0;63201.0;26742.0;36459.0;101341000.0;129800.0;1.0;2.0;192.77376198768616
90.0;0.0;50.0;63644.0;27143.0;36501.0;101359000.0;130200.0;1.0;2.0;191.93392491340637
93.0;0.0;50.0;64087.0;27532.0;36555.0;101377000.0;130600.0;1.0;2.0;194.35100889205933
