Hubald model simulation data
""
starting_time = Sat Mar 16 21:51:43 2024
finishing_time = Sun Mar 17 17:44:48 2024
elapsed_time = 71584.68098473549 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 400
deorbits_per_timestep = 40
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;23.0;0.0;50309.0;15254.0;35055.0;100414000.0;109200.0;0.0;0.0;126.76921486854553
3.0;0.0;23.0;50661.0;15574.0;35087.0;100441000.0;109800.0;1.0;3.0;126.55784821510315
6.0;5.0;23.0;51001.0;15884.0;35117.0;100576000.0;112800.0;0.0;5.0;128.22889113426208
9.0;0.0;28.0;51354.0;16196.0;35158.0;100594000.0;113200.0;0.0;2.0;128.3604700565338
12.0;1.0;28.0;51702.0;16506.0;35196.0;100657000.0;114600.0;0.0;5.0;129.20293974876404
15.0;1.0;29.0;52053.0;16808.0;35245.0;100693000.0;115400.0;1.0;2.0;130.2407350540161
18.0;1.0;30.0;52404.0;17117.0;35287.0;100729000.0;116200.0;3.0;2.0;131.39216208457947
21.0;1.0;31.0;52753.0;17431.0;35322.0;100783000.0;117400.0;3.0;4.0;131.85050988197327
24.0;0.0;32.0;53105.0;17768.0;35337.0;100810000.0;118000.0;0.0;3.0;131.56368494033813
27.0;1.0;32.0;53456.0;18089.0;35367.0;100846000.0;118800.0;0.0;2.0;132.62825798988342
30.0;1.0;33.0;53805.0;18383.0;35422.0;100900000.0;120000.0;1.0;4.0;134.7037160396576
33.0;0.0;34.0;54155.0;18693.0;35462.0;100945000.0;121000.0;0.0;5.0;134.47424936294556
36.0;0.0;34.0;54508.0;19019.0;35489.0;100963000.0;121400.0;0.0;2.0;135.4662311077118
39.0;0.0;34.0;54860.0;19343.0;35517.0;100990000.0;122000.0;2.0;3.0;136.39232683181763
42.0;0.0;34.0;55211.0;19654.0;35557.0;101026000.0;122800.0;0.0;4.0;136.76477813720703
45.0;0.0;34.0;55566.0;19961.0;35605.0;101026000.0;122800.0;2.0;0.0;137.72146582603455
48.0;1.0;34.0;55918.0;20283.0;35635.0;101053000.0;123400.0;0.0;1.0;139.15843510627747
51.0;0.0;35.0;56270.0;20582.0;35688.0;101080000.0;124000.0;1.0;3.0;139.71750712394714
54.0;0.0;35.0;56620.0;20882.0;35738.0;101125000.0;125000.0;1.0;5.0;140.85336112976074
57.0;1.0;35.0;56967.0;21194.0;35773.0;101197000.0;126600.0;0.0;6.0;141.40879106521606
60.0;0.0;36.0;57320.0;21522.0;35798.0;101215000.0;127000.0;1.0;2.0;141.23243689537048
63.0;2.0;36.0;57669.0;21836.0;35833.0;101269000.0;128200.0;1.0;2.0;142.935644865036
66.0;0.0;38.0;58020.0;22152.0;35868.0;101305000.0;129000.0;2.0;4.0;142.6190710067749
69.0;0.0;38.0;58369.0;22458.0;35911.0;101359000.0;130200.0;0.0;6.0;144.3536298274994
72.0;0.0;38.0;58722.0;22774.0;35948.0;101377000.0;130600.0;1.0;2.0;144.68693685531616
75.0;0.0;38.0;59073.0;23087.0;35986.0;101413000.0;131400.0;0.0;4.0;146.07031917572021
78.0;1.0;38.0;59420.0;23400.0;36020.0;101485000.0;133000.0;1.0;6.0;146.2910511493683
81.0;0.0;39.0;59772.0;23720.0;36052.0;101512000.0;133600.0;0.0;3.0;146.8828296661377
84.0;0.0;39.0;60122.0;24025.0;36097.0;101557000.0;134600.0;0.0;5.0;147.49236702919006
87.0;0.0;39.0;60473.0;24353.0;36120.0;101593000.0;135400.0;0.0;4.0;148.4521358013153
90.0;1.0;39.0;60825.0;24672.0;36153.0;101620000.0;136000.0;2.0;1.0;150.32817006111145
93.0;0.0;40.0;61178.0;24990.0;36188.0;101638000.0;136400.0;0.0;2.0;150.53051805496216
96.0;0.0;40.0;61528.0;25302.0;36226.0;101683000.0;137400.0;1.0;5.0;151.99583315849304
99.0;0.0;40.0;61876.0;25626.0;36250.0;101746000.0;138800.0;3.0;7.0;151.70762491226196
102.0;0.0;40.0;62228.0;25939.0;36289.0;101773000.0;139400.0;2.0;3.0;152.22931289672852
105.0;2.0;40.0;62575.0;26259.0;36316.0;101845000.0;141000.0;2.0;4.0;152.91388511657715
108.0;0.0;42.0;62923.0;26578.0;36345.0;101908000.0;142400.0;1.0;7.0;153.78306484222412
111.0;0.0;42.0;63272.0;26879.0;36393.0;101962000.0;143600.0;1.0;6.0;154.93970727920532
114.0;0.0;42.0;63623.0;27183.0;36440.0;101998000.0;144400.0;3.0;4.0;155.35999989509583
117.0;0.0;42.0;63970.0;27490.0;36480.0;102070000.0;146000.0;0.0;8.0;157.7264678478241
120.0;0.0;42.0;64322.0;27801.0;36521.0;102097000.0;146600.0;1.0;3.0;157.47135305404663
123.0;1.0;42.0;64670.0;28130.0;36540.0;102160000.0;148000.0;1.0;5.0;158.3235628604889
126.0;0.0;43.0;65016.0;28431.0;36585.0;102241000.0;149800.0;3.0;9.0;157.82744812965393
129.0;0.0;43.0;65367.0;28752.0;36615.0;102277000.0;150600.0;0.0;4.0;159.24598288536072
132.0;0.0;43.0;65716.0;29054.0;36662.0;102331000.0;151800.0;0.0;6.0;159.5803771018982
135.0;1.0;43.0;66062.0;29367.0;36695.0;102412000.0;153600.0;1.0;7.0;160.9750621318817
138.0;0.0;44.0;66409.0;29679.0;36730.0;102484000.0;155200.0;1.0;8.0;161.3677179813385
141.0;1.0;44.0;66756.0;29982.0;36774.0;102556000.0;156800.0;1.0;6.0;162.2370800971985
144.0;0.0;45.0;67105.0;30297.0;36808.0;102610000.0;158000.0;0.0;6.0;163.1471848487854
147.0;0.0;45.0;67458.0;30622.0;36836.0;102628000.0;158400.0;2.0;2.0;164.29491877555847
150.0;0.0;45.0;67804.0;30946.0;36858.0;102709000.0;160200.0;0.0;9.0;164.40055298805237
153.0;0.0;45.0;68157.0;31261.0;36896.0;102727000.0;160600.0;0.0;2.0;164.9928331375122
156.0;0.0;45.0;68510.0;31575.0;36935.0;102745000.0;161000.0;1.0;2.0;165.86962795257568
159.0;0.0;45.0;68860.0;31888.0;36972.0;102790000.0;162000.0;2.0;5.0;167.54018998146057
162.0;0.0;45.0;69211.0;32186.0;37025.0;102826000.0;162800.0;2.0;4.0;167.98948001861572
165.0;1.0;45.0;69562.0;32500.0;37062.0;102862000.0;163600.0;2.0;2.0;168.4751958847046
168.0;0.0;46.0;69910.0;32820.0;37090.0;102925000.0;165000.0;0.0;7.0;171.16168403625488
171.0;0.0;46.0;70261.0;33127.0;37134.0;102961000.0;165800.0;4.0;4.0;170.42161107063293
174.0;0.0;46.0;70609.0;33420.0;37189.0;103024000.0;167200.0;2.0;7.0;171.29901385307312
177.0;0.0;46.0;70956.0;33724.0;37232.0;103096000.0;168800.0;1.0;8.0;173.40440702438354
180.0;0.0;46.0;71307.0;34026.0;37281.0;103132000.0;169600.0;5.0;4.0;174.13558292388916
183.0;0.0;46.0;71656.0;34333.0;37323.0;103186000.0;170800.0;0.0;6.0;172.11411714553833
186.0;0.0;46.0;72002.0;34637.0;37365.0;103267000.0;172600.0;1.0;9.0;173.80885577201843
189.0;0.0;46.0;72342.0;34950.0;37392.0;103402000.0;175600.0;0.0;15.0;173.5818510055542
192.0;0.0;46.0;72689.0;35278.0;37411.0;103474000.0;177200.0;2.0;8.0;175.2723400592804
195.0;1.0;46.0;73034.0;35596.0;37438.0;103564000.0;179200.0;2.0;8.0;175.663822889328
198.0;0.0;47.0;73381.0;35904.0;37477.0;103636000.0;180800.0;3.0;8.0;176.56578993797302
201.0;0.0;47.0;73728.0;36226.0;37502.0;103708000.0;182400.0;1.0;8.0;178.50176787376404
204.0;1.0;47.0;74078.0;36539.0;37539.0;103753000.0;183400.0;5.0;3.0;178.65664315223694
207.0;1.0;48.0;74427.0;36852.0;37575.0;103807000.0;184600.0;3.0;4.0;179.48179507255554
210.0;0.0;49.0;74774.0;37167.0;37607.0;103879000.0;186200.0;2.0;8.0;179.71868991851807
213.0;0.0;49.0;75123.0;37490.0;37633.0;103933000.0;187400.0;2.0;6.0;181.68897199630737
216.0;0.0;49.0;75469.0;37806.0;37663.0;104014000.0;189200.0;2.0;9.0;180.23219680786133
219.0;0.0;49.0;75819.0;38122.0;37697.0;104059000.0;190200.0;3.0;5.0;183.30808281898499
222.0;0.0;49.0;76162.0;38433.0;37729.0;104167000.0;192600.0;0.0;12.0;183.5928030014038
225.0;0.0;49.0;76509.0;38732.0;37777.0;104239000.0;194200.0;1.0;8.0;184.73358702659607
228.0;0.0;49.0;76860.0;39049.0;37811.0;104275000.0;195000.0;3.0;4.0;184.86705565452576
231.0;0.0;49.0;77208.0;39364.0;37844.0;104338000.0;196400.0;3.0;7.0;185.20211601257324
234.0;1.0;49.0;77551.0;39688.0;37863.0;104446000.0;198800.0;0.0;10.0;185.8843150138855
237.0;0.0;50.0;77896.0;39996.0;37900.0;104536000.0;200800.0;2.0;10.0;187.42769479751587
240.0;0.0;50.0;78240.0;40311.0;37929.0;104635000.0;203000.0;2.0;11.0;189.44156289100647
243.0;0.0;50.0;78582.0;40632.0;37950.0;104752000.0;205600.0;1.0;13.0;187.97225904464722
246.0;0.0;50.0;78926.0;40927.0;37999.0;104851000.0;207800.0;2.0;11.0;190.16053676605225
249.0;2.0;50.0;79269.0;41237.0;38032.0;104959000.0;210200.0;1.0;8.0;190.34080815315247
252.0;0.0;52.0;79615.0;41559.0;38056.0;105040000.0;212000.0;4.0;9.0;191.14671087265015
255.0;0.0;52.0;79961.0;41870.0;38091.0;105121000.0;213800.0;3.0;9.0;191.21230959892273
258.0;0.0;52.0;80307.0;42190.0;38117.0;105202000.0;215600.0;3.0;9.0;192.31594896316528
261.0;0.0;52.0;80656.0;42506.0;38150.0;105256000.0;216800.0;2.0;6.0;192.0329110622406
264.0;0.0;52.0;80998.0;42816.0;38182.0;105373000.0;219400.0;1.0;13.0;192.85893607139587
267.0;0.0;52.0;81348.0;43119.0;38229.0;105418000.0;220400.0;5.0;5.0;194.6383020877838
270.0;1.0;52.0;81696.0;43441.0;38255.0;105481000.0;221800.0;1.0;5.0;195.90678095817566
273.0;0.0;53.0;82042.0;43763.0;38279.0;105562000.0;223600.0;1.0;9.0;197.4361069202423
276.0;0.0;53.0;82387.0;44054.0;38333.0;105652000.0;225600.0;4.0;10.0;197.13110399246216
279.0;0.0;53.0;82731.0;44373.0;38358.0;105751000.0;227800.0;2.0;11.0;197.08985781669617
282.0;0.0;53.0;83077.0;44673.0;38404.0;105832000.0;229600.0;2.0;9.0;199.82197976112366
285.0;0.0;53.0;83426.0;44986.0;38440.0;105886000.0;230800.0;4.0;6.0;199.21301770210266
288.0;0.0;53.0;83765.0;45299.0;38466.0;106030000.0;234000.0;2.0;16.0;199.9254379272461
291.0;0.0;53.0;84107.0;45605.0;38502.0;106147000.0;236600.0;2.0;13.0;201.66375398635864
294.0;0.0;53.0;84454.0;45922.0;38532.0;106219000.0;238200.0;2.0;8.0;201.39443588256836
297.0;0.0;53.0;84796.0;46228.0;38568.0;106336000.0;240800.0;4.0;13.0;202.4803900718689
300.0;0.0;53.0;85144.0;46540.0;38604.0;106399000.0;242200.0;3.0;7.0;203.21911120414734
303.0;0.0;53.0;85490.0;46843.0;38647.0;106480000.0;244000.0;0.0;9.0;203.36867094039917
306.0;0.0;53.0;85833.0;47153.0;38680.0;106588000.0;246400.0;2.0;12.0;203.43074989318848
309.0;0.0;53.0;86173.0;47454.0;38719.0;106723000.0;249400.0;4.0;15.0;204.77544903755188
312.0;0.0;53.0;86513.0;47755.0;38758.0;106858000.0;252400.0;3.0;15.0;205.84082102775574
315.0;0.0;53.0;86850.0;48069.0;38781.0;107020000.0;256000.0;3.0;18.0;207.17996191978455
318.0;0.0;53.0;87187.0;48386.0;38801.0;107182000.0;259600.0;1.0;18.0;207.05983996391296
321.0;0.0;53.0;87534.0;48685.0;38849.0;107254000.0;261200.0;2.0;8.0;207.42196679115295
