Hubald model simulation data
""
starting_time = Fri Sep 22 15:15:57 2023
finishing_time = Fri Sep 22 21:56:44 2023
elapsed_time = 24047.447558879852 s
starting_sats = 40000
sigma = 2000
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 50
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments
0.0;11.0;11.0;40005.0;12124.0;27881.0;100000000.0;100000.0
3.0;2.0;13.0;40041.0;12166.0;27875.0;100050000.0;100200.0
6.0;1.0;14.0;40036.0;12167.0;27869.0;100200000.0;100800.0
9.0;1.0;15.0;40041.0;12178.0;27863.0;100300000.0;101200.0
12.0;2.0;17.0;40051.0;12195.0;27856.0;100400000.0;101600.0
15.0;0.0;17.0;40076.0;12220.0;27856.0;100400000.0;101600.0
18.0;0.0;17.0;40093.0;12239.0;27854.0;100400000.0;101600.0
21.0;1.0;18.0;40121.0;12273.0;27848.0;100450000.0;101800.0
24.0;2.0;20.0;40136.0;12296.0;27840.0;100500000.0;102000.0
27.0;0.0;20.0;40171.0;12336.0;27835.0;100550000.0;102200.0
30.0;1.0;21.0;40180.0;12350.0;27830.0;100600000.0;102400.0
33.0;0.0;21.0;40221.0;12393.0;27828.0;100600000.0;102400.0
36.0;0.0;21.0;40239.0;12413.0;27826.0;100700000.0;102800.0
39.0;0.0;21.0;40267.0;12442.0;27825.0;100700000.0;102800.0
42.0;0.0;21.0;40294.0;12470.0;27824.0;100800000.0;103200.0
45.0;0.0;21.0;40341.0;12518.0;27823.0;100800000.0;103200.0
48.0;0.0;21.0;40381.0;12562.0;27819.0;100850000.0;103400.0
51.0;1.0;22.0;40383.0;12566.0;27817.0;100850000.0;103400.0
54.0;0.0;22.0;40401.0;12586.0;27815.0;100850000.0;103400.0
57.0;0.0;22.0;40426.0;12614.0;27812.0;100950000.0;103800.0
60.0;0.0;22.0;40423.0;12615.0;27808.0;101100000.0;104400.0
