Hubald model simulation data
""
starting_time = Fri Sep 22 21:56:48 2023
finishing_time = Sat Sep 23 07:49:17 2023
elapsed_time = 35549.122505903244 s
starting_sats = 40000
sigma = 2000
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments
0.0;17.0;17.0;39987.0;12061.0;27926.0;100000000.0;100000.0
3.0;4.0;21.0;40044.0;12126.0;27918.0;100000000.0;100000.0
6.0;3.0;24.0;40060.0;12149.0;27911.0;100050000.0;100200.0
9.0;2.0;26.0;40149.0;12245.0;27904.0;100100000.0;100400.0
12.0;2.0;28.0;40158.0;12257.0;27901.0;100100000.0;100400.0
15.0;2.0;30.0;40230.0;12338.0;27892.0;100150000.0;100600.0
18.0;2.0;32.0;40296.0;12411.0;27885.0;100250000.0;101000.0
21.0;0.0;32.0;40300.0;12419.0;27881.0;100450000.0;101800.0
24.0;0.0;32.0;40353.0;12475.0;27878.0;100500000.0;102000.0
27.0;0.0;32.0;40392.0;12514.0;27878.0;100500000.0;102000.0
30.0;2.0;34.0;40481.0;12611.0;27870.0;100500000.0;102000.0
33.0;2.0;36.0;40532.0;12667.0;27865.0;100550000.0;102200.0
36.0;0.0;36.0;40629.0;12766.0;27863.0;100600000.0;102400.0
39.0;0.0;36.0;40719.0;12857.0;27862.0;100600000.0;102400.0
42.0;1.0;37.0;40782.0;12926.0;27856.0;100650000.0;102600.0
45.0;0.0;37.0;40843.0;12988.0;27855.0;100700000.0;102800.0
48.0;1.0;38.0;40840.0;12989.0;27851.0;100850000.0;103400.0
51.0;0.0;38.0;40840.0;12991.0;27849.0;101000000.0;104000.0
54.0;0.0;38.0;40871.0;13023.0;27848.0;101150000.0;104600.0
57.0;0.0;38.0;40923.0;13075.0;27848.0;101200000.0;104800.0
60.0;1.0;39.0;41015.0;13169.0;27846.0;101200000.0;104800.0
63.0;1.0;40.0;41091.0;13251.0;27840.0;101200000.0;104800.0
66.0;1.0;41.0;41140.0;13302.0;27838.0;101200000.0;104800.0
69.0;0.0;41.0;41191.0;13354.0;27837.0;101200000.0;104800.0
72.0;1.0;42.0;41223.0;13387.0;27836.0;101200000.0;104800.0
75.0;1.0;43.0;41256.0;13427.0;27829.0;101250000.0;105000.0
78.0;0.0;43.0;41264.0;13437.0;27827.0;101250000.0;105000.0
81.0;0.0;43.0;41350.0;13522.0;27828.0;101300000.0;105200.0
84.0;0.0;43.0;41419.0;13592.0;27827.0;101300000.0;105200.0
87.0;0.0;43.0;41509.0;13682.0;27827.0;101350000.0;105400.0
90.0;1.0;44.0;41504.0;13685.0;27819.0;101450000.0;105800.0
93.0;0.0;44.0;41520.0;13705.0;27815.0;101500000.0;106000.0
96.0;0.0;44.0;41566.0;13751.0;27815.0;101500000.0;106000.0
