Hubald model simulation data
""
starting_time = Sat Sep 23 07:49:20 2023
finishing_time = Sun Sep 24 01:46:19 2023
elapsed_time = 64618.83369803429 s
starting_sats = 40000
sigma = 2000
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments
0.0;18.0;18.0;39996.0;12026.0;27970.0;100050000.0;100200.0
3.0;0.0;18.0;40111.0;12142.0;27969.0;100150000.0;100600.0
6.0;0.0;18.0;40161.0;12194.0;27967.0;100200000.0;100800.0
9.0;0.0;18.0;40354.0;12386.0;27968.0;100200000.0;100800.0
12.0;0.0;18.0;40500.0;12532.0;27968.0;100200000.0;100800.0
15.0;0.0;18.0;40607.0;12644.0;27963.0;100350000.0;101400.0
18.0;0.0;18.0;40667.0;12706.0;27961.0;100350000.0;101400.0
21.0;0.0;18.0;40717.0;12757.0;27960.0;100400000.0;101600.0
24.0;1.0;19.0;40820.0;12865.0;27955.0;100600000.0;102400.0
27.0;1.0;20.0;40933.0;12985.0;27948.0;100700000.0;102800.0
30.0;1.0;21.0;41092.0;13148.0;27944.0;100750000.0;103000.0
33.0;0.0;21.0;41162.0;13220.0;27942.0;100800000.0;103200.0
36.0;0.0;21.0;41283.0;13345.0;27938.0;100900000.0;103600.0
39.0;0.0;21.0;41465.0;13528.0;27937.0;100950000.0;103800.0
42.0;1.0;22.0;41596.0;13661.0;27935.0;101050000.0;104200.0
45.0;0.0;22.0;41689.0;13756.0;27933.0;101100000.0;104400.0
48.0;0.0;22.0;41852.0;13923.0;27929.0;101200000.0;104800.0
51.0;1.0;23.0;41955.0;14030.0;27925.0;101300000.0;105200.0
54.0;0.0;23.0;42102.0;14177.0;27925.0;101300000.0;105200.0
57.0;0.0;23.0;42133.0;14212.0;27921.0;101400000.0;105600.0
60.0;1.0;24.0;42164.0;14250.0;27914.0;101550000.0;106200.0
63.0;0.0;24.0;42218.0;14306.0;27912.0;101650000.0;106600.0
66.0;1.0;25.0;42310.0;14401.0;27909.0;101700000.0;106800.0
