Hubald model simulation data
""
starting_time = Wed Sep 20 19:20:09 2023
finishing_time = Thu Sep 21 01:54:51 2023
elapsed_time = 23681.85666322708 s
starting_sats = 10000
sigma = 2000
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments
0.0;1.0;nan;10177.0;3260.0;6917.0;100000000.0;100000.0
3.0;2.0;nan;10266.0;3356.0;6910.0;100000000.0;100000.0
6.0;0.0;nan;10341.0;3435.0;6906.0;100000000.0;100000.0
9.0;0.0;nan;10523.0;3618.0;6905.0;100050000.0;100200.0
12.0;0.0;nan;10639.0;3737.0;6902.0;100050000.0;100200.0
15.0;0.0;nan;10833.0;3932.0;6901.0;100050000.0;100200.0
18.0;0.0;nan;10983.0;4085.0;6898.0;100050000.0;100200.0
21.0;0.0;nan;11163.0;4266.0;6897.0;100050000.0;100200.0
24.0;0.0;nan;11247.0;4352.0;6895.0;100050000.0;100200.0
27.0;0.0;nan;11358.0;4466.0;6892.0;100050000.0;100200.0
30.0;0.0;nan;11475.0;4587.0;6888.0;100050000.0;100200.0
33.0;0.0;nan;11550.0;4662.0;6888.0;100050000.0;100200.0
36.0;0.0;nan;11567.0;4682.0;6885.0;100050000.0;100200.0
39.0;0.0;nan;11656.0;4774.0;6882.0;100050000.0;100200.0
42.0;0.0;nan;11771.0;4889.0;6882.0;100050000.0;100200.0
45.0;0.0;nan;11935.0;5057.0;6878.0;100050000.0;100200.0
48.0;0.0;nan;11935.0;5060.0;6875.0;100050000.0;100200.0
51.0;0.0;nan;11966.0;5093.0;6873.0;100050000.0;100200.0
54.0;0.0;nan;11989.0;5118.0;6871.0;100050000.0;100200.0
57.0;0.0;nan;12071.0;5203.0;6868.0;100050000.0;100200.0
60.0;0.0;nan;12165.0;5301.0;6864.0;100050000.0;100200.0
63.0;0.0;nan;12235.0;5372.0;6863.0;100050000.0;100200.0
66.0;0.0;nan;12289.0;5427.0;6862.0;100050000.0;100200.0
69.0;0.0;nan;12294.0;5437.0;6857.0;100100000.0;100400.0
72.0;0.0;nan;12459.0;5602.0;6857.0;100100000.0;100400.0
75.0;0.0;nan;12463.0;5610.0;6853.0;100100000.0;100400.0
78.0;0.0;nan;12557.0;5708.0;6849.0;100100000.0;100400.0
81.0;0.0;nan;12707.0;5862.0;6845.0;100100000.0;100400.0
84.0;0.0;nan;12837.0;5995.0;6842.0;100100000.0;100400.0
87.0;0.0;nan;12878.0;6036.0;6842.0;100150000.0;100600.0
90.0;0.0;nan;12973.0;6133.0;6840.0;100150000.0;100600.0
93.0;0.0;nan;13112.0;6276.0;6836.0;100150000.0;100600.0
96.0;0.0;nan;13174.0;6340.0;6834.0;100150000.0;100600.0
99.0;0.0;nan;13182.0;6349.0;6833.0;100150000.0;100600.0
102.0;0.0;nan;13350.0;6519.0;6831.0;100200000.0;100800.0
105.0;0.0;nan;13496.0;6666.0;6830.0;100250000.0;101000.0
108.0;0.0;nan;13578.0;6748.0;6830.0;100250000.0;101000.0
111.0;0.0;nan;13583.0;6756.0;6827.0;100300000.0;101200.0
114.0;0.0;nan;13612.0;6790.0;6822.0;100350000.0;101400.0
117.0;0.0;nan;13706.0;6885.0;6821.0;100400000.0;101600.0
120.0;0.0;nan;13760.0;6942.0;6818.0;100400000.0;101600.0
123.0;0.0;nan;13838.0;7021.0;6817.0;100400000.0;101600.0
126.0;0.0;nan;13863.0;7051.0;6812.0;100450000.0;101800.0
129.0;0.0;nan;13958.0;7149.0;6809.0;100450000.0;101800.0
132.0;0.0;nan;14093.0;7285.0;6808.0;100450000.0;101800.0
135.0;0.0;nan;14228.0;7422.0;6806.0;100450000.0;101800.0
138.0;0.0;nan;14230.0;7428.0;6802.0;100450000.0;101800.0
141.0;0.0;nan;14346.0;7548.0;6798.0;100550000.0;102200.0
144.0;0.0;nan;14402.0;7603.0;6799.0;100550000.0;102200.0
147.0;0.0;nan;14516.0;7715.0;6801.0;100600000.0;102400.0
150.0;0.0;nan;14526.0;7729.0;6797.0;100600000.0;102400.0
153.0;0.0;nan;14661.0;7869.0;6792.0;100650000.0;102600.0
156.0;0.0;nan;14802.0;8010.0;6792.0;100650000.0;102600.0
159.0;0.0;nan;14928.0;8137.0;6791.0;100650000.0;102600.0
162.0;0.0;nan;15121.0;8331.0;6790.0;100650000.0;102600.0
165.0;0.0;nan;15166.0;8376.0;6790.0;100650000.0;102600.0
168.0;0.0;nan;15213.0;8426.0;6787.0;100650000.0;102600.0
171.0;0.0;nan;15326.0;8543.0;6783.0;100750000.0;103000.0
174.0;0.0;nan;15454.0;8671.0;6783.0;100750000.0;103000.0
177.0;0.0;nan;15599.0;8816.0;6783.0;100800000.0;103200.0
180.0;0.0;nan;15659.0;8876.0;6783.0;100850000.0;103400.0
183.0;0.0;nan;15786.0;9004.0;6782.0;100900000.0;103600.0
186.0;0.0;nan;15877.0;9097.0;6780.0;100900000.0;103600.0
189.0;0.0;nan;15924.0;9144.0;6780.0;100900000.0;103600.0
192.0;0.0;nan;15976.0;9198.0;6778.0;100900000.0;103600.0
195.0;0.0;nan;16072.0;9295.0;6777.0;100900000.0;103600.0
198.0;0.0;nan;16071.0;9294.0;6777.0;100950000.0;103800.0
201.0;0.0;nan;16248.0;9473.0;6775.0;100950000.0;103800.0
204.0;0.0;nan;16330.0;9558.0;6772.0;100950000.0;103800.0
207.0;0.0;nan;16421.0;9652.0;6769.0;101000000.0;104000.0
210.0;0.0;nan;16615.0;9848.0;6767.0;101000000.0;104000.0
213.0;0.0;nan;16635.0;9871.0;6764.0;101000000.0;104000.0
216.0;0.0;nan;16713.0;9952.0;6761.0;101000000.0;104000.0
219.0;0.0;nan;16868.0;10111.0;6757.0;101000000.0;104000.0
222.0;0.0;nan;17020.0;10267.0;6753.0;101050000.0;104200.0
225.0;0.0;nan;17191.0;10439.0;6752.0;101050000.0;104200.0
228.0;0.0;nan;17300.0;10552.0;6748.0;101100000.0;104400.0
231.0;0.0;nan;17349.0;10602.0;6747.0;101100000.0;104400.0
234.0;0.0;nan;17456.0;10712.0;6744.0;101150000.0;104600.0
237.0;0.0;nan;17506.0;10764.0;6742.0;101150000.0;104600.0
240.0;0.0;nan;17661.0;10921.0;6740.0;101150000.0;104600.0
243.0;0.0;nan;17813.0;11072.0;6741.0;101200000.0;104800.0
246.0;0.0;nan;17950.0;11212.0;6738.0;101200000.0;104800.0
249.0;0.0;nan;18078.0;11343.0;6735.0;101300000.0;105200.0
252.0;0.0;nan;18168.0;11436.0;6732.0;101450000.0;105800.0
255.0;0.0;nan;18300.0;11567.0;6733.0;101500000.0;106000.0
258.0;0.0;nan;18373.0;11643.0;6730.0;101550000.0;106200.0
261.0;1.0;nan;18548.0;11822.0;6726.0;101600000.0;106400.0
264.0;0.0;nan;18648.0;11923.0;6725.0;101700000.0;106800.0
267.0;0.0;nan;18654.0;11933.0;6721.0;101700000.0;106800.0
270.0;0.0;nan;18654.0;11936.0;6718.0;101750000.0;107000.0
273.0;0.0;nan;18807.0;12091.0;6716.0;101850000.0;107400.0
276.0;0.0;nan;18930.0;12216.0;6714.0;101850000.0;107400.0
279.0;0.0;nan;19055.0;12342.0;6713.0;101900000.0;107600.0
282.0;0.0;nan;19248.0;12536.0;6712.0;102000000.0;108000.0
285.0;0.0;nan;19256.0;12543.0;6713.0;102000000.0;108000.0
288.0;0.0;nan;19287.0;12574.0;6713.0;102050000.0;108200.0
291.0;0.0;nan;19388.0;12677.0;6711.0;102150000.0;108600.0
294.0;0.0;nan;19454.0;12747.0;6707.0;102150000.0;108600.0
297.0;0.0;nan;19640.0;12933.0;6707.0;102250000.0;109000.0
300.0;0.0;nan;19708.0;13002.0;6706.0;102250000.0;109000.0
303.0;0.0;nan;19843.0;13141.0;6702.0;102300000.0;109200.0
306.0;0.0;nan;19927.0;13229.0;6698.0;102300000.0;109200.0
309.0;0.0;nan;20096.0;13399.0;6697.0;102350000.0;109400.0
312.0;0.0;nan;20131.0;13436.0;6695.0;102400000.0;109600.0
315.0;0.0;nan;20245.0;13551.0;6694.0;102450000.0;109800.0
318.0;0.0;nan;20360.0;13666.0;6694.0;102450000.0;109800.0
321.0;0.0;nan;20427.0;13735.0;6692.0;102500000.0;110000.0
324.0;0.0;nan;20461.0;13771.0;6690.0;102500000.0;110000.0
327.0;0.0;nan;20541.0;13853.0;6688.0;102550000.0;110200.0
330.0;0.0;nan;20553.0;13866.0;6687.0;102550000.0;110200.0
333.0;0.0;nan;20670.0;13984.0;6686.0;102650000.0;110600.0
336.0;0.0;nan;20719.0;14034.0;6685.0;102650000.0;110600.0
339.0;0.0;nan;20741.0;14060.0;6681.0;102650000.0;110600.0
342.0;0.0;nan;20841.0;14159.0;6682.0;102700000.0;110800.0
345.0;0.0;nan;20881.0;14201.0;6680.0;102700000.0;110800.0
348.0;0.0;nan;20994.0;14318.0;6676.0;102700000.0;110800.0
351.0;0.0;nan;21099.0;14427.0;6672.0;102750000.0;111000.0
354.0;0.0;nan;21287.0;14619.0;6668.0;102750000.0;111000.0
357.0;0.0;nan;21426.0;14761.0;6665.0;102800000.0;111200.0
360.0;0.0;nan;21457.0;14796.0;6661.0;102900000.0;111600.0
363.0;0.0;nan;21525.0;14865.0;6660.0;102900000.0;111600.0
366.0;0.0;nan;21679.0;15020.0;6659.0;102900000.0;111600.0
369.0;0.0;nan;21712.0;15055.0;6657.0;102950000.0;111800.0
372.0;0.0;nan;21732.0;15076.0;6656.0;103000000.0;112000.0
375.0;0.0;nan;21893.0;15241.0;6652.0;103050000.0;112200.0
378.0;0.0;nan;21896.0;15247.0;6649.0;103050000.0;112200.0
381.0;0.0;nan;22005.0;15358.0;6647.0;103100000.0;112400.0
384.0;0.0;nan;22188.0;15543.0;6645.0;103150000.0;112600.0
387.0;0.0;nan;22236.0;15591.0;6645.0;103150000.0;112600.0
390.0;0.0;nan;22427.0;15784.0;6643.0;103200000.0;112800.0
