Hubald model simulation data
""
starting_time = Wed Sep 20 16:57:29 2023
finishing_time = Wed Sep 20 19:20:06 2023
elapsed_time = 8556.842414140701 s
starting_sats = 10000
sigma = 2000
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments
0.0;1.0;1.0;10011.0;3056.0;6955.0;100000000.0;100000.0
3.0;0.0;1.0;10105.0;3151.0;6954.0;100000000.0;100000.0
6.0;0.0;1.0;10136.0;3182.0;6954.0;100000000.0;100000.0
9.0;0.0;1.0;10192.0;3240.0;6952.0;100000000.0;100000.0
12.0;0.0;1.0;10215.0;3267.0;6948.0;100000000.0;100000.0
15.0;0.0;1.0;10300.0;3355.0;6945.0;100050000.0;100200.0
18.0;0.0;1.0;10320.0;3379.0;6941.0;100050000.0;100200.0
21.0;0.0;1.0;10352.0;3415.0;6937.0;100050000.0;100200.0
24.0;0.0;1.0;10372.0;3438.0;6934.0;100050000.0;100200.0
27.0;0.0;1.0;10403.0;3473.0;6930.0;100050000.0;100200.0
30.0;0.0;1.0;10488.0;3562.0;6926.0;100050000.0;100200.0
33.0;0.0;1.0;10543.0;3621.0;6922.0;100050000.0;100200.0
36.0;0.0;1.0;10607.0;3690.0;6917.0;100100000.0;100400.0
39.0;0.0;1.0;10663.0;3747.0;6916.0;100150000.0;100600.0
42.0;0.0;1.0;10692.0;3776.0;6916.0;100150000.0;100600.0
45.0;0.0;1.0;10784.0;3868.0;6916.0;100150000.0;100600.0
48.0;0.0;1.0;10790.0;3878.0;6912.0;100200000.0;100800.0
51.0;0.0;1.0;10790.0;3880.0;6910.0;100300000.0;101200.0
54.0;0.0;1.0;10827.0;3918.0;6909.0;100300000.0;101200.0
57.0;0.0;1.0;10922.0;4017.0;6905.0;100300000.0;101200.0
60.0;0.0;1.0;10973.0;4071.0;6902.0;100350000.0;101400.0
63.0;0.0;1.0;11007.0;4109.0;6898.0;100400000.0;101600.0
66.0;0.0;1.0;11008.0;4112.0;6896.0;100400000.0;101600.0
69.0;0.0;1.0;11032.0;4136.0;6896.0;100400000.0;101600.0
72.0;0.0;1.0;11127.0;4234.0;6893.0;100400000.0;101600.0
75.0;0.0;1.0;11183.0;4290.0;6893.0;100450000.0;101800.0
78.0;0.0;1.0;11187.0;4296.0;6891.0;100500000.0;102000.0
81.0;0.0;1.0;11268.0;4378.0;6890.0;100500000.0;102000.0
84.0;0.0;1.0;11271.0;4384.0;6887.0;100500000.0;102000.0
87.0;0.0;1.0;11317.0;4432.0;6885.0;100500000.0;102000.0
90.0;0.0;1.0;11367.0;4482.0;6885.0;100500000.0;102000.0
93.0;0.0;1.0;11370.0;4486.0;6884.0;100500000.0;102000.0
96.0;0.0;1.0;11382.0;4499.0;6883.0;100500000.0;102000.0
99.0;0.0;1.0;11478.0;4597.0;6881.0;100500000.0;102000.0
102.0;0.0;1.0;11538.0;4660.0;6878.0;100500000.0;102000.0
105.0;0.0;1.0;11551.0;4677.0;6874.0;100500000.0;102000.0
108.0;0.0;1.0;11605.0;4731.0;6874.0;100500000.0;102000.0
111.0;0.0;1.0;11618.0;4745.0;6873.0;100500000.0;102000.0
114.0;0.0;1.0;11708.0;4838.0;6870.0;100500000.0;102000.0
117.0;0.0;1.0;11749.0;4882.0;6867.0;100500000.0;102000.0
120.0;0.0;1.0;11757.0;4890.0;6867.0;100500000.0;102000.0
123.0;0.0;1.0;11835.0;4968.0;6867.0;100500000.0;102000.0
126.0;0.0;1.0;11907.0;5041.0;6866.0;100500000.0;102000.0
129.0;0.0;1.0;11905.0;5041.0;6864.0;100500000.0;102000.0
132.0;0.0;1.0;11997.0;5134.0;6863.0;100500000.0;102000.0
135.0;0.0;1.0;11997.0;5135.0;6862.0;100500000.0;102000.0
138.0;0.0;1.0;12002.0;5144.0;6858.0;100500000.0;102000.0
141.0;0.0;1.0;12011.0;5157.0;6854.0;100500000.0;102000.0
144.0;0.0;1.0;12047.0;5196.0;6851.0;100500000.0;102000.0
147.0;0.0;1.0;12050.0;5200.0;6850.0;100500000.0;102000.0
150.0;0.0;1.0;12133.0;5284.0;6849.0;100500000.0;102000.0
153.0;0.0;1.0;12220.0;5375.0;6845.0;100500000.0;102000.0
156.0;0.0;1.0;12229.0;5388.0;6841.0;100500000.0;102000.0
159.0;0.0;1.0;12237.0;5395.0;6842.0;100500000.0;102000.0
162.0;0.0;1.0;12268.0;5430.0;6838.0;100500000.0;102000.0
165.0;0.0;1.0;12281.0;5445.0;6836.0;100500000.0;102000.0
168.0;0.0;1.0;12304.0;5471.0;6833.0;100550000.0;102200.0
171.0;0.0;1.0;12334.0;5503.0;6831.0;100550000.0;102200.0
174.0;0.0;1.0;12420.0;5592.0;6828.0;100600000.0;102400.0
177.0;0.0;1.0;12455.0;5626.0;6829.0;100600000.0;102400.0
180.0;0.0;1.0;12526.0;5697.0;6829.0;100600000.0;102400.0
183.0;0.0;1.0;12565.0;5739.0;6826.0;100600000.0;102400.0
186.0;0.0;1.0;12575.0;5752.0;6823.0;100600000.0;102400.0
189.0;0.0;1.0;12598.0;5778.0;6820.0;100600000.0;102400.0
192.0;0.0;1.0;12668.0;5851.0;6817.0;100600000.0;102400.0
195.0;0.0;1.0;12722.0;5906.0;6816.0;100650000.0;102600.0
198.0;0.0;1.0;12788.0;5973.0;6815.0;100650000.0;102600.0
201.0;0.0;1.0;12827.0;6012.0;6815.0;100650000.0;102600.0
204.0;0.0;1.0;12895.0;6083.0;6812.0;100650000.0;102600.0
207.0;0.0;1.0;12959.0;6150.0;6809.0;100700000.0;102800.0
210.0;0.0;1.0;12972.0;6167.0;6805.0;100700000.0;102800.0
213.0;0.0;1.0;12998.0;6196.0;6802.0;100700000.0;102800.0
216.0;0.0;1.0;13031.0;6232.0;6799.0;100750000.0;103000.0
219.0;0.0;1.0;13099.0;6303.0;6796.0;100750000.0;103000.0
222.0;0.0;1.0;13189.0;6393.0;6796.0;100750000.0;103000.0
225.0;0.0;1.0;13280.0;6488.0;6792.0;100750000.0;103000.0
228.0;0.0;1.0;13342.0;6553.0;6789.0;100800000.0;103200.0
231.0;0.0;1.0;13341.0;6553.0;6788.0;100850000.0;103400.0
234.0;0.0;1.0;13376.0;6590.0;6786.0;100850000.0;103400.0
237.0;0.0;1.0;13465.0;6679.0;6786.0;100850000.0;103400.0
240.0;0.0;1.0;13511.0;6726.0;6785.0;100850000.0;103400.0
243.0;0.0;1.0;13575.0;6792.0;6783.0;100900000.0;103600.0
246.0;0.0;1.0;13652.0;6872.0;6780.0;100900000.0;103600.0
249.0;0.0;1.0;13680.0;6903.0;6777.0;100950000.0;103800.0
252.0;0.0;1.0;13763.0;6986.0;6777.0;100950000.0;103800.0
255.0;0.0;1.0;13822.0;7045.0;6777.0;100950000.0;103800.0
258.0;0.0;1.0;13906.0;7132.0;6774.0;100950000.0;103800.0
261.0;0.0;1.0;13918.0;7147.0;6771.0;101000000.0;104000.0
264.0;0.0;1.0;13966.0;7198.0;6768.0;101000000.0;104000.0
267.0;0.0;1.0;14058.0;7294.0;6764.0;101000000.0;104000.0
270.0;0.0;1.0;14145.0;7382.0;6763.0;101000000.0;104000.0
273.0;0.0;1.0;14151.0;7389.0;6762.0;101000000.0;104000.0
276.0;0.0;1.0;14155.0;7392.0;6763.0;101000000.0;104000.0
279.0;0.0;1.0;14156.0;7396.0;6760.0;101050000.0;104200.0
282.0;0.0;1.0;14189.0;7432.0;6757.0;101050000.0;104200.0
285.0;0.0;1.0;14239.0;7487.0;6752.0;101100000.0;104400.0
288.0;0.0;1.0;14312.0;7562.0;6750.0;101150000.0;104600.0
291.0;0.0;1.0;14342.0;7597.0;6745.0;101200000.0;104800.0
294.0;0.0;1.0;14400.0;7658.0;6742.0;101200000.0;104800.0
297.0;0.0;1.0;14494.0;7756.0;6738.0;101200000.0;104800.0
300.0;0.0;1.0;14568.0;7831.0;6737.0;101200000.0;104800.0
303.0;0.0;1.0;14660.0;7926.0;6734.0;101350000.0;105400.0
306.0;0.0;1.0;14687.0;7956.0;6731.0;101350000.0;105400.0
309.0;0.0;1.0;14687.0;7956.0;6731.0;101350000.0;105400.0
312.0;0.0;1.0;14694.0;7964.0;6730.0;101350000.0;105400.0
315.0;0.0;1.0;14751.0;8023.0;6728.0;101400000.0;105600.0
318.0;0.0;1.0;14775.0;8048.0;6727.0;101450000.0;105800.0
321.0;0.0;1.0;14854.0;8129.0;6725.0;101450000.0;105800.0
324.0;0.0;1.0;14916.0;8194.0;6722.0;101450000.0;105800.0
327.0;0.0;1.0;14991.0;8273.0;6718.0;101450000.0;105800.0
